,14
RoundNumber,14
Country,Italy
Location,Monza
OfficialEventName,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2023 
EventDate,2023-09-03 00:00:00
EventName,Italian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2023-09-01 13:30:00+02:00
Session1DateUtc,2023-09-01 11:30:00
Session2,Practice 2
Session2Date,2023-09-01 17:00:00+02:00
Session2DateUtc,2023-09-01 15:00:00
Session3,Practice 3
Session3Date,2023-09-02 12:30:00+02:00
Session3DateUtc,2023-09-02 10:30:00
Session4,Qualifying
Session4Date,2023-09-02 16:00:00+02:00
Session4DateUtc,2023-09-02 14:00:00
Session5,Race
Session5Date,2023-09-03 15:00:00+02:00
Session5DateUtc,2023-09-03 13:00:00
F1ApiSupport,True
