,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0,0 days 01:04:34.257000,VER,1,0 days 00:01:49.827000,1.0,1.0,,,,0 days 00:00:45.712000,0 days 00:00:28.852000,,0 days 01:04:05.475000,0 days 01:04:34.350000,294.0,261.0,238.0,224.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:02:44.148000,2023-09-17 12:03:44.659,2,11.0,False,,False,False
1,0 days 01:06:15.853000,VER,1,0 days 00:01:41.596000,2.0,1.0,,,0 days 00:00:29.484000,0 days 00:00:43.638000,0 days 00:00:28.474000,0 days 01:05:03.737000,0 days 01:05:47.375000,0 days 01:06:15.849000,288.0,258.0,244.0,283.0,True,HARD,2.0,True,Red Bull Racing,0 days 01:04:34.257000,2023-09-17 12:05:34.768,2,9.0,False,,False,True
2,0 days 01:07:57.363000,VER,1,0 days 00:01:41.510000,3.0,1.0,,,0 days 00:00:29.192000,0 days 00:00:43.226000,0 days 00:00:29.092000,0 days 01:06:45.041000,0 days 01:07:28.267000,0 days 01:07:57.359000,290.0,272.0,244.0,281.0,True,HARD,3.0,True,Red Bull Racing,0 days 01:06:15.853000,2023-09-17 12:07:16.364,1,9.0,False,,False,True
3,0 days 01:09:38.506000,VER,1,0 days 00:01:41.143000,4.0,1.0,,,0 days 00:00:29.199000,0 days 00:00:43.338000,0 days 00:00:28.606000,0 days 01:08:26.558000,0 days 01:09:09.896000,0 days 01:09:38.502000,300.0,261.0,245.0,291.0,True,HARD,4.0,True,Red Bull Racing,0 days 01:07:57.363000,2023-09-17 12:08:57.874,1,9.0,False,,False,True
4,0 days 01:11:19.814000,VER,1,0 days 00:01:41.308000,5.0,1.0,,,0 days 00:00:29.224000,0 days 00:00:43.414000,0 days 00:00:28.670000,0 days 01:10:07.726000,0 days 01:10:51.140000,0 days 01:11:19.810000,,254.0,244.0,295.0,False,HARD,5.0,True,Red Bull Racing,0 days 01:09:38.506000,2023-09-17 12:10:39.017,1,9.0,False,,False,True
5,0 days 01:13:01.127000,VER,1,0 days 00:01:41.313000,6.0,1.0,,,0 days 00:00:29.280000,0 days 00:00:43.618000,0 days 00:00:28.415000,0 days 01:11:49.090000,0 days 01:12:32.708000,0 days 01:13:01.123000,313.0,269.0,242.0,,False,HARD,6.0,True,Red Bull Racing,0 days 01:11:19.814000,2023-09-17 12:12:20.325,1,8.0,False,,False,True
6,0 days 01:14:41.550000,VER,1,0 days 00:01:40.423000,7.0,1.0,,,0 days 00:00:29.547000,0 days 00:00:42.619000,0 days 00:00:28.257000,0 days 01:13:30.670000,0 days 01:14:13.289000,0 days 01:14:41.546000,286.0,253.0,242.0,276.0,True,HARD,7.0,True,Red Bull Racing,0 days 01:13:01.127000,2023-09-17 12:14:01.638,1,8.0,False,,False,True
7,0 days 01:16:21.727000,VER,1,0 days 00:01:40.177000,8.0,1.0,,,0 days 00:00:29.375000,0 days 00:00:42.775000,0 days 00:00:28.027000,0 days 01:15:10.921000,0 days 01:15:53.696000,0 days 01:16:21.723000,288.0,258.0,241.0,284.0,True,HARD,8.0,True,Red Bull Racing,0 days 01:14:41.550000,2023-09-17 12:15:42.061,1,8.0,False,,False,True
8,0 days 01:18:01.991000,VER,1,0 days 00:01:40.264000,9.0,1.0,,,0 days 00:00:29.366000,0 days 00:00:42.774000,0 days 00:00:28.124000,0 days 01:16:51.089000,0 days 01:17:33.863000,0 days 01:18:01.987000,291.0,257.0,242.0,286.0,False,HARD,9.0,True,Red Bull Racing,0 days 01:16:21.727000,2023-09-17 12:17:22.238,1,8.0,False,,False,True
9,0 days 01:19:42.399000,VER,1,0 days 00:01:40.408000,10.0,1.0,,,0 days 00:00:29.385000,0 days 00:00:42.904000,0 days 00:00:28.119000,0 days 01:18:31.372000,0 days 01:19:14.276000,0 days 01:19:42.395000,290.0,259.0,246.0,284.0,False,HARD,10.0,True,Red Bull Racing,0 days 01:18:01.991000,2023-09-17 12:19:02.502,1,8.0,False,,False,True
