,16
RoundNumber,16
Country,Japan
Location,Suzuka
OfficialEventName,FORMULA 1 LENOVO JAPANESE GRAND PRIX 2023 
EventDate,2023-09-24 00:00:00
EventName,Japanese Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2023-09-22 11:30:00+09:00
Session1DateUtc,2023-09-22 02:30:00
Session2,Practice 2
Session2Date,2023-09-22 15:00:00+09:00
Session2DateUtc,2023-09-22 06:00:00
Session3,Practice 3
Session3Date,2023-09-23 11:30:00+09:00
Session3DateUtc,2023-09-23 02:30:00
Session4,Qualifying
Session4Date,2023-09-23 15:00:00+09:00
Session4DateUtc,2023-09-23 06:00:00
Session5,Race
Session5Date,2023-09-24 14:00:00+09:00
Session5DateUtc,2023-09-24 05:00:00
F1ApiSupport,True
