,21
RoundNumber,21
Country,United States
Location,Las Vegas
OfficialEventName,FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2023
EventDate,2023-11-18 00:00:00
EventName,Las Vegas Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2023-11-16 20:30:00-08:00
Session1DateUtc,2023-11-17 04:30:00
Session2,Practice 2
Session2Date,2023-11-17 02:30:00-08:00
Session2DateUtc,2023-11-17 10:30:00
Session3,Practice 3
Session3Date,2023-11-17 20:30:00-08:00
Session3DateUtc,2023-11-18 04:30:00
Session4,Qualifying
Session4Date,2023-11-18 00:00:00-08:00
Session4DateUtc,2023-11-18 08:00:00
Session5,Race
Session5Date,2023-11-18 22:00:00-08:00
Session5DateUtc,2023-11-19 06:00:00
F1ApiSupport,True
