,22
RoundNumber,22
Country,Abu Dhabi
Location,Yas Island
OfficialEventName,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2023 
EventDate,2023-11-26 00:00:00
EventName,Abu Dhabi Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2023-11-24 13:30:00+04:00
Session1DateUtc,2023-11-24 09:30:00
Session2,Practice 2
Session2Date,2023-11-24 17:00:00+04:00
Session2DateUtc,2023-11-24 13:00:00
Session3,Practice 3
Session3Date,2023-11-25 14:30:00+04:00
Session3DateUtc,2023-11-25 10:30:00
Session4,Qualifying
Session4Date,2023-11-25 18:00:00+04:00
Session4DateUtc,2023-11-25 14:00:00
Session5,Race
Session5Date,2023-11-26 17:00:00+04:00
Session5DateUtc,2023-11-26 13:00:00
F1ApiSupport,True
