Pos.,Team,Driver,Time (sec),Lap,Points
1,Ferrari,Leclerc,2.10,16,25
2,Alpine,Ocon,2.36,16,18
3,Red Bull,Perez,2.50,18,15
4,Mercedes,Russell,2.55,18,12
5,Alpine,Gasly,2.73,14,10
6,Ferrari,Sainz,2.73,15,8
7,Red Bull,Verstappen,2.74,18,6
8,Haas,Magnussen,2.76,8,4
9,McLaren,Norris,2.88,19,2
10,Aston Martin,Stroll,2.90,13,1
11,Williams,Sargeant,2.90,18,
12,AlphaTauri,De Vries,2.93,17,
13,AlphaTauri,Tsunoda,2.95,17,
14,Mercedes,Hamilton,3.06,18,
15,Williams,Albon,3.17,17,
16,Alfa Romeo,Bottas,3.35,9,
17,Haas,Hulkenberg,3.52,11,
18,Alfa Romeo,Bottas,3.55,35,
19,Alfa Romeo,Bottas,3.65,17,
20,Alfa Romeo,Zhou,3.83,18,
21,Alfa Romeo,Zhou,4.01,11,
22,Aston Martin,Alonso,8.56,18,
23,McLaren,Norris,11.10,2,
24,McLaren,Piastri,13.20,1,
