,Time,Status,Message
0,0 days 00:00:00,2,Yellow
1,0 days 00:13:07.538000,1,AllClear
2,0 days 00:30:47.338000,2,Yellow
3,0 days 00:39:12.957000,1,AllClear
4,0 days 01:02:44.534000,2,Yellow
5,0 days 01:03:25.831000,4,SCDeployed
6,0 days 01:08:10.984000,1,AllClear
7,0 days 01:13:10.543000,2,Yellow
8,0 days 01:13:23.246000,4,SCDeployed
9,0 days 01:16:01.056000,5,Red
10,0 days 01:31:41.671000,1,AllClear
11,0 days 01:47:34.722000,6,VSCDeployed
12,0 days 01:49:37.049000,7,VSCEnding
13,0 days 01:49:51.267000,1,AllClear
14,0 days 02:36:29.985000,2,Yellow
15,0 days 02:36:38.329000,1,AllClear
16,0 days 02:37:30.688000,4,SCDeployed
17,0 days 02:40:06.264000,5,Red
18,0 days 02:50:08.585000,1,AllClear
19,0 days 02:59:13.048000,2,Yellow
20,0 days 02:59:25.329000,5,Red
21,0 days 03:22:14.751000,1,AllClear
22,0 days 03:36:04.835000,5,Red
