,4
RoundNumber,4
Country,Azerbaijan
Location,Baku
OfficialEventName,FORMULA 1 AZERBAIJAN GRAND PRIX 2023
EventDate,2023-04-30 00:00:00
EventName,Azerbaijan Grand Prix
EventFormat,sprint_shootout
Session1,Practice 1
Session1Date,2023-04-28 13:30:00+04:00
Session1DateUtc,2023-04-28 09:30:00
Session2,Qualifying
Session2Date,2023-04-28 17:00:00+04:00
Session2DateUtc,2023-04-28 13:00:00
Session3,Sprint Shootout
Session3Date,2023-04-29 12:30:00+04:00
Session3DateUtc,2023-04-29 08:30:00
Session4,Sprint
Session4Date,2023-04-29 17:30:00+04:00
Session4DateUtc,2023-04-29 13:30:00
Session5,Race
Session5Date,2023-04-30 15:00:00+04:00
Session5DateUtc,2023-04-30 11:00:00
F1ApiSupport,True
