,Time,Status,Message
0,0 days 00:00:00,1,AllClear
1,0 days 00:06:38.603000,2,Yellow
2,0 days 00:06:52.259000,1,AllClear
3,0 days 00:19:51.886000,2,Yellow
4,0 days 00:22:06.399000,1,AllClear
5,0 days 01:02:41.403000,2,Yellow
6,0 days 01:02:43.872000,1,AllClear
7,0 days 01:16:53.044000,2,Yellow
8,0 days 01:17:50.246000,1,AllClear
9,0 days 01:20:09.353000,2,Yellow
10,0 days 01:20:19.681000,1,AllClear
11,0 days 02:13:43.686000,2,Yellow
12,0 days 02:13:50.999000,1,AllClear
13,0 days 02:13:52.358000,2,Yellow
14,0 days 02:14:27.670000,1,AllClear
15,0 days 02:14:34.107000,2,Yellow
16,0 days 02:15:46.465000,1,AllClear
17,0 days 02:15:49.637000,2,Yellow
18,0 days 02:15:54.371000,1,AllClear
19,0 days 02:19:08.462000,2,Yellow
20,0 days 02:19:24.555000,1,AllClear
21,0 days 02:20:09.367000,2,Yellow
22,0 days 02:20:22.585000,1,AllClear
23,0 days 02:22:10.974000,2,Yellow
24,0 days 02:22:48.864000,1,AllClear
25,0 days 02:24:31.143000,2,Yellow
26,0 days 02:24:43.940000,1,AllClear
27,0 days 02:37:00.864000,2,Yellow
28,0 days 02:37:31.864000,1,AllClear
