,index,Time,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,LapStartDate,dim1,dim2,cluster_id
0,1,0 days 01:04:57.447000,VER,85.157,2.0,1.0,30.527,30.848,23.782,0 days 01:04:02.817000,0 days 01:04:33.665000,0 days 01:04:57.447000,272.0,229.0,244.0,285.0,MEDIUM,5.0,Red Bull Racing,2023-07-23 13:04:34.318,-1.5084376391027547,1.170967886329588,2
1,2,0 days 01:06:22.517000,VER,85.07,3.0,1.0,30.491,30.724,23.855,0 days 01:05:27.938000,0 days 01:05:58.662000,0 days 01:06:22.517000,269.0,230.0,242.0,287.0,MEDIUM,6.0,Red Bull Racing,2023-07-23 13:05:59.475,-1.5527464805059445,1.493242364526077,2
2,4,0 days 01:09:11.902000,VER,84.843,5.0,1.0,30.395,30.707,23.741,0 days 01:08:17.454000,0 days 01:08:48.161000,0 days 01:09:11.902000,272.0,231.0,242.0,286.0,MEDIUM,8.0,Red Bull Racing,2023-07-23 13:08:49.087,-1.0311541573202094,1.5217178673992895,0
3,5,0 days 01:10:36.498000,VER,84.596,6.0,1.0,30.248,30.586,23.762,0 days 01:09:42.150000,0 days 01:10:12.736000,0 days 01:10:36.498000,276.0,227.0,243.0,284.0,MEDIUM,9.0,Red Bull Racing,2023-07-23 13:10:13.930,-0.8776276714619576,1.2631168705501796,0
4,7,0 days 01:13:25.494000,VER,84.509,8.0,1.0,30.362,30.468,23.679,0 days 01:12:31.347000,0 days 01:13:01.815000,0 days 01:13:25.494000,277.0,230.0,241.0,286.0,MEDIUM,11.0,Red Bull Racing,2023-07-23 13:13:03.013,-0.5904966585638989,1.6323947831046126,0
5,10,0 days 01:17:38.798000,VER,84.462,11.0,1.0,30.318,30.352,23.792,0 days 01:16:44.654000,0 days 01:17:15.006000,0 days 01:17:38.798000,278.0,232.0,241.0,284.0,MEDIUM,14.0,Red Bull Racing,2023-07-23 13:17:16.364,-0.38012492703609796,1.7828692499685608,0
6,11,0 days 01:19:03.104000,VER,84.306,12.0,1.0,30.274,30.285,23.747,0 days 01:18:09.072000,0 days 01:18:39.357000,0 days 01:19:03.104000,277.0,232.0,242.0,285.0,MEDIUM,15.0,Red Bull Racing,2023-07-23 13:18:40.826,-0.14353949499035895,1.5479729000700646,0
7,13,0 days 01:21:51.660000,VER,84.201,14.0,1.0,30.251,30.2,23.75,0 days 01:20:57.710000,0 days 01:21:27.910000,0 days 01:21:51.660000,276.0,235.0,242.0,285.0,MEDIUM,17.0,Red Bull Racing,2023-07-23 13:21:29.487,0.20410626303381477,1.6532748072038799,0
8,14,0 days 01:23:15.781000,VER,84.121,15.0,1.0,30.331,30.156,23.634,0 days 01:22:21.991000,0 days 01:22:52.147000,0 days 01:23:15.781000,277.0,237.0,244.0,284.0,MEDIUM,18.0,Red Bull Racing,2023-07-23 13:22:53.688,0.6384166024214752,1.4645366106603592,0
9,20,0 days 01:31:41.036000,VER,84.012,21.0,1.0,30.306,30.065,23.641,0 days 01:30:47.330000,0 days 01:31:17.395000,0 days 01:31:41.036000,277.0,237.0,243.0,287.0,MEDIUM,24.0,Red Bull Racing,2023-07-23 13:31:19.052,0.7173604943284763,1.391256479906796,0
10,24,0 days 01:37:38.331000,VER,83.777,25.0,2.0,30.109,30.145,23.523,0 days 01:36:44.663000,0 days 01:37:14.808000,0 days 01:37:38.331000,271.0,235.0,245.0,286.0,HARD,2.0,Red Bull Racing,2023-07-23 13:37:16.582,0.8420383377953687,1.209295840512685,0
11,25,0 days 01:39:02.048000,VER,83.717,26.0,2.0,30.176,30.036,23.505,0 days 01:38:08.507000,0 days 01:38:38.543000,0 days 01:39:02.048000,278.0,236.0,243.0,287.0,HARD,3.0,Red Bull Racing,2023-07-23 13:38:40.359,1.1034715131786594,1.3614025666740939,0
12,26,0 days 01:40:25.684000,VER,83.636,27.0,2.0,30.286,29.961,23.389,0 days 01:39:32.334000,0 days 01:40:02.295000,0 days 01:40:25.684000,279.0,237.0,245.0,286.0,HARD,4.0,Red Bull Racing,2023-07-23 13:40:04.076,1.4447931195644457,1.1821026705734334,0
13,27,0 days 01:41:49.371000,VER,83.687,28.0,2.0,30.161,30.061,23.465,0 days 01:40:55.845000,0 days 01:41:25.906000,0 days 01:41:49.371000,278.0,236.0,246.0,288.0,HARD,5.0,Red Bull Racing,2023-07-23 13:41:27.712,1.329060488016455,0.6631089196832776,0
14,28,0 days 01:43:13.133000,VER,83.762,29.0,2.0,30.21,30.048,23.504,0 days 01:42:19.581000,0 days 01:42:49.629000,0 days 01:43:13.133000,279.0,236.0,246.0,289.0,HARD,6.0,Red Bull Racing,2023-07-23 13:42:51.399,1.2453014165858525,0.5360257744431471,0
15,29,0 days 01:44:36.757000,VER,83.624,30.0,2.0,30.068,30.108,23.448,0 days 01:43:43.201000,0 days 01:44:13.309000,0 days 01:44:36.757000,277.0,236.0,246.0,290.0,HARD,7.0,Red Bull Racing,2023-07-23 13:44:15.161,1.4081151116817596,0.4506444525200704,0
16,30,0 days 01:46:00.347000,VER,83.59,31.0,2.0,30.35,29.744,23.496,0 days 01:45:07.107000,0 days 01:45:36.851000,0 days 01:46:00.347000,279.0,240.0,246.0,289.0,HARD,8.0,Red Bull Racing,2023-07-23 13:45:38.785,1.7436906770966383,0.7891335141226857,1
17,34,0 days 01:51:34.158000,VER,83.489,35.0,2.0,29.983,29.946,23.56,0 days 01:50:40.652000,0 days 01:51:10.598000,0 days 01:51:34.158000,283.0,241.0,247.0,292.0,HARD,12.0,Red Bull Racing,2023-07-23 13:51:12.697,2.2130355790115863,-0.12578815409160538,1
18,37,0 days 01:55:44.163000,VER,83.47,38.0,2.0,30.071,29.71,23.689,0 days 01:54:50.764000,0 days 01:55:20.474000,0 days 01:55:44.163000,279.0,241.0,247.0,290.0,HARD,15.0,Red Bull Racing,2023-07-23 13:55:22.721,2.011798539921052,0.27339219571484685,1
19,38,0 days 01:57:08.306000,VER,84.143,39.0,2.0,30.126,30.073,23.944,0 days 01:56:14.289000,0 days 01:56:44.362000,0 days 01:57:08.306000,282.0,240.0,248.0,292.0,HARD,16.0,Red Bull Racing,2023-07-23 13:56:46.191,1.1807829697895396,-0.5008963824088588,0
20,39,0 days 01:58:32.011000,VER,83.705,40.0,2.0,30.18,29.844,23.681,0 days 01:57:38.486000,0 days 01:58:08.330000,0 days 01:58:32.011000,283.0,241.0,252.0,291.0,HARD,17.0,Red Bull Racing,2023-07-23 13:58:10.334,2.125060758161874,-0.9723156968231101,1
21,40,0 days 01:59:55.034000,VER,83.023,41.0,2.0,30.087,29.534,23.402,0 days 01:59:02.098000,0 days 01:59:31.632000,0 days 01:59:55.034000,282.0,244.0,246.0,306.0,HARD,18.0,Red Bull Racing,2023-07-23 13:59:34.039,2.9854222177716827,-0.9115601850215652,1
22,41,0 days 02:01:18.343000,VER,83.309,42.0,2.0,29.994,29.681,23.634,0 days 02:00:25.028000,0 days 02:00:54.709000,0 days 02:01:18.343000,281.0,243.0,247.0,291.0,HARD,19.0,Red Bull Racing,2023-07-23 14:00:57.062,2.481448061649539,0.14036533658152886,1
23,43,0 days 02:04:05.453000,VER,83.772,44.0,2.0,30.045,29.962,23.765,0 days 02:03:11.726000,0 days 02:03:41.688000,0 days 02:04:05.453000,283.0,239.0,247.0,292.0,HARD,21.0,Red Bull Racing,2023-07-23 14:03:43.709,1.6041466358774754,-0.24998378392279996,1
24,44,0 days 02:05:29.383000,VER,83.93,45.0,2.0,30.349,29.945,23.636,0 days 02:04:35.802000,0 days 02:05:05.747000,0 days 02:05:29.383000,285.0,241.0,246.0,293.0,HARD,22.0,Red Bull Racing,2023-07-23 14:05:07.481,1.5796460571190847,0.043251072908225906,1
