,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,dim1,dim2,tsne_clusters_id
0,1.0,VER,85.157,2.0,1.0,30.527,30.848,23.782,272.0,229.0,244.0,285.0,MEDIUM,5.0,Red Bull Racing,1.0,-19.974255,-16.811554,2
1,2.0,VER,85.07,3.0,1.0,30.491,30.724,23.855,269.0,230.0,242.0,287.0,MEDIUM,6.0,Red Bull Racing,1.0,-22.506336,-15.262344,2
2,4.0,VER,84.843,5.0,1.0,30.395,30.707,23.741,272.0,231.0,242.0,286.0,MEDIUM,8.0,Red Bull Racing,1.0,-16.298012,-20.101328,2
3,5.0,VER,84.596,6.0,1.0,30.248,30.586,23.762,276.0,227.0,243.0,284.0,MEDIUM,9.0,Red Bull Racing,1.0,-23.176317,-10.580133,2
4,7.0,VER,84.509,8.0,1.0,30.362,30.468,23.679,277.0,230.0,241.0,286.0,MEDIUM,11.0,Red Bull Racing,1.0,-23.277899,-12.683068,2
5,10.0,VER,84.462,11.0,1.0,30.318,30.352,23.792,278.0,232.0,241.0,284.0,MEDIUM,14.0,Red Bull Racing,1.0,-21.287624,-10.777475,2
6,11.0,VER,84.306,12.0,1.0,30.274,30.285,23.747,277.0,232.0,242.0,285.0,MEDIUM,15.0,Red Bull Racing,1.0,-5.0826254,-16.267353,2
7,13.0,VER,84.201,14.0,1.0,30.251,30.2,23.75,276.0,235.0,242.0,285.0,MEDIUM,17.0,Red Bull Racing,1.0,15.441455,15.96116,0
8,14.0,VER,84.121,15.0,1.0,30.331,30.156,23.634,277.0,237.0,244.0,284.0,MEDIUM,18.0,Red Bull Racing,1.0,6.172034,-6.677354,1
9,20.0,VER,84.012,21.0,1.0,30.306,30.065,23.641,277.0,237.0,243.0,287.0,MEDIUM,24.0,Red Bull Racing,1.0,11.211685,23.863634,0
10,24.0,VER,83.777,25.0,2.0,30.109,30.145,23.523,271.0,235.0,245.0,286.0,HARD,2.0,Red Bull Racing,1.0,-1.6275655,-17.11084,2
11,25.0,VER,83.717,26.0,2.0,30.176,30.036,23.505,278.0,236.0,243.0,287.0,HARD,3.0,Red Bull Racing,1.0,-6.131491,-21.981947,2
12,26.0,VER,83.636,27.0,2.0,30.286,29.961,23.389,279.0,237.0,245.0,286.0,HARD,4.0,Red Bull Racing,1.0,8.793519,-17.422693,1
13,27.0,VER,83.687,28.0,2.0,30.161,30.061,23.465,278.0,236.0,246.0,288.0,HARD,5.0,Red Bull Racing,1.0,10.72083,-18.08293,1
14,28.0,VER,83.762,29.0,2.0,30.21,30.048,23.504,279.0,236.0,246.0,289.0,HARD,6.0,Red Bull Racing,1.0,20.94822,-13.561593,1
15,29.0,VER,83.624,30.0,2.0,30.068,30.108,23.448,277.0,236.0,246.0,290.0,HARD,7.0,Red Bull Racing,1.0,20.168188,-13.410336,1
16,30.0,VER,83.59,31.0,2.0,30.35,29.744,23.496,279.0,240.0,246.0,289.0,HARD,8.0,Red Bull Racing,1.0,40.171547,-10.317975,1
17,34.0,VER,83.489,35.0,2.0,29.983,29.946,23.56,283.0,241.0,247.0,292.0,HARD,12.0,Red Bull Racing,1.0,39.01768,-12.870488,1
18,37.0,VER,83.47,38.0,2.0,30.071,29.71,23.689,279.0,241.0,247.0,290.0,HARD,15.0,Red Bull Racing,1.0,37.377766,-11.645977,1
19,38.0,VER,84.143,39.0,2.0,30.126,30.073,23.944,282.0,240.0,248.0,292.0,HARD,16.0,Red Bull Racing,1.0,37.395344,-12.256716,1
20,39.0,VER,83.705,40.0,2.0,30.18,29.844,23.681,283.0,241.0,252.0,291.0,HARD,17.0,Red Bull Racing,1.0,38.372814,-11.610036,1
21,40.0,VER,83.023,41.0,2.0,30.087,29.534,23.402,282.0,244.0,246.0,306.0,HARD,18.0,Red Bull Racing,1.0,37.901493,-11.053973,1
22,41.0,VER,83.309,42.0,2.0,29.994,29.681,23.634,281.0,243.0,247.0,291.0,HARD,19.0,Red Bull Racing,1.0,37.301212,5.507896,1
23,43.0,VER,83.772,44.0,2.0,30.045,29.962,23.765,283.0,239.0,247.0,292.0,HARD,21.0,Red Bull Racing,1.0,27.340569,15.59633,1
24,44.0,VER,83.93,45.0,2.0,30.349,29.945,23.636,285.0,241.0,246.0,293.0,HARD,22.0,Red Bull Racing,1.0,36.462635,-12.325532,1
25,45.0,VER,83.639,46.0,2.0,30.174,29.759,23.706,282.0,241.0,245.0,291.0,HARD,23.0,Red Bull Racing,1.0,38.448303,-10.093775,1
26,46.0,VER,83.608,47.0,2.0,30.117,29.856,23.635,283.0,240.0,247.0,290.0,HARD,24.0,Red Bull Racing,1.0,-28.461504,-16.458448,2
27,52.0,VER,80.504,53.0,3.0,29.265,28.662,22.577,283.0,249.0,254.0,291.0,MEDIUM,5.0,Red Bull Racing,1.0,-11.673229,-19.354893,2
28,53.0,VER,83.935,54.0,3.0,30.478,30.097,23.36,272.0,242.0,247.0,297.0,MEDIUM,6.0,Red Bull Racing,1.0,-26.520754,-10.881909,2
29,54.0,VER,82.847,55.0,3.0,29.887,29.754,23.206,283.0,240.0,248.0,291.0,MEDIUM,7.0,Red Bull Racing,1.0,-18.459597,-8.712891,2
30,56.0,VER,82.425,57.0,3.0,29.793,29.31,23.322,281.0,245.0,246.0,293.0,MEDIUM,9.0,Red Bull Racing,1.0,-19.549377,-7.4026804,2
31,57.0,VER,82.65,58.0,3.0,29.828,29.441,23.381,282.0,243.0,248.0,292.0,MEDIUM,10.0,Red Bull Racing,1.0,-18.878542,-0.65202844,2
32,58.0,VER,81.88,59.0,3.0,29.697,29.184,22.999,284.0,245.0,248.0,291.0,MEDIUM,11.0,Red Bull Racing,1.0,-4.9158106,7.8117514,0
33,59.0,VER,81.554,60.0,3.0,29.568,29.102,22.884,281.0,245.0,249.0,289.0,MEDIUM,12.0,Red Bull Racing,1.0,-19.460804,-4.0080857,2
34,60.0,VER,81.52,61.0,3.0,29.668,28.891,22.961,282.0,247.0,248.0,290.0,MEDIUM,13.0,Red Bull Racing,1.0,-5.181311,8.297053,0
35,61.0,VER,81.693,62.0,3.0,29.716,28.995,22.982,284.0,245.0,249.0,289.0,MEDIUM,14.0,Red Bull Racing,1.0,-19.543198,-1.546505,2
36,64.0,VER,82.223,65.0,3.0,29.678,29.303,23.242,284.0,244.0,248.0,290.0,MEDIUM,17.0,Red Bull Racing,1.0,-18.090916,5.7694893,2
37,65.0,VER,81.941,66.0,3.0,29.841,29.108,22.992,282.0,245.0,248.0,292.0,MEDIUM,18.0,Red Bull Racing,1.0,-4.7770314,8.482034,0
38,66.0,VER,81.754,67.0,3.0,29.656,29.022,23.076,283.0,248.0,248.0,291.0,MEDIUM,19.0,Red Bull Racing,1.0,-18.488829,-1.5634807,2
39,67.0,VER,81.524,68.0,3.0,29.603,28.781,23.14,282.0,247.0,250.0,290.0,MEDIUM,20.0,Red Bull Racing,1.0,-18.108965,-0.05457059,2
40,71.0,NOR,85.82,2.0,1.0,30.556,31.161,24.103,276.0,233.0,244.0,289.0,MEDIUM,2.0,McLaren,3.0,-3.7869413,-17.442066,2
41,72.0,NOR,85.205,3.0,1.0,30.71,30.705,23.79,275.0,238.0,244.0,290.0,MEDIUM,3.0,McLaren,3.0,16.212965,18.26847,0
42,74.0,NOR,84.893,5.0,1.0,30.564,30.421,23.908,277.0,234.0,243.0,288.0,MEDIUM,5.0,McLaren,3.0,14.137409,-2.7189837,1
43,75.0,NOR,84.826,6.0,1.0,30.567,30.285,23.974,278.0,234.0,244.0,286.0,MEDIUM,6.0,McLaren,3.0,-1.9482739,-16.352303,2
44,77.0,NOR,85.005,8.0,1.0,30.764,30.277,23.964,279.0,236.0,242.0,289.0,MEDIUM,8.0,McLaren,3.0,13.319822,-2.8592432,1
45,78.0,NOR,85.199,9.0,1.0,30.745,30.574,23.88,276.0,236.0,242.0,288.0,MEDIUM,9.0,McLaren,3.0,13.339471,-1.8497334,1
46,79.0,NOR,84.958,10.0,1.0,30.701,30.358,23.899,277.0,237.0,244.0,287.0,MEDIUM,10.0,McLaren,3.0,15.921412,-4.280154,1
47,80.0,NOR,84.875,11.0,1.0,30.56,30.415,23.9,279.0,235.0,243.0,286.0,MEDIUM,11.0,McLaren,3.0,5.6594844,-14.37415,1
48,81.0,NOR,85.001,12.0,1.0,30.631,30.43,23.94,280.0,236.0,243.0,287.0,MEDIUM,12.0,McLaren,3.0,13.616917,-4.3338675,1
49,83.0,NOR,85.008,14.0,1.0,30.592,30.441,23.975,278.0,237.0,245.0,288.0,MEDIUM,14.0,McLaren,3.0,6.632276,-7.0177345,1
50,89.0,NOR,83.941,20.0,2.0,30.352,29.906,23.683,277.0,239.0,244.0,287.0,HARD,3.0,McLaren,3.0,13.855257,-3.8401053,1
51,92.0,NOR,83.707,23.0,2.0,30.267,29.925,23.515,279.0,238.0,244.0,288.0,HARD,6.0,McLaren,3.0,-1.1494149,-16.202835,2
52,93.0,NOR,83.847,24.0,2.0,30.39,29.876,23.581,280.0,241.0,246.0,289.0,HARD,7.0,McLaren,2.0,13.102495,-3.405876,1
53,95.0,NOR,83.732,26.0,2.0,30.369,29.821,23.542,281.0,242.0,244.0,288.0,HARD,9.0,McLaren,2.0,14.872523,-3.892557,1
54,97.0,NOR,84.453,28.0,2.0,30.533,30.161,23.759,279.0,240.0,245.0,289.0,HARD,11.0,McLaren,2.0,39.097168,0.025501203,1
55,98.0,NOR,84.136,29.0,2.0,30.447,29.972,23.717,281.0,242.0,245.0,290.0,HARD,12.0,McLaren,2.0,24.46167,12.967766,1
56,99.0,NOR,84.043,30.0,2.0,30.374,29.875,23.794,278.0,241.0,245.0,291.0,HARD,13.0,McLaren,2.0,27.289679,-15.366057,1
57,100.0,NOR,84.289,31.0,2.0,30.519,30.053,23.717,281.0,242.0,245.0,289.0,HARD,14.0,McLaren,2.0,28.487282,-15.292239,1
58,102.0,NOR,84.297,33.0,2.0,30.439,30.12,23.738,281.0,241.0,245.0,288.0,HARD,16.0,McLaren,2.0,28.050694,-14.367425,1
59,106.0,NOR,84.419,37.0,2.0,30.486,30.122,23.811,281.0,242.0,245.0,291.0,HARD,20.0,McLaren,2.0,35.38231,-7.8566065,1
60,109.0,NOR,84.797,40.0,2.0,30.732,30.082,23.983,282.0,240.0,245.0,290.0,HARD,23.0,McLaren,2.0,32.766636,-10.561349,1
61,110.0,NOR,84.467,41.0,2.0,30.661,30.013,23.793,279.0,243.0,247.0,292.0,HARD,24.0,McLaren,2.0,29.176233,-14.540923,1
62,115.0,NOR,82.216,46.0,3.0,29.886,29.286,23.044,281.0,241.0,248.0,291.0,MEDIUM,5.0,McLaren,3.0,35.86475,-6.79994,1
63,118.0,NOR,82.827,49.0,3.0,29.906,29.585,23.336,284.0,243.0,254.0,292.0,MEDIUM,8.0,McLaren,2.0,34.658947,-5.889345,1
64,119.0,NOR,82.178,50.0,3.0,29.674,29.303,23.201,283.0,245.0,249.0,305.0,MEDIUM,9.0,McLaren,2.0,35.11959,-6.4332185,1
65,120.0,NOR,82.794,51.0,3.0,29.971,29.34,23.483,281.0,245.0,248.0,292.0,MEDIUM,10.0,McLaren,2.0,34.18105,-13.190856,1
66,122.0,NOR,83.375,53.0,3.0,30.148,29.74,23.487,283.0,244.0,247.0,291.0,MEDIUM,12.0,McLaren,2.0,33.11445,-9.210572,1
67,123.0,NOR,83.247,54.0,3.0,30.124,29.556,23.567,286.0,244.0,248.0,292.0,MEDIUM,13.0,McLaren,2.0,24.734764,-13.166002,1
