,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
0,3,VER,112.789,4.0,1.0,31.881,50.599,30.309,SOFT,4.0,Red Bull Racing,4.0,220.86976744186046,338.0,65.0,67.83953488372093,0.5651162790697675,0.16744186046511628,18.1,30.1,235.0,1.7,-0.1181125779594409,-2.371462558479639,0
1,4,VER,112.602,5.0,1.0,32.001,50.201,30.4,SOFT,5.0,Red Bull Racing,4.0,220.6950354609929,336.0,65.0,67.26477541371159,0.5555555555555556,0.1702127659574468,18.1,30.4,126.0,2.0,-0.009969583688837927,-2.0331846828965316,0
2,5,VER,112.13,6.0,1.0,31.967,49.818,30.345,SOFT,6.0,Red Bull Racing,3.0,221.84107579462102,341.0,65.0,68.83129584352078,0.5745721271393643,0.15158924205378974,18.1,31.4,95.0,1.5,-0.6356432369697733,-2.100838086693374,0
3,6,VER,112.415,7.0,1.0,32.639,49.487,30.289,SOFT,7.0,Red Bull Racing,3.0,219.38915094339623,316.0,65.0,67.83962264150944,0.5566037735849056,0.15566037735849056,18.1,31.5,110.0,0.8,-0.8805690925889207,0.2489835012593665,1
4,7,VER,112.472,8.0,1.0,32.299,49.833,30.34,SOFT,8.0,Red Bull Racing,3.0,223.2378640776699,331.0,65.0,69.47087378640776,0.5752427184466019,0.15048543689320387,18.1,30.6,112.0,1.2,-1.0959075397724498,-0.9176947663449618,1
5,8,VER,111.88,9.0,1.0,32.023,49.462,30.395,SOFT,9.0,Red Bull Racing,2.0,223.33177570093457,340.0,62.0,68.73831775700934,0.5677570093457944,0.1658878504672897,18.1,30.1,311.0,2.2,-0.5702971977151142,-1.892937144642479,0
6,9,VER,112.455,10.0,1.0,32.711,49.261,30.483,SOFT,10.0,Red Bull Racing,2.0,221.13176470588235,316.0,66.0,69.64941176470589,0.5670588235294117,0.1388235294117647,18.2,29.6,168.0,1.7,-1.5843691444242203,0.7808870758519031,1
7,10,VER,112.613,11.0,1.0,32.883,49.361,30.369,SOFT,11.0,Red Bull Racing,2.0,218.4817518248175,315.0,65.0,67.35766423357664,0.5571776155717761,0.13381995133819952,18.3,29.9,266.0,1.2,-1.0181852453449671,1.1463164985205592,1
8,11,VER,112.714,12.0,1.0,32.711,49.661,30.342,SOFT,12.0,Red Bull Racing,2.0,222.4964539007092,313.0,65.0,69.17257683215131,0.5721040189125296,0.14184397163120568,18.2,29.2,159.0,2.5,-1.6167850123449719,0.7649995968013309,1
9,12,VER,112.962,13.0,1.0,32.883,49.588,30.491,SOFT,13.0,Red Bull Racing,1.0,220.80429594272076,313.0,63.0,68.67780429594272,0.5632458233890215,0.14081145584725538,18.0,29.1,349.0,1.7,-1.0988575799265374,1.3847177791256715,1
10,15,VER,110.696,16.0,2.0,31.588,49.186,29.922,MEDIUM,2.0,Red Bull Racing,2.0,225.33009708737865,333.0,65.0,67.72087378640776,0.5703883495145631,0.16747572815533981,18.2,28.3,55.0,1.0,-1.4563181485103105,-2.599979266002105,0
11,16,VER,110.108,17.0,2.0,31.791,48.188,30.129,MEDIUM,3.0,Red Bull Racing,1.0,229.07673267326732,335.0,64.0,69.58910891089108,0.551980198019802,0.14603960396039603,18.2,28.8,133.0,2.4,-2.637954053403487,-2.3550997314685143,1
12,17,VER,111.637,18.0,2.0,32.664,48.716,30.257,MEDIUM,4.0,Red Bull Racing,1.0,225.42925659472422,313.0,67.0,68.36450839328538,0.5611510791366906,0.11990407673860912,18.2,28.3,144.0,1.0,-2.7401614894899193,0.49044867851667967,1
13,18,VER,111.956,19.0,2.0,32.659,48.697,30.6,MEDIUM,5.0,Red Bull Racing,1.0,222.29227053140096,313.0,64.0,66.27053140096618,0.5410628019323671,0.13526570048309178,18.0,27.9,134.0,0.8,-1.1842672882196277,0.901601041471459,1
14,19,VER,115.733,20.0,2.0,33.136,50.946,31.651,MEDIUM,6.0,Red Bull Racing,1.0,216.22045454545454,312.0,62.0,63.84318181818182,0.4909090909090909,0.17727272727272728,17.9,27.5,37.0,0.3,2.5965741486403795,2.290175028140891,2
15,20,VER,114.915,21.0,2.0,33.974,50.087,30.854,MEDIUM,7.0,Red Bull Racing,1.0,217.15068493150685,312.0,67.0,63.86073059360731,0.4908675799086758,0.1598173515981735,17.7,27.2,55.0,1.5,0.681613270727148,2.779563604474167,2
16,21,VER,115.325,22.0,2.0,33.125,51.111,31.089,MEDIUM,8.0,Red Bull Racing,1.0,218.36301369863014,313.0,66.0,65.31050228310502,0.4977168949771689,0.182648401826484,17.5,26.0,123.0,1.5,1.3017031573478375,1.7205104386718384,2
17,22,VER,112.905,23.0,2.0,33.482,49.274,30.149,MEDIUM,9.0,Red Bull Racing,1.0,221.5754060324826,312.0,65.0,66.62412993039443,0.5266821345707656,0.16009280742459397,17.4,25.6,179.0,1.7,-1.0670551312506604,1.9650333580362738,1
18,23,VER,110.996,24.0,2.0,32.673,48.189,30.134,MEDIUM,10.0,Red Bull Racing,1.0,225.9436274509804,313.0,67.0,69.16176470588235,0.5588235294117647,0.13725490196078433,17.1,25.1,84.0,1.7,-2.7584642118804275,1.0840176661796432,1
19,24,VER,111.106,25.0,2.0,32.656,48.348,30.102,MEDIUM,11.0,Red Bull Racing,1.0,224.70142180094786,313.0,68.0,68.29620853080569,0.5521327014218009,0.12559241706161137,17.0,25.0,128.0,1.7,-2.708940928483996,1.1734790867168785,1
20,25,VER,111.377,26.0,2.0,32.676,48.581,30.12,MEDIUM,12.0,Red Bull Racing,1.0,226.39140811455846,314.0,67.0,69.06682577565633,0.5704057279236276,0.1288782816229117,16.9,25.0,103.0,1.1,-2.676745887307508,1.293802635480115,1
