,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,dim1,dim2,tsne_clusters_id
0,3.0,VER,112.789,4.0,1.0,31.881,50.599,30.309,325.0,187.0,212.0,308.0,SOFT,4.0,Red Bull Racing,4.0,-19.974255,-16.811554,2
1,5.0,VER,112.13,6.0,1.0,31.967,49.818,30.345,341.0,188.0,209.0,308.0,SOFT,6.0,Red Bull Racing,3.0,-22.506336,-15.262344,2
2,6.0,VER,112.415,7.0,1.0,32.639,49.487,30.289,305.0,186.0,209.0,305.0,SOFT,7.0,Red Bull Racing,3.0,-16.298012,-20.101328,2
3,7.0,VER,112.472,8.0,1.0,32.299,49.833,30.34,327.0,185.0,209.0,304.0,SOFT,8.0,Red Bull Racing,3.0,-23.176317,-10.580133,2
4,8.0,VER,111.88,9.0,1.0,32.023,49.462,30.395,339.0,188.0,209.0,307.0,SOFT,9.0,Red Bull Racing,2.0,-23.277899,-12.683068,2
5,9.0,VER,112.455,10.0,1.0,32.711,49.261,30.483,304.0,186.0,208.0,302.0,SOFT,10.0,Red Bull Racing,2.0,-21.287624,-10.777475,2
6,10.0,VER,112.613,11.0,1.0,32.883,49.361,30.369,307.0,187.0,210.0,295.0,SOFT,11.0,Red Bull Racing,2.0,-5.0826254,-16.267353,2
7,11.0,VER,112.714,12.0,1.0,32.711,49.661,30.342,305.0,187.0,210.0,303.0,SOFT,12.0,Red Bull Racing,2.0,15.441455,15.96116,0
8,15.0,VER,110.696,16.0,2.0,31.588,49.186,29.922,322.0,195.0,216.0,306.0,MEDIUM,2.0,Red Bull Racing,2.0,6.172034,-6.677354,1
9,16.0,VER,110.108,17.0,2.0,31.791,48.188,30.129,334.0,194.0,211.0,308.0,MEDIUM,3.0,Red Bull Racing,1.0,11.211685,23.863634,0
10,17.0,VER,111.637,18.0,2.0,32.664,48.716,30.257,303.0,191.0,212.0,292.0,MEDIUM,4.0,Red Bull Racing,1.0,-1.6275655,-17.11084,2
11,19.0,VER,115.733,20.0,2.0,33.136,50.946,31.651,305.0,197.0,204.0,291.0,MEDIUM,6.0,Red Bull Racing,1.0,-6.131491,-21.981947,2
12,20.0,VER,114.915,21.0,2.0,33.974,50.087,30.854,304.0,192.0,213.0,241.0,MEDIUM,7.0,Red Bull Racing,1.0,8.793519,-17.422693,1
13,21.0,VER,115.325,22.0,2.0,33.125,51.111,31.089,311.0,189.0,212.0,280.0,MEDIUM,8.0,Red Bull Racing,1.0,10.72083,-18.08293,1
14,22.0,VER,112.905,23.0,2.0,33.482,49.274,30.149,310.0,195.0,213.0,275.0,MEDIUM,9.0,Red Bull Racing,1.0,20.94822,-13.561593,1
15,23.0,VER,110.996,24.0,2.0,32.673,48.189,30.134,309.0,192.0,213.0,291.0,MEDIUM,10.0,Red Bull Racing,1.0,20.168188,-13.410336,1
16,24.0,VER,111.106,25.0,2.0,32.656,48.348,30.102,304.0,194.0,212.0,293.0,MEDIUM,11.0,Red Bull Racing,1.0,40.171547,-10.317975,1
17,25.0,VER,111.377,26.0,2.0,32.676,48.581,30.12,305.0,191.0,213.0,292.0,MEDIUM,12.0,Red Bull Racing,1.0,39.01768,-12.870488,1
18,26.0,VER,111.472,27.0,2.0,32.742,48.397,30.333,306.0,193.0,212.0,293.0,MEDIUM,13.0,Red Bull Racing,1.0,37.377766,-11.645977,1
19,27.0,VER,111.41,28.0,2.0,32.76,48.435,30.215,308.0,191.0,211.0,292.0,MEDIUM,14.0,Red Bull Racing,1.0,37.395344,-12.256716,1
20,28.0,VER,111.595,29.0,2.0,32.67,48.714,30.211,304.0,192.0,210.0,296.0,MEDIUM,15.0,Red Bull Racing,1.0,38.372814,-11.610036,1
21,31.0,VER,108.922,32.0,3.0,32.354,47.017,29.551,304.0,200.0,215.0,291.0,SOFT,2.0,Red Bull Racing,1.0,37.901493,-11.053973,1
22,32.0,VER,110.586,33.0,3.0,32.665,47.994,29.927,303.0,195.0,215.0,290.0,SOFT,3.0,Red Bull Racing,1.0,37.301212,5.507896,1
23,33.0,VER,110.792,34.0,3.0,32.556,48.197,30.039,302.0,195.0,213.0,289.0,SOFT,4.0,Red Bull Racing,1.0,27.340569,15.59633,1
24,34.0,VER,110.408,35.0,3.0,32.552,48.05,29.806,307.0,197.0,214.0,290.0,SOFT,5.0,Red Bull Racing,1.0,36.462635,-12.325532,1
25,35.0,VER,110.362,36.0,3.0,32.584,47.831,29.947,306.0,197.0,214.0,289.0,SOFT,6.0,Red Bull Racing,1.0,38.448303,-10.093775,1
26,38.0,VER,110.113,39.0,3.0,32.491,47.716,29.906,305.0,197.0,213.0,287.0,SOFT,9.0,Red Bull Racing,1.0,-28.461504,-16.458448,2
27,39.0,VER,110.067,40.0,3.0,32.66,47.491,29.916,304.0,194.0,215.0,286.0,SOFT,10.0,Red Bull Racing,1.0,-11.673229,-19.354893,2
28,40.0,VER,109.954,41.0,3.0,32.495,47.523,29.936,306.0,192.0,216.0,291.0,SOFT,11.0,Red Bull Racing,1.0,-26.520754,-10.881909,2
29,47.0,PER,112.336,4.0,1.0,32.894,49.117,30.325,299.0,192.0,210.0,293.0,SOFT,4.0,Red Bull Racing,1.0,-18.459597,-8.712891,2
30,48.0,PER,112.572,5.0,1.0,32.843,49.213,30.516,301.0,184.0,208.0,298.0,SOFT,5.0,Red Bull Racing,1.0,-19.549377,-7.4026804,2
31,49.0,PER,112.466,6.0,1.0,32.968,49.099,30.399,300.0,190.0,209.0,297.0,SOFT,6.0,Red Bull Racing,1.0,-18.878542,-0.65202844,2
