,index,Time,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,LapStartDate,dim1,dim2,cluster_id
0,1,0 days 01:25:15.964000,VER,86.163,2.0,1.0,28.274,29.543,28.346,0 days 01:24:18.057000,0 days 01:24:47.600000,0 days 01:25:15.946000,309.0,309.0,307.0,305.0,MEDIUM,2.0,Red Bull Racing,2023-09-03 13:24:50.846,-1.0511086157889968,-2.367102088126982,2
1,2,0 days 01:26:41.666000,VER,85.702,3.0,1.0,28.097,29.32,28.285,0 days 01:25:44.043000,0 days 01:26:13.363000,0 days 01:26:41.648000,310.0,320.0,308.0,309.0,MEDIUM,3.0,Red Bull Racing,2023-09-03 13:26:17.009,-2.283977901228424,-1.5118375561978745,2
2,3,0 days 01:28:07.716000,VER,86.05,4.0,1.0,28.145,29.474,28.431,0 days 01:27:09.793000,0 days 01:27:39.267000,0 days 01:28:07.698000,311.0,320.0,309.0,318.0,MEDIUM,4.0,Red Bull Racing,2023-09-03 13:27:42.711,-1.793400035314526,-0.6485377479783035,2
3,5,0 days 01:31:00.729000,VER,86.837,6.0,1.0,28.7,29.662,28.475,0 days 01:30:02.574000,0 days 01:30:32.236000,0 days 01:31:00.711000,310.0,319.0,309.0,347.0,MEDIUM,6.0,Red Bull Racing,2023-09-03 13:30:34.937,-0.2870460382537096,0.7650726412636033,1
4,6,0 days 01:32:27.097000,VER,86.368,7.0,1.0,28.166,29.751,28.451,0 days 01:31:28.877000,0 days 01:31:58.628000,0 days 01:32:27.079000,309.0,318.0,309.0,320.0,MEDIUM,7.0,Red Bull Racing,2023-09-03 13:32:01.774,-1.1466053440163633,-0.46196086443438333,2
5,7,0 days 01:33:53.087000,VER,85.99,8.0,1.0,28.075,29.432,28.483,0 days 01:32:55.154000,0 days 01:33:24.586000,0 days 01:33:53.069000,312.0,322.0,310.0,321.0,MEDIUM,8.0,Red Bull Racing,2023-09-03 13:33:28.142,-2.0920894406632775,-0.20536042184093756,2
6,10,0 days 01:38:12.938000,VER,86.643,11.0,1.0,28.233,29.893,28.517,0 days 01:37:14.510000,0 days 01:37:44.403000,0 days 01:38:12.920000,311.0,322.0,308.0,319.0,MEDIUM,11.0,Red Bull Racing,2023-09-03 13:37:47.340,-0.6193210698524134,-0.04771567035221248,2
7,13,0 days 01:42:33.074000,VER,87.028,14.0,1.0,28.223,30.28,28.525,0 days 01:41:34.251000,0 days 01:42:04.531000,0 days 01:42:33.056000,314.0,320.0,310.0,343.0,MEDIUM,14.0,Red Bull Racing,2023-09-03 13:42:07.091,-0.35421730841643195,1.8518550965976275,1
8,14,0 days 01:43:59.856000,VER,86.782,15.0,1.0,28.137,30.444,28.201,0 days 01:43:01.193000,0 days 01:43:31.637000,0 days 01:43:59.838000,320.0,306.0,306.0,345.0,MEDIUM,15.0,Red Bull Racing,2023-09-03 13:43:34.119,-0.5364120314254082,1.0147841947397984,1
9,15,0 days 01:45:26.574000,VER,86.718,16.0,1.0,28.45,29.91,28.358,0 days 01:44:28.288000,0 days 01:44:58.198000,0 days 01:45:26.556000,307.0,306.0,307.0,308.0,MEDIUM,16.0,Red Bull Racing,2023-09-03 13:45:00.901,0.10839191934524137,-2.1645960405142755,2
