,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
0,1,VER,86.163,2.0,1.0,28.274,29.543,28.346,309.0,309.0,307.0,305.0,MEDIUM,2.0,Red Bull Racing,2.0,239.7459807073955,327.0,66.0,72.04180064308682,0.6559485530546624,0.1607717041800643,29.2,43.1,189.0,1.0,-23.741137263705102,-17.045877816235393,1
1,2,VER,85.702,3.0,1.0,28.097,29.32,28.285,310.0,320.0,308.0,309.0,MEDIUM,3.0,Red Bull Racing,2.0,241.22981366459626,326.0,67.0,73.83850931677019,0.6614906832298136,0.15838509316770186,29.3,43.2,36.0,0.6,128.8138200548469,-45.62312682578273,2
2,3,VER,86.05,4.0,1.0,28.145,29.474,28.431,311.0,320.0,309.0,318.0,MEDIUM,4.0,Red Bull Racing,2.0,239.8435582822086,334.0,67.0,73.43865030674847,0.6595092024539877,0.15950920245398773,29.5,43.1,204.0,0.8,-34.81126659573443,5.042565718313145,0
3,5,VER,86.837,6.0,1.0,28.7,29.662,28.475,310.0,319.0,309.0,347.0,MEDIUM,6.0,Red Bull Racing,2.0,239.00625,347.0,45.0,73.796875,0.65625,0.159375,29.5,43.3,145.0,1.6,36.139097088866045,28.100122044195896,1
4,6,VER,86.368,7.0,1.0,28.166,29.751,28.451,309.0,318.0,309.0,320.0,MEDIUM,7.0,Red Bull Racing,2.0,240.1818181818182,331.0,68.0,73.37575757575758,0.6696969696969697,0.16363636363636364,29.6,43.6,160.0,1.8,11.017896760862554,-5.880997635756669,1
5,7,VER,85.99,8.0,1.0,28.075,29.432,28.483,312.0,322.0,310.0,321.0,MEDIUM,8.0,Red Bull Racing,2.0,240.19938650306747,335.0,67.0,71.31288343558282,0.6319018404907976,0.18098159509202455,29.7,43.6,0.0,2.4,168.17675941910642,-34.76754959209649,2
6,10,VER,86.643,11.0,1.0,28.233,29.893,28.517,311.0,322.0,308.0,319.0,MEDIUM,11.0,Red Bull Racing,2.0,240.934375,333.0,64.0,73.003125,0.646875,0.15625,29.9,43.9,181.0,1.8,-9.876887714454304,3.0980767862468457,1
7,13,VER,87.028,14.0,1.0,28.223,30.28,28.525,314.0,320.0,310.0,343.0,MEDIUM,14.0,Red Bull Racing,2.0,236.403785488959,345.0,66.0,69.33753943217665,0.6025236593059937,0.17034700315457413,30.1,43.7,205.0,1.5,-28.85263783489035,32.32855947207828,0
8,14,VER,86.782,15.0,1.0,28.137,30.444,28.201,320.0,306.0,306.0,345.0,MEDIUM,15.0,Red Bull Racing,1.0,237.66875,346.0,59.0,74.60625,0.65,0.153125,30.0,43.7,258.0,2.0,-80.37692275539685,46.304734071527584,0
9,15,VER,86.718,16.0,1.0,28.45,29.91,28.358,307.0,306.0,307.0,308.0,MEDIUM,16.0,Red Bull Racing,1.0,239.49216300940438,318.0,66.0,74.63009404388714,0.658307210031348,0.13793103448275862,30.0,43.9,178.0,1.7,-11.867572253827761,-20.82649086695799,1
