,index,Time,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,LapStartDate,dim1,dim2,cluster_id
0,2,0 days 01:07:57.363000,VER,101.51,3.0,1.0,29.192,43.226,29.092,0 days 01:06:45.041000,0 days 01:07:28.267000,0 days 01:07:57.359000,290.0,272.0,244.0,281.0,HARD,3.0,Red Bull Racing,2023-09-17 12:07:16.364,1.4648318880493167,0.3806566586115094,2
1,3,0 days 01:09:38.506000,VER,101.143,4.0,1.0,29.199,43.338,28.606,0 days 01:08:26.558000,0 days 01:09:09.896000,0 days 01:09:38.502000,300.0,261.0,245.0,291.0,HARD,4.0,Red Bull Racing,2023-09-17 12:08:57.874,0.9145877942953704,0.7395058661200676,2
2,6,0 days 01:14:41.550000,VER,100.423,7.0,1.0,29.547,42.619,28.257,0 days 01:13:30.670000,0 days 01:14:13.289000,0 days 01:14:41.546000,286.0,253.0,242.0,276.0,HARD,7.0,Red Bull Racing,2023-09-17 12:14:01.638,0.7679356931367329,-2.59292963591852,0
3,7,0 days 01:16:21.727000,VER,100.177,8.0,1.0,29.375,42.775,28.027,0 days 01:15:10.921000,0 days 01:15:53.696000,0 days 01:16:21.723000,288.0,258.0,241.0,284.0,HARD,8.0,Red Bull Racing,2023-09-17 12:15:42.061,0.40645433897042016,-1.3995918458404697,0
4,8,0 days 01:18:01.991000,VER,100.264,9.0,1.0,29.366,42.774,28.124,0 days 01:16:51.089000,0 days 01:17:33.863000,0 days 01:18:01.987000,291.0,257.0,242.0,286.0,HARD,9.0,Red Bull Racing,2023-09-17 12:17:22.238,0.40267033499648225,-1.0683857465918212,0
5,9,0 days 01:19:42.399000,VER,100.408,10.0,1.0,29.385,42.904,28.119,0 days 01:18:31.372000,0 days 01:19:14.276000,0 days 01:19:42.395000,290.0,259.0,246.0,284.0,HARD,10.0,Red Bull Racing,2023-09-17 12:19:02.502,0.030430791420717036,-0.8795046658933349,0
6,10,0 days 01:21:22.822000,VER,100.423,11.0,1.0,29.174,43.092,28.157,0 days 01:20:11.569000,0 days 01:20:54.661000,0 days 01:21:22.818000,294.0,265.0,243.0,293.0,HARD,11.0,Red Bull Racing,2023-09-17 12:20:42.910,0.23667402217943237,0.601285258034955,2
7,11,0 days 01:23:03.424000,VER,100.602,12.0,1.0,29.376,43.056,28.17,0 days 01:21:52.194000,0 days 01:22:35.250000,0 days 01:23:03.420000,283.0,257.0,243.0,282.0,HARD,12.0,Red Bull Racing,2023-09-17 12:22:23.333,0.6161424119410007,-1.6860311461568405,0
8,12,0 days 01:24:44.117000,VER,100.693,13.0,1.0,29.363,43.118,28.212,0 days 01:23:32.783000,0 days 01:24:15.901000,0 days 01:24:44.113000,288.0,260.0,244.0,283.0,HARD,13.0,Red Bull Racing,2023-09-17 12:24:03.935,0.566091344784051,-0.9847216130307743,0
9,13,0 days 01:26:24.750000,VER,100.633,14.0,1.0,29.398,43.147,28.088,0 days 01:25:13.511000,0 days 01:25:56.658000,0 days 01:26:24.746000,290.0,261.0,244.0,282.0,HARD,14.0,Red Bull Racing,2023-09-17 12:25:44.628,0.4845315471549075,-0.9208267437548123,0
10,15,0 days 01:29:45.346000,VER,100.39,16.0,1.0,29.385,43.003,28.002,0 days 01:28:34.337000,0 days 01:29:17.340000,0 days 01:29:45.342000,290.0,259.0,243.0,281.0,HARD,16.0,Red Bull Racing,2023-09-17 12:29:05.467,0.366677364235917,-1.2903112907039347,0
11,16,0 days 01:31:25.827000,VER,100.481,17.0,1.0,29.424,42.957,28.1,0 days 01:30:14.766000,0 days 01:30:57.723000,0 days 01:31:25.823000,291.0,262.0,241.0,283.0,HARD,17.0,Red Bull Racing,2023-09-17 12:30:45.857,0.7224124239785438,-0.9225818361201978,0
12,17,0 days 01:33:06.291000,VER,100.464,18.0,1.0,29.297,42.985,28.182,0 days 01:31:55.120000,0 days 01:32:38.105000,0 days 01:33:06.287000,290.0,261.0,242.0,281.0,HARD,18.0,Red Bull Racing,2023-09-17 12:32:26.338,0.5619854200694816,-1.07728835305245,0
13,22,0 days 01:43:50.726000,VER,103.346,23.0,1.0,29.525,44.42,29.401,0 days 01:42:36.901000,0 days 01:43:21.321000,0 days 01:43:50.722000,289.0,260.0,241.0,284.0,HARD,23.0,Red Bull Racing,2023-09-17 12:43:07.891,3.9833184567144984,-0.3006295561426082,0
14,24,0 days 01:47:13.397000,VER,100.7,25.0,1.0,29.509,43.123,28.068,0 days 01:46:02.202000,0 days 01:46:45.325000,0 days 01:47:13.393000,288.0,258.0,244.0,279.0,HARD,25.0,Red Bull Racing,2023-09-17 12:46:33.208,0.6369195696472935,-1.5983479819209163,0
15,25,0 days 01:48:53.641000,VER,100.244,26.0,1.0,29.323,42.895,28.026,0 days 01:47:42.716000,0 days 01:48:25.611000,0 days 01:48:53.637000,289.0,260.0,245.0,283.0,HARD,26.0,Red Bull Racing,2023-09-17 12:48:13.908,-0.07241457637973257,-0.9866572506018938,0
16,28,0 days 01:53:56.689000,VER,100.437,29.0,1.0,29.239,43.116,28.082,0 days 01:52:45.487000,0 days 01:53:28.603000,0 days 01:53:56.685000,290.0,259.0,244.0,282.0,HARD,29.0,Red Bull Racing,2023-09-17 12:53:16.763,0.23510649978987797,-1.0250295373003204,0
17,30,0 days 01:57:17.262000,VER,100.247,31.0,1.0,29.203,42.946,28.098,0 days 01:56:06.214000,0 days 01:56:49.160000,0 days 01:57:17.258000,291.0,261.0,243.0,284.0,HARD,31.0,Red Bull Racing,2023-09-17 12:56:37.526,0.13907666520176704,-0.7179717555529599,0
18,32,0 days 02:00:37.382000,VER,100.087,33.0,1.0,29.136,42.96,27.991,0 days 01:59:26.427000,0 days 02:00:09.387000,0 days 02:00:37.378000,288.0,261.0,243.0,283.0,HARD,33.0,Red Bull Racing,2023-09-17 12:59:57.806,-0.0899119985726081,-0.9622833868386809,0
19,33,0 days 02:02:17.760000,VER,100.378,34.0,1.0,29.177,43.109,28.092,0 days 02:01:06.555000,0 days 02:01:49.664000,0 days 02:02:17.756000,289.0,261.0,244.0,282.0,HARD,34.0,Red Bull Racing,2023-09-17 13:01:37.893,0.127234354209067,-0.8789361295188708,0
20,36,0 days 02:07:18.622000,VER,100.224,37.0,1.0,29.14,43.006,28.078,0 days 02:06:07.534000,0 days 02:06:50.540000,0 days 02:07:18.618000,290.0,262.0,241.0,283.0,HARD,37.0,Red Bull Racing,2023-09-17 13:06:38.909,0.3226370092993422,-0.832212474402864,0
21,37,0 days 02:08:59.232000,VER,100.61,38.0,1.0,29.19,43.225,28.195,0 days 02:07:47.808000,0 days 02:08:31.033000,0 days 02:08:59.228000,289.0,262.0,243.0,284.0,HARD,38.0,Red Bull Racing,2023-09-17 13:08:19.133,0.4979027264919994,-0.6198817949995179,0
22,38,0 days 02:10:40.405000,VER,101.173,39.0,1.0,29.285,43.547,28.341,0 days 02:09:28.513000,0 days 02:10:12.060000,0 days 02:10:40.401000,290.0,262.0,243.0,283.0,HARD,39.0,Red Bull Racing,2023-09-17 13:09:59.743,1.14501082211633,-0.5476886757802704,0
23,41,0 days 02:16:06.174000,VER,97.713,42.0,2.0,28.603,41.522,27.588,0 days 02:14:57.060000,0 days 02:15:38.582000,0 days 02:16:06.170000,288.0,263.0,250.0,284.0,MEDIUM,2.0,Red Bull Racing,2023-09-17 13:15:28.972,-3.684465803767231,-0.6551841157684061,1
24,45,0 days 02:23:42.562000,VER,97.57,46.0,2.0,28.654,41.533,27.383,0 days 02:22:33.642000,0 days 02:23:15.175000,0 days 02:23:42.558000,292.0,262.0,249.0,283.0,MEDIUM,6.0,Red Bull Racing,2023-09-17 13:23:05.503,-3.712613545900411,-0.7433870542812647,1
25,47,0 days 02:26:58.985000,VER,98.333,48.0,2.0,28.439,42.401,27.493,0 days 02:25:49.087000,0 days 02:26:31.488000,0 days 02:26:58.981000,309.0,276.0,250.0,283.0,MEDIUM,8.0,Red Bull Racing,2023-09-17 13:26:21.163,-3.262507190783611,1.83106150284079,1
