,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
0,2,VER,101.51,3.0,1.0,29.192,43.226,29.092,290.0,272.0,244.0,281.0,HARD,3.0,Red Bull Racing,9.0,174.4625322997416,308.0,52.0,54.42635658914729,0.3875968992248062,0.25064599483204136,29.9,37.3,168.0,1.0,11.987919971030161,-13.378592698075048,0
1,3,VER,101.143,4.0,1.0,29.199,43.338,28.606,300.0,261.0,245.0,291.0,HARD,4.0,Red Bull Racing,9.0,171.0424403183024,305.0,61.0,52.6710875331565,0.376657824933687,0.246684350132626,29.9,37.2,183.0,1.2,-12.336070034347397,-14.14691063392241,1
2,6,VER,100.423,7.0,1.0,29.547,42.619,28.257,286.0,253.0,242.0,276.0,HARD,7.0,Red Bull Racing,8.0,175.36631016042782,287.0,64.0,54.57486631016043,0.39572192513368987,0.22192513368983957,30.0,36.8,163.0,1.2,14.39840573199633,17.69196334437677,0
3,7,VER,100.177,8.0,1.0,29.375,42.775,28.027,288.0,258.0,241.0,284.0,HARD,8.0,Red Bull Racing,8.0,174.7303664921466,291.0,61.0,55.76701570680628,0.4109947643979058,0.2356020942408377,30.0,36.5,161.0,1.7,12.594957326807457,7.889399129384979,0
4,8,VER,100.264,9.0,1.0,29.366,42.774,28.124,291.0,257.0,242.0,286.0,HARD,9.0,Red Bull Racing,8.0,174.7108108108108,292.0,62.0,55.43783783783784,0.3918918918918919,0.22432432432432434,30.0,36.3,163.0,1.7,10.209956494907388,5.523349361384204,0
5,9,VER,100.408,10.0,1.0,29.385,42.904,28.119,290.0,259.0,246.0,284.0,HARD,10.0,Red Bull Racing,8.0,172.96747967479675,292.0,62.0,54.06233062330623,0.3902439024390244,0.25474254742547425,30.0,36.2,175.0,1.2,-0.8002982595900043,7.26551687751891,2
6,10,VER,100.423,11.0,1.0,29.174,43.092,28.157,294.0,265.0,243.0,293.0,HARD,11.0,Red Bull Racing,8.0,172.1577540106952,306.0,62.0,52.74598930481283,0.3582887700534759,0.25935828877005346,30.0,36.8,145.0,1.1,24.899119822443904,-13.28091431953373,0
7,11,VER,100.602,12.0,1.0,29.376,43.056,28.17,283.0,257.0,243.0,282.0,HARD,12.0,Red Bull Racing,8.0,172.72554347826087,291.0,59.0,52.15760869565217,0.3695652173913043,0.25271739130434784,30.1,36.8,138.0,2.0,34.49888651081189,9.503734804716482,0
8,12,VER,100.693,13.0,1.0,29.363,43.118,28.212,288.0,260.0,244.0,283.0,HARD,13.0,Red Bull Racing,8.0,174.79255319148936,292.0,60.0,52.601063829787236,0.36436170212765956,0.2553191489361702,30.1,36.6,158.0,1.5,12.885540537852624,6.890336344107856,0
9,13,VER,100.633,14.0,1.0,29.398,43.147,28.088,290.0,261.0,244.0,282.0,HARD,14.0,Red Bull Racing,8.0,171.92572944297083,293.0,60.0,53.47214854111406,0.3713527851458886,0.2413793103448276,30.1,36.4,156.0,1.2,14.91331673830497,4.85864738454093,0
