Pos.,Team,Driver,Time (sec),Lap,Points
1,Red Bull,Perez,2.32,39,25
2,McLaren,Norris,2.46,20,18
3,Ferrari,Sainz,2.51,20,15
4,McLaren,Piastri,2.54,20,12
5,Alpine,Ocon,2.65,20,10
6,Alfa Romeo,Zhou,2.88,2,8
7,Williams,Albon,2.99,43,6
8,Mercedes,Russell,3.01,20,4
9,Mercedes,Russell,3.01,44,
10,Red Bull,Verstappen,3.02,40,2
11,Mercedes,Hamilton,3.18,44,1
12,Williams,Albon,3.27,20,
13,Alfa Romeo,Bottas,3.41,40,
14,Alfa Romeo,Zhou,3.55,20,
15,Aston Martin,Alonso,3.66,20,
16,Mercedes,Hamilton,3.73,20,
17,Haas,Magnussen,3.92,20,
18,Williams,Sargeant,4.12,43,
19,Alpine,Gasly,4.69,20,
20,Haas,Hulkenberg,4.92,20,
21,AlphaTauri,Lawson,5.19,20,
22,Ferrari,Leclerc,5.70,20,
23,Haas,Magnussen,6.19,43,
24,Aston Martin,Alonso,25.89,44,
25,Williams,Sargeant,35.33,19,
