,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,dim1,dim2,tsne_clusters_id
0,2,VER,101.51,3.0,1.0,29.192,43.226,29.092,290.0,272.0,244.0,281.0,HARD,3.0,Red Bull Racing,9.0,-18.476406,7.377874,2
1,3,VER,101.143,4.0,1.0,29.199,43.338,28.606,300.0,261.0,245.0,291.0,HARD,4.0,Red Bull Racing,9.0,-6.1772094,13.508047,2
2,6,VER,100.423,7.0,1.0,29.547,42.619,28.257,286.0,253.0,242.0,276.0,HARD,7.0,Red Bull Racing,8.0,-6.789013,-20.99621,0
3,7,VER,100.177,8.0,1.0,29.375,42.775,28.027,288.0,258.0,241.0,284.0,HARD,8.0,Red Bull Racing,8.0,-6.191514,-7.973028,0
4,8,VER,100.264,9.0,1.0,29.366,42.774,28.124,291.0,257.0,242.0,286.0,HARD,9.0,Red Bull Racing,8.0,-6.2857375,-7.70292,0
5,9,VER,100.408,10.0,1.0,29.385,42.904,28.119,290.0,259.0,246.0,284.0,HARD,10.0,Red Bull Racing,8.0,-1.9469126,-11.771386,0
6,10,VER,100.423,11.0,1.0,29.174,43.092,28.157,294.0,265.0,243.0,293.0,HARD,11.0,Red Bull Racing,8.0,-3.449025,10.758,2
7,11,VER,100.602,12.0,1.0,29.376,43.056,28.17,283.0,257.0,243.0,282.0,HARD,12.0,Red Bull Racing,8.0,-5.134919,-16.992449,0
8,12,VER,100.693,13.0,1.0,29.363,43.118,28.212,288.0,260.0,244.0,283.0,HARD,13.0,Red Bull Racing,8.0,-6.236599,-10.375803,0
9,13,VER,100.633,14.0,1.0,29.398,43.147,28.088,290.0,261.0,244.0,282.0,HARD,14.0,Red Bull Racing,8.0,-5.2075396,-9.983979,0
10,15,VER,100.39,16.0,1.0,29.385,43.003,28.002,290.0,259.0,243.0,281.0,HARD,16.0,Red Bull Racing,8.0,-4.241809,-9.830522,0
11,16,VER,100.481,17.0,1.0,29.424,42.957,28.1,291.0,262.0,241.0,283.0,HARD,17.0,Red Bull Racing,8.0,-9.791556,-4.8474307,0
12,17,VER,100.464,18.0,1.0,29.297,42.985,28.182,290.0,261.0,242.0,281.0,HARD,18.0,Red Bull Racing,8.0,-4.79255,-7.3011093,0
13,22,VER,103.346,23.0,1.0,29.525,44.42,29.401,289.0,260.0,241.0,284.0,HARD,23.0,Red Bull Racing,3.0,-27.994307,5.973997,2
14,24,VER,100.7,25.0,1.0,29.509,43.123,28.068,288.0,258.0,244.0,279.0,HARD,25.0,Red Bull Racing,4.0,-4.3714848,-14.359539,0
15,25,VER,100.244,26.0,1.0,29.323,42.895,28.026,289.0,260.0,245.0,283.0,HARD,26.0,Red Bull Racing,4.0,-2.0034347,-10.827176,0
16,28,VER,100.437,29.0,1.0,29.239,43.116,28.082,290.0,259.0,244.0,282.0,HARD,29.0,Red Bull Racing,6.0,-3.1091514,-9.4706955,0
17,30,VER,100.247,31.0,1.0,29.203,42.946,28.098,291.0,261.0,243.0,284.0,HARD,31.0,Red Bull Racing,6.0,-4.566512,-5.6885495,0
18,32,VER,100.087,33.0,1.0,29.136,42.96,27.991,288.0,261.0,243.0,283.0,HARD,33.0,Red Bull Racing,6.0,-2.0921602,-7.1248364,0
19,33,VER,100.378,34.0,1.0,29.177,43.109,28.092,289.0,261.0,244.0,282.0,HARD,34.0,Red Bull Racing,6.0,-2.3027947,-8.489609,0
20,36,VER,100.224,37.0,1.0,29.14,43.006,28.078,290.0,262.0,241.0,283.0,HARD,37.0,Red Bull Racing,6.0,-3.8146975,-6.2507963,0
21,37,VER,100.61,38.0,1.0,29.19,43.225,28.195,289.0,262.0,243.0,284.0,HARD,38.0,Red Bull Racing,6.0,-6.9066043,-4.02575,0
22,38,VER,101.173,39.0,1.0,29.285,43.547,28.341,290.0,262.0,243.0,283.0,HARD,39.0,Red Bull Racing,6.0,-16.85793,-2.745104,2
23,41,VER,97.713,42.0,2.0,28.603,41.522,27.588,288.0,263.0,250.0,284.0,MEDIUM,2.0,Red Bull Racing,15.0,27.308723,0.79127353,1
24,45,VER,97.57,46.0,2.0,28.654,41.533,27.383,292.0,262.0,249.0,283.0,MEDIUM,6.0,Red Bull Racing,11.0,27.980782,0.4168862,1
25,47,VER,98.333,48.0,2.0,28.439,42.401,27.493,309.0,276.0,250.0,283.0,MEDIUM,8.0,Red Bull Racing,9.0,15.483337,16.767708,1
26,48,VER,97.085,49.0,2.0,28.514,41.362,27.209,290.0,261.0,251.0,281.0,MEDIUM,9.0,Red Bull Racing,9.0,30.809774,0.088613905,1
27,49,VER,99.006,50.0,2.0,28.78,42.024,28.202,293.0,278.0,251.0,285.0,MEDIUM,10.0,Red Bull Racing,8.0,15.205106,10.551144,1
28,50,VER,97.144,51.0,2.0,28.628,41.326,27.19,286.0,261.0,249.0,280.0,MEDIUM,11.0,Red Bull Racing,8.0,30.09742,-0.4606759,1
29,51,VER,96.835,52.0,2.0,28.472,41.24,27.123,289.0,263.0,252.0,286.0,MEDIUM,12.0,Red Bull Racing,8.0,30.943428,1.3023866,1
30,53,VER,98.196,54.0,2.0,28.438,42.164,27.594,312.0,280.0,252.0,285.0,MEDIUM,14.0,Red Bull Racing,7.0,15.50062,17.02242,1
31,54,VER,96.899,55.0,2.0,28.515,41.295,27.089,289.0,262.0,251.0,284.0,MEDIUM,15.0,Red Bull Racing,7.0,30.928026,0.74527305,1
32,55,VER,97.519,56.0,2.0,28.578,41.452,27.489,291.0,273.0,252.0,286.0,MEDIUM,16.0,Red Bull Racing,7.0,28.609436,4.649746,1
33,56,VER,99.299,57.0,2.0,28.694,42.968,27.637,316.0,276.0,249.0,299.0,MEDIUM,17.0,Red Bull Racing,6.0,9.859343,20.949093,1
34,61,VER,98.197,62.0,2.0,28.493,41.975,27.729,293.0,267.0,252.0,287.0,MEDIUM,22.0,Red Bull Racing,5.0,26.884117,6.098187,1
35,64,GAS,101.442,3.0,1.0,29.493,43.116,28.833,300.0,267.0,242.0,275.0,MEDIUM,3.0,Alpine,11.0,-18.670177,-6.133763,0
36,65,GAS,101.334,4.0,1.0,29.317,43.488,28.529,288.0,265.0,245.0,289.0,MEDIUM,4.0,Alpine,11.0,-18.47027,2.7553246,2
37,66,GAS,101.292,5.0,1.0,29.195,43.501,28.596,293.0,265.0,244.0,288.0,MEDIUM,5.0,Alpine,11.0,-17.816658,2.876064,2
38,67,GAS,101.829,6.0,1.0,29.128,44.03,28.671,289.0,267.0,245.0,290.0,MEDIUM,6.0,Alpine,11.0,-21.16412,8.34118,2
39,68,GAS,101.399,7.0,1.0,29.472,43.406,28.521,299.0,264.0,242.0,293.0,MEDIUM,7.0,Alpine,11.0,-6.512453,12.337223,2
40,69,GAS,100.677,8.0,1.0,29.236,43.149,28.292,296.0,265.0,245.0,289.0,MEDIUM,8.0,Alpine,11.0,-2.9294329,6.678461,2
41,70,GAS,101.063,9.0,1.0,29.148,43.382,28.533,298.0,266.0,235.0,290.0,MEDIUM,9.0,Alpine,11.0,-11.676932,4.600802,2
42,71,GAS,100.378,10.0,1.0,29.07,43.027,28.281,303.0,268.0,246.0,287.0,MEDIUM,10.0,Alpine,11.0,-1.2086209,13.73694,2
43,72,GAS,100.728,11.0,1.0,29.165,43.348,28.215,304.0,266.0,244.0,293.0,MEDIUM,11.0,Alpine,11.0,-3.088161,16.24845,2
44,73,GAS,100.439,12.0,1.0,29.013,43.135,28.291,302.0,267.0,244.0,291.0,MEDIUM,12.0,Alpine,11.0,-1.8780107,15.654012,2
