,Time,Status,Message
0,0 days 00:00:00,1,AllClear
1,0 days 01:04:20.881000,2,Yellow
2,0 days 01:04:26.069000,1,AllClear
3,0 days 01:04:37.490000,2,Yellow
4,0 days 01:04:55.006000,1,AllClear
5,0 days 01:34:03.392000,2,Yellow
6,0 days 01:34:23.252000,1,AllClear
7,0 days 01:35:40.282000,4,SCDeployed
8,0 days 01:41:49.293000,1,AllClear
9,0 days 02:16:10.019000,2,Yellow
10,0 days 02:17:05.534000,6,VSCDeployed
11,0 days 02:20:29.032000,7,VSCEnding
12,0 days 02:20:43.673000,1,AllClear
13,0 days 02:23:46.874000,2,Yellow
14,0 days 02:24:02.795000,1,AllClear
15,0 days 02:33:41.851000,2,Yellow
16,0 days 02:33:44.273000,1,AllClear
17,0 days 02:43:05.720000,2,Yellow
18,0 days 02:43:26.282000,1,AllClear
19,0 days 02:48:37.888000,2,Yellow
