,index,Time,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,LapStartDate,dim1,dim2,cluster_id
0,4,0 days 01:15:06.422000,VER,96.748,5.0,1.0,34.9,42.96,18.888,0 days 01:14:04.574000,0 days 01:14:47.534000,0 days 01:15:06.422000,276.0,294.0,253.0,286.0,MEDIUM,5.0,Red Bull Racing,2023-09-24 05:14:31.083,-1.3099356547684584,3.2223756990846315,2
1,5,0 days 01:16:44.259000,VER,97.837,6.0,1.0,35.176,43.659,19.002,0 days 01:15:41.598000,0 days 01:16:25.257000,0 days 01:16:44.259000,274.0,295.0,253.0,285.0,MEDIUM,6.0,Red Bull Racing,2023-09-24 05:16:07.831,-0.22971532625221797,2.757525895465516,2
2,6,0 days 01:18:22.292000,VER,98.033,7.0,1.0,35.395,43.518,19.12,0 days 01:17:19.654000,0 days 01:18:03.172000,0 days 01:18:22.292000,277.0,296.0,254.0,283.0,MEDIUM,7.0,Red Bull Racing,2023-09-24 05:17:45.668,-0.22250078192214795,2.6522299264949507,2
3,8,0 days 01:21:38.681000,VER,98.241,9.0,1.0,35.535,43.764,18.942,0 days 01:20:35.975000,0 days 01:21:19.739000,0 days 01:21:38.681000,275.0,296.0,253.0,285.0,MEDIUM,9.0,Red Bull Racing,2023-09-24 05:21:01.849,0.010485813626615687,2.2866862027457846,2
4,9,0 days 01:23:16.982000,VER,98.301,10.0,1.0,35.544,43.76,18.997,0 days 01:22:14.225000,0 days 01:22:57.985000,0 days 01:23:16.982000,274.0,296.0,253.0,285.0,MEDIUM,10.0,Red Bull Racing,2023-09-24 05:22:40.090,0.17540525808469862,2.2641077736751325,2
5,10,0 days 01:24:55.501000,VER,98.519,11.0,1.0,35.704,43.81,19.005,0 days 01:23:52.686000,0 days 01:24:36.496000,0 days 01:24:55.501000,273.0,296.0,254.0,283.0,MEDIUM,11.0,Red Bull Racing,2023-09-24 05:24:18.391,0.46547853856316884,2.242740761953866,2
6,12,0 days 01:28:12.841000,VER,98.689,13.0,1.0,35.715,43.93,19.044,0 days 01:27:09.867000,0 days 01:27:53.797000,0 days 01:28:12.841000,277.0,298.0,253.0,288.0,MEDIUM,13.0,Red Bull Racing,2023-09-24 05:27:35.561,0.13736576705085918,1.4789717049384266,2
7,14,0 days 01:31:50.968000,VER,98.373,15.0,1.0,35.566,43.781,19.026,0 days 01:30:48.161000,0 days 01:31:31.942000,0 days 01:31:50.968000,277.0,297.0,254.0,286.0,MEDIUM,15.0,Red Bull Racing,2023-09-24 05:31:14.004,-0.1110736458581561,1.950663783701671,2
8,17,0 days 01:37:07.564000,VER,97.399,18.0,2.0,35.205,43.259,18.935,0 days 01:36:05.370000,0 days 01:36:48.629000,0 days 01:37:07.564000,278.0,299.0,256.0,286.0,MEDIUM,2.0,Red Bull Racing,2023-09-24 05:36:31.574,-1.2120920735047385,1.6911089609843282,2
9,18,0 days 01:38:45.333000,VER,97.769,19.0,2.0,35.312,43.573,18.884,0 days 01:37:42.876000,0 days 01:38:26.449000,0 days 01:38:45.333000,280.0,297.0,254.0,287.0,MEDIUM,3.0,Red Bull Racing,2023-09-24 05:38:08.973,-0.9826284580018245,2.1161304312639273,2
