,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
0,4,VER,96.748,5.0,1.0,34.9,42.96,18.888,276.0,294.0,253.0,286.0,MEDIUM,5.0,Red Bull Racing,1.0,216.62952646239555,301.0,73.0,64.53760445682451,0.49025069637883006,0.15598885793871867,27.2,42.6,133.0,2.0,-13.027619464572036,15.485519333708215,0
1,5,VER,97.837,6.0,1.0,35.176,43.659,19.002,274.0,295.0,253.0,285.0,MEDIUM,6.0,Red Bull Racing,1.0,213.356940509915,301.0,70.0,62.82152974504249,0.46175637393767704,0.17847025495750707,27.2,43.0,130.0,3.0,-8.20909240847231,-16.22099066008676,0
2,6,VER,98.033,7.0,1.0,35.395,43.518,19.12,277.0,296.0,254.0,283.0,MEDIUM,7.0,Red Bull Racing,1.0,210.9439775910364,303.0,69.0,61.182072829131656,0.44537815126050423,0.18487394957983194,27.1,42.8,79.0,1.3,44.211196442932916,-14.262363047110524,2
3,8,VER,98.241,9.0,1.0,35.535,43.764,18.942,275.0,296.0,253.0,285.0,MEDIUM,9.0,Red Bull Racing,1.0,210.46174863387978,303.0,67.0,60.486338797814206,0.4426229508196721,0.1830601092896175,27.1,43.0,9.0,1.7,113.67952500069983,-3.516937490266375,2
4,9,VER,98.301,10.0,1.0,35.544,43.76,18.997,274.0,296.0,253.0,285.0,MEDIUM,10.0,Red Bull Racing,1.0,211.25824175824175,303.0,67.0,62.53846153846154,0.4642857142857143,0.14285714285714285,27.1,43.5,155.0,1.5,-34.5848947189319,-12.471472572528027,0
5,10,VER,98.519,11.0,1.0,35.704,43.81,19.005,273.0,296.0,254.0,283.0,MEDIUM,11.0,Red Bull Racing,1.0,210.420054200542,303.0,68.0,61.78319783197832,0.45257452574525747,0.17886178861788618,27.2,43.5,95.0,1.7,27.746629818487705,-13.292861143995125,2
6,12,VER,98.689,13.0,1.0,35.715,43.93,19.044,277.0,298.0,253.0,288.0,MEDIUM,13.0,Red Bull Racing,1.0,210.58855585831063,305.0,66.0,61.427792915531334,0.46866485013623976,0.20435967302452315,27.3,43.4,35.0,1.2,87.48585906921434,-3.0223859109993874,2
7,14,VER,98.373,15.0,1.0,35.566,43.781,19.026,277.0,297.0,254.0,286.0,MEDIUM,15.0,Red Bull Racing,1.0,210.625,305.0,68.0,60.666666666666664,0.44166666666666665,0.19444444444444445,27.3,43.0,85.0,0.8,37.736184672968264,-9.704855993604207,2
8,17,VER,97.399,18.0,2.0,35.205,43.259,18.935,278.0,299.0,256.0,286.0,MEDIUM,2.0,Red Bull Racing,3.0,215.3626062322946,307.0,70.0,62.328611898016995,0.46742209631728043,0.16147308781869688,27.3,42.8,128.0,1.0,-6.012610854012299,-15.876026526949797,0
9,18,VER,97.769,19.0,2.0,35.312,43.573,18.884,280.0,297.0,254.0,287.0,MEDIUM,3.0,Red Bull Racing,1.0,213.5108695652174,307.0,65.0,62.60054347826087,0.46467391304347827,0.16032608695652173,27.2,42.6,82.0,1.2,41.5913932523062,-6.817751296627663,2
10,19,VER,97.344,20.0,2.0,35.182,43.275,18.887,277.0,297.0,255.0,284.0,MEDIUM,4.0,Red Bull Racing,1.0,214.54293628808864,303.0,68.0,62.09972299168975,0.45706371191135736,0.1745152354570637,27.3,42.3,3.0,1.7,119.43562648658303,14.290802596134986,2
11,20,VER,97.565,21.0,2.0,35.243,43.4,18.922,278.0,297.0,255.0,287.0,MEDIUM,5.0,Red Bull Racing,1.0,215.49560117302053,304.0,68.0,62.83870967741935,0.47214076246334313,0.18181818181818182,27.3,42.7,76.0,1.3,47.377154060484614,-10.044779212206738,2
12,21,VER,97.592,22.0,2.0,35.387,43.333,18.872,276.0,298.0,254.0,289.0,MEDIUM,6.0,Red Bull Racing,1.0,214.03466666666668,305.0,67.0,61.818666666666665,0.4613333333333333,0.17333333333333334,27.3,40.8,20.0,1.7,102.25035231794506,-4.092135881330731,2
13,23,VER,97.714,24.0,2.0,35.295,43.465,18.954,277.0,299.0,255.0,286.0,MEDIUM,8.0,Red Bull Racing,1.0,211.80053908355796,305.0,68.0,62.493261455525605,0.46630727762803237,0.1778975741239892,27.4,40.4,83.0,1.3,40.045103060158816,4.320659566273661,2
14,25,VER,97.903,26.0,2.0,35.391,43.568,18.944,278.0,298.0,254.0,288.0,MEDIUM,10.0,Red Bull Racing,1.0,211.20867208672087,304.0,66.0,59.303523035230356,0.4363143631436314,0.17073170731707318,27.4,39.2,187.0,0.5,-66.5391353191782,4.640676481739545,0
15,26,VER,97.865,27.0,2.0,35.465,43.54,18.86,274.0,297.0,254.0,289.0,MEDIUM,11.0,Red Bull Racing,1.0,213.84636118598382,305.0,65.0,62.19946091644205,0.4716981132075472,0.1778975741239892,27.4,39.1,131.0,0.8,-9.836858311170829,1.7865179434704686,0
16,27,VER,97.558,28.0,2.0,35.321,43.411,18.826,275.0,298.0,255.0,294.0,MEDIUM,12.0,Red Bull Racing,1.0,213.06069364161849,306.0,66.0,62.994219653179194,0.476878612716763,0.1676300578034682,27.3,38.7,161.0,1.0,-40.31281663418337,-1.565504203309838,0
17,29,VER,97.599,30.0,2.0,35.259,43.4,18.94,276.0,298.0,255.0,295.0,MEDIUM,14.0,Red Bull Racing,1.0,213.55172413793105,306.0,65.0,63.15384615384615,0.48010610079575594,0.16180371352785147,27.3,38.4,113.0,1.7,8.488459368655208,2.9224034454841767,0
18,30,VER,97.599,31.0,2.0,35.352,43.368,18.879,279.0,299.0,254.0,295.0,MEDIUM,15.0,Red Bull Racing,1.0,212.77235772357724,305.0,66.0,63.89972899728997,0.4796747967479675,0.17344173441734417,27.4,38.4,148.0,1.0,-27.62948978720907,2.2280935924820664,0
19,32,VER,97.655,33.0,2.0,35.356,43.454,18.845,278.0,298.0,255.0,295.0,MEDIUM,17.0,Red Bull Racing,1.0,213.60285714285715,305.0,65.0,63.31428571428572,0.47714285714285715,0.16857142857142857,27.4,38.1,136.0,1.8,-14.813159420371464,6.10401055635554,0
20,34,VER,97.788,35.0,2.0,35.29,43.599,18.899,274.0,301.0,255.0,296.0,MEDIUM,19.0,Red Bull Racing,1.0,212.8048128342246,307.0,66.0,61.08288770053476,0.4786096256684492,0.18449197860962566,27.3,37.7,79.0,1.0,42.649993349942875,10.202224231671604,2
21,35,VER,97.82,36.0,2.0,35.333,43.591,18.896,277.0,299.0,255.0,298.0,MEDIUM,20.0,Red Bull Racing,1.0,211.97222222222223,305.0,66.0,61.825,0.475,0.18333333333333332,27.2,37.6,64.0,1.0,57.70814451545282,12.36787723752415,2
22,38,VER,94.183,39.0,3.0,33.72,42.118,18.345,280.0,300.0,257.0,297.0,HARD,2.0,Red Bull Racing,1.0,220.3684210526316,306.0,70.0,66.86980609418282,0.5152354570637119,0.15789473684210525,27.3,38.0,115.0,1.5,6.681674540342481,-12.891224144470689,0
23,39,VER,95.914,40.0,3.0,34.693,42.582,18.639,278.0,300.0,258.0,287.0,HARD,3.0,Red Bull Racing,1.0,217.16298342541435,305.0,71.0,62.610497237569064,0.4696132596685083,0.16574585635359115,27.3,37.0,157.0,1.7,-36.61155317008525,-15.266593329409318,0
24,40,VER,95.433,41.0,3.0,34.366,42.49,18.577,277.0,300.0,258.0,294.0,HARD,4.0,Red Bull Racing,1.0,215.90285714285713,305.0,70.0,62.222857142857144,0.46,0.16857142857142857,27.3,37.3,106.0,1.5,15.778039130036225,-8.2043663088447,0
25,41,VER,95.248,42.0,3.0,34.235,42.444,18.569,280.0,302.0,258.0,298.0,HARD,5.0,Red Bull Racing,1.0,220.6778711484594,310.0,69.0,64.78151260504201,0.5070028011204482,0.16806722689075632,27.3,37.2,140.0,1.6,-19.31769270235086,-12.417153725337355,0
26,42,VER,95.969,43.0,3.0,34.687,42.795,18.487,277.0,300.0,258.0,298.0,HARD,6.0,Red Bull Racing,1.0,217.29722222222222,306.0,67.0,64.51666666666667,0.5055555555555555,0.16666666666666666,27.4,37.4,143.0,0.5,-22.37249014552386,-5.701165105544134,0
27,43,VER,95.462,44.0,3.0,34.395,42.636,18.431,280.0,302.0,257.0,298.0,HARD,7.0,Red Bull Racing,1.0,217.60227272727272,308.0,68.0,64.07386363636364,0.4943181818181818,0.17329545454545456,27.3,37.4,108.0,1.6,13.67727161242217,-5.558562191280091,0
28,44,VER,95.915,45.0,3.0,34.521,42.808,18.586,279.0,302.0,258.0,301.0,HARD,8.0,Red Bull Racing,1.0,216.15126050420167,309.0,66.0,65.74229691876751,0.5182072829131653,0.16526610644257703,27.1,36.9,114.0,1.8,7.458840843855507,-2.919596921597301,0
29,45,VER,95.983,46.0,3.0,34.541,42.877,18.565,278.0,300.0,257.0,298.0,HARD,9.0,Red Bull Racing,1.0,215.51830985915493,309.0,67.0,64.07323943661972,0.49014084507042255,0.17746478873239438,27.1,36.9,142.0,2.4,-21.251684699518158,-1.6894453822805318,0
30,47,VER,96.198,48.0,3.0,34.643,42.894,18.661,280.0,300.0,258.0,299.0,HARD,11.0,Red Bull Racing,1.0,215.35792349726776,308.0,64.0,64.10928961748634,0.49453551912568305,0.16393442622950818,27.1,36.8,126.0,1.5,-4.4278631468503065,2.7902755569961455,0
31,48,VER,96.689,49.0,3.0,34.857,43.114,18.718,275.0,301.0,258.0,300.0,HARD,12.0,Red Bull Racing,1.0,215.12359550561797,309.0,66.0,63.62359550561798,0.49719101123595505,0.16853932584269662,27.1,36.6,104.0,2.2,17.493409475798366,2.281361305932149,0
32,49,VER,96.877,50.0,3.0,34.934,43.288,18.655,281.0,301.0,258.0,300.0,HARD,13.0,Red Bull Racing,1.0,212.5951086956522,309.0,66.0,63.875,0.4945652173913043,0.16032608695652173,27.2,36.6,116.0,1.5,5.10114741569345,3.568613900989997,0
33,51,VER,97.05,52.0,3.0,35.115,43.223,18.712,282.0,302.0,258.0,300.0,HARD,15.0,Red Bull Racing,1.0,212.54471544715446,310.0,65.0,63.77235772357724,0.4823848238482385,0.16802168021680217,27.3,36.8,139.0,0.6,-18.17144575447507,7.590626637560587,0
34,52,VER,96.3,53.0,3.0,34.649,42.899,18.752,279.0,299.0,256.0,296.0,HARD,16.0,Red Bull Racing,1.0,215.73876404494382,308.0,68.0,65.92696629213484,0.5140449438202247,0.17696629213483145,27.1,36.5,49.0,1.3,73.03466117074161,9.211414792976468,2
35,57,NOR,97.66,5.0,1.0,35.358,43.164,19.138,274.0,297.0,253.0,289.0,MEDIUM,5.0,McLaren,2.0,213.19113573407202,302.0,69.0,63.03324099722992,0.19667590027700832,0.16620498614958448,27.2,42.6,133.0,2.0,-11.610737523892082,-12.036947219915126,0
36,58,NOR,98.158,6.0,1.0,35.531,43.573,19.054,276.0,299.0,253.0,293.0,MEDIUM,6.0,McLaren,2.0,213.94084507042254,304.0,66.0,61.64507042253521,0.1267605633802817,0.15774647887323945,27.2,43.0,130.0,3.0,-8.269582610247292,-7.184900135332238,0
