Pos.,Team,Driver,Time (sec),Lap,Points
1,Ferrari,Leclerc,2.23,34,25
2,Ferrari,Sainz,2.30,18,18
3,AlphaTauri,Tsunoda,2.40,9,15
4,Ferrari,Leclerc,2.40,17,
5,Aston Martin,Stroll,2.47,14,12
6,McLaren,Norris,2.48,36,10
7,McLaren,Norris,2.54,17,
8,AlphaTauri,Lawson,2.60,10,8
9,McLaren,Piastri,2.60,35,6
10,Red Bull,Verstappen,2.64,37,4
11,AlphaTauri,Tsunoda,2.69,30,
12,Haas,Hulkenberg,2.79,37,2
13,Haas,Magnussen,2.82,12,1
14,Ferrari,Sainz,2.82,38,
15,Haas,Hulkenberg,2.84,8,
16,Alpine,Ocon,2.94,28,
17,Mercedes,Russell,2.96,24,
18,Aston Martin,Alonso,2.99,11,
19,Haas,Magnussen,2.99,31,
20,Mercedes,Hamilton,3.00,34,
21,Alfa Romeo,Zhou,3.04,29,
22,AlphaTauri,Lawson,3.06,25,
23,Alfa Romeo,Zhou,3.22,10,
24,Red Bull,Verstappen,3.30,16,
25,Alpine,Gasly,3.44,18,
26,Aston Martin,Alonso,3.45,25,
27,Haas,Hulkenberg,3.54,21,
28,Alpine,Gasly,3.57,34,
29,McLaren,Piastri,3.85,13,
30,Mercedes,Hamilton,4.07,16,
31,Alpine,Ocon,4.82,1,
32,Red Bull,Perez,9.07,14,
33,Red Bull,Perez,11.20,2,
34,Williams,Sargeant,11.64,2,
35,Williams,Sargeant,13.83,21,
36,Red Bull,Perez,18.23,12,
37,Alfa Romeo,Zhou,18.97,1,
38,Williams,Sargeant,23.04,5,
39,Williams,Albon,28.83,1,
40,Williams,Albon,31.41,13,
41,Alfa Romeo,Bottas,32.08,6,
42,Alfa Romeo,Bottas,33.97,1,
