,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,tsne_clusters_id
0,4,VER,96.748,5.0,1.0,34.9,42.96,18.888,MEDIUM,5.0,Red Bull Racing,1.0,216.62952646239555,301.0,73.0,64.53760445682451,0.49025069637883006,0.15598885793871867,27.2,42.6,133.0,2.0,6.1879606,0.5311374,0
1,5,VER,97.837,6.0,1.0,35.176,43.659,19.002,MEDIUM,6.0,Red Bull Racing,1.0,213.356940509915,301.0,70.0,62.82152974504249,0.46175637393767704,0.17847025495750707,27.2,43.0,130.0,3.0,17.748098,-10.377686,1
2,6,VER,98.033,7.0,1.0,35.395,43.518,19.12,MEDIUM,7.0,Red Bull Racing,1.0,210.9439775910364,303.0,69.0,61.182072829131656,0.44537815126050423,0.18487394957983194,27.1,42.8,79.0,1.3,7.1955943,-10.899096,1
3,7,VER,98.148,8.0,1.0,35.547,43.697,18.904,MEDIUM,8.0,Red Bull Racing,1.0,209.76923076923077,303.0,67.0,60.89835164835165,0.45604395604395603,0.17032967032967034,27.2,43.1,85.0,1.2,6.281975,-11.088463,1
4,8,VER,98.241,9.0,1.0,35.535,43.764,18.942,MEDIUM,9.0,Red Bull Racing,1.0,210.46174863387978,303.0,67.0,60.486338797814206,0.4426229508196721,0.1830601092896175,27.1,43.0,9.0,1.7,7.4315443,-11.801234,1
5,9,VER,98.301,10.0,1.0,35.544,43.76,18.997,MEDIUM,10.0,Red Bull Racing,1.0,211.25824175824175,303.0,67.0,62.53846153846154,0.4642857142857143,0.14285714285714285,27.1,43.5,155.0,1.5,5.8197165,-9.581801,1
6,10,VER,98.519,11.0,1.0,35.704,43.81,19.005,MEDIUM,11.0,Red Bull Racing,1.0,210.420054200542,303.0,68.0,61.78319783197832,0.45257452574525747,0.17886178861788618,27.2,43.5,95.0,1.7,6.271099,-11.670497,1
7,12,VER,98.689,13.0,1.0,35.715,43.93,19.044,MEDIUM,13.0,Red Bull Racing,1.0,210.58855585831063,305.0,66.0,61.427792915531334,0.46866485013623976,0.20435967302452315,27.3,43.4,35.0,1.2,5.474636,-13.419164,1
8,14,VER,98.373,15.0,1.0,35.566,43.781,19.026,MEDIUM,15.0,Red Bull Racing,1.0,210.625,305.0,68.0,60.666666666666664,0.44166666666666665,0.19444444444444445,27.3,43.0,85.0,0.8,5.348221,-13.466597,1
9,17,VER,97.399,18.0,2.0,35.205,43.259,18.935,MEDIUM,2.0,Red Bull Racing,3.0,215.3626062322946,307.0,70.0,62.328611898016995,0.46742209631728043,0.16147308781869688,27.3,42.8,128.0,1.0,6.2519693,-1.5396806,0
10,18,VER,97.769,19.0,2.0,35.312,43.573,18.884,MEDIUM,3.0,Red Bull Racing,1.0,213.5108695652174,307.0,65.0,62.60054347826087,0.46467391304347827,0.16032608695652173,27.2,42.6,82.0,1.2,5.815696,-3.2332046,0
11,19,VER,97.344,20.0,2.0,35.182,43.275,18.887,MEDIUM,4.0,Red Bull Racing,1.0,214.54293628808864,303.0,68.0,62.09972299168975,0.45706371191135736,0.1745152354570637,27.3,42.3,3.0,1.7,4.11563,-1.6644268,0
12,20,VER,97.565,21.0,2.0,35.243,43.4,18.922,MEDIUM,5.0,Red Bull Racing,1.0,215.49560117302053,304.0,68.0,62.83870967741935,0.47214076246334313,0.18181818181818182,27.3,42.7,76.0,1.3,5.245372,-1.5198783,0
13,21,VER,97.592,22.0,2.0,35.387,43.333,18.872,MEDIUM,6.0,Red Bull Racing,1.0,214.03466666666668,305.0,67.0,61.818666666666665,0.4613333333333333,0.17333333333333334,27.3,40.8,20.0,1.7,3.9440193,-1.2419333,0
14,22,VER,97.722,23.0,2.0,35.268,43.546,18.908,MEDIUM,7.0,Red Bull Racing,1.0,216.03142857142856,305.0,68.0,63.41142857142857,0.48,0.16857142857142857,27.3,40.5,100.0,1.8,4.737209,-0.3547762,0
15,23,VER,97.714,24.0,2.0,35.295,43.465,18.954,MEDIUM,8.0,Red Bull Racing,1.0,211.80053908355796,305.0,68.0,62.493261455525605,0.46630727762803237,0.1778975741239892,27.4,40.4,83.0,1.3,2.2812004,1.9776368,0
16,24,VER,97.946,25.0,2.0,35.443,43.553,18.95,MEDIUM,9.0,Red Bull Racing,1.0,209.66933333333333,304.0,68.0,62.922666666666665,0.4666666666666667,0.168,27.5,39.6,22.0,1.1,1.7436801,2.6569624,0
17,25,VER,97.903,26.0,2.0,35.391,43.568,18.944,MEDIUM,10.0,Red Bull Racing,1.0,211.20867208672087,304.0,66.0,59.303523035230356,0.4363143631436314,0.17073170731707318,27.4,39.2,187.0,0.5,0.81454045,24.504286,0
18,26,VER,97.865,27.0,2.0,35.465,43.54,18.86,MEDIUM,11.0,Red Bull Racing,1.0,213.84636118598382,305.0,65.0,62.19946091644205,0.4716981132075472,0.1778975741239892,27.4,39.1,131.0,0.8,-0.5110058,24.05909,0
19,27,VER,97.558,28.0,2.0,35.321,43.411,18.826,MEDIUM,12.0,Red Bull Racing,1.0,213.06069364161849,306.0,66.0,62.994219653179194,0.476878612716763,0.1676300578034682,27.3,38.7,161.0,1.0,-1.6962016,23.73085,0
20,28,VER,97.424,29.0,2.0,35.048,43.439,18.937,MEDIUM,13.0,Red Bull Racing,1.0,213.78590785907858,306.0,65.0,63.84010840108401,0.4878048780487805,0.16802168021680217,27.4,38.2,114.0,1.7,-10.623115,17.794825,2
