,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,dim1,dim2,tsne_clusters_id
0,4.0,VER,90.273,5.0,1.0,33.31,30.26,26.703,231.0,274.0,274.0,291.0,MEDIUM,8.0,Red Bull Racing,1.0,-19.974255,-16.811554,2
1,5.0,VER,89.409,6.0,1.0,33.139,29.969,26.301,226.0,275.0,275.0,298.0,MEDIUM,9.0,Red Bull Racing,1.0,-22.506336,-15.262344,2
2,6.0,VER,89.083,7.0,1.0,32.85,29.847,26.386,231.0,275.0,275.0,299.0,MEDIUM,10.0,Red Bull Racing,1.0,-16.298012,-20.101328,2
3,7.0,VER,89.362,8.0,1.0,33.037,29.899,26.426,229.0,275.0,275.0,301.0,MEDIUM,11.0,Red Bull Racing,1.0,-23.176317,-10.580133,2
4,9.0,VER,89.457,10.0,1.0,33.02,29.859,26.578,229.0,276.0,274.0,300.0,MEDIUM,13.0,Red Bull Racing,1.0,-23.277899,-12.683068,2
5,10.0,VER,89.357,11.0,1.0,33.039,29.873,26.445,228.0,276.0,275.0,302.0,MEDIUM,14.0,Red Bull Racing,1.0,-21.287624,-10.777475,2
6,12.0,VER,89.015,13.0,1.0,32.728,29.829,26.458,230.0,277.0,274.0,300.0,MEDIUM,16.0,Red Bull Racing,1.0,-5.0826254,-16.267353,2
7,13.0,VER,89.123,14.0,1.0,32.952,29.835,26.336,226.0,275.0,275.0,301.0,MEDIUM,17.0,Red Bull Racing,1.0,15.441455,15.96116,0
8,14.0,VER,88.712,15.0,1.0,32.868,29.69,26.154,231.0,277.0,275.0,300.0,MEDIUM,18.0,Red Bull Racing,1.0,6.172034,-6.677354,1
9,18.0,VER,89.076,19.0,2.0,32.859,29.801,26.416,227.0,272.0,276.0,295.0,MEDIUM,5.0,Red Bull Racing,1.0,11.211685,23.863634,0
