Pos.,Team,Driver,Time (sec),Lap,Points
1,McLaren,Norris,1.80,27,25
2,Ferrari,Leclerc,1.93,43,18
3,McLaren,Piastri,2.00,43,15
4,McLaren,Norris,2.14,44,
5,McLaren,Piastri,2.15,25,
6,AlphaTauri,Tsunoda,2.19,22,12
7,Red Bull,Perez,2.24,17,10
8,Ferrari,Leclerc,2.29,25,
9,AlphaTauri,Tsunoda,2.30,40,
10,Aston Martin,Alonso,2.33,11,8
11,Aston Martin,Alonso,2.35,26,
12,Aston Martin,Alonso,2.39,44,
13,AlphaTauri,Tsunoda,2.40,9,
14,Red Bull,Verstappen,2.43,17,6
15,Ferrari,Leclerc,2.45,12,
16,Aston Martin,Stroll,2.49,21,4
17,Red Bull,Verstappen,2.51,34,
18,Alpine,Gasly,2.56,11,2
19,Aston Martin,Stroll,2.56,3,
20,McLaren,Norris,2.56,13,
21,Mercedes,Russell,2.59,50,1
22,AlphaTauri,Lawson,2.60,39,
23,Mercedes,Russell,2.63,32,
24,Haas,Magnussen,2.68,3,
25,Mercedes,Russell,2.68,14,
26,Alfa Romeo,Zhou,2.73,18,
27,Alfa Romeo,Zhou,2.82,35,
28,Alpine,Ocon,2.97,10,
29,Alfa Romeo,Zhou,3.00,0,
30,Haas,Hulkenberg,3.06,27,
31,Alpine,Ocon,3.07,25,
32,AlphaTauri,Lawson,3.08,21,
33,Williams,Albon,3.08,31,
34,Alfa Romeo,Bottas,3.10,3,
35,Haas,Magnussen,3.11,21,
36,Alfa Romeo,Bottas,3.11,39,
37,Haas,Hulkenberg,3.12,39,
38,Williams,Albon,3.12,44,
39,McLaren,Piastri,3.15,12,
40,AlphaTauri,Lawson,3.23,3,
41,Alfa Romeo,Bottas,3.27,21,
42,Alpine,Ocon,3.32,43,
43,Williams,Sargeant,3.37,13,
44,Williams,Sargeant,3.39,26,
45,Williams,Albon,3.46,18,
46,Aston Martin,Stroll,3.79,39,
47,Alpine,Gasly,4.07,26,
48,Red Bull,Verstappen,4.18,51,
49,Haas,Magnussen,4.60,39,
50,Red Bull,Perez,7.88,31,
51,Red Bull,Perez,7.93,43,
52,Alpine,Gasly,9.03,44,
53,Mercedes,Russell,12.53,1,
54,Haas,Hulkenberg,14.10,13,
