,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,dim1,dim2,tsne_clusters_id
0,4,VER,90.273,5.0,1.0,33.31,30.26,26.703,231.0,274.0,274.0,291.0,MEDIUM,8.0,Red Bull Racing,1.0,18.559095,-15.490955,2
1,5,VER,89.409,6.0,1.0,33.139,29.969,26.301,226.0,275.0,275.0,298.0,MEDIUM,9.0,Red Bull Racing,1.0,7.8255277,-17.81229,2
2,6,VER,89.083,7.0,1.0,32.85,29.847,26.386,231.0,275.0,275.0,299.0,MEDIUM,10.0,Red Bull Racing,1.0,4.725236,-15.881681,2
3,7,VER,89.362,8.0,1.0,33.037,29.899,26.426,229.0,275.0,275.0,301.0,MEDIUM,11.0,Red Bull Racing,1.0,6.281302,-16.648195,2
4,9,VER,89.457,10.0,1.0,33.02,29.859,26.578,229.0,276.0,274.0,300.0,MEDIUM,13.0,Red Bull Racing,1.0,6.2688065,-15.694982,2
5,10,VER,89.357,11.0,1.0,33.039,29.873,26.445,228.0,276.0,275.0,302.0,MEDIUM,14.0,Red Bull Racing,1.0,6.9450397,-16.347645,2
6,12,VER,89.015,13.0,1.0,32.728,29.829,26.458,230.0,277.0,274.0,300.0,MEDIUM,16.0,Red Bull Racing,1.0,4.610822,-14.705759,2
7,13,VER,89.123,14.0,1.0,32.952,29.835,26.336,226.0,275.0,275.0,301.0,MEDIUM,17.0,Red Bull Racing,1.0,7.3929577,-17.21981,2
8,14,VER,88.712,15.0,1.0,32.868,29.69,26.154,231.0,277.0,275.0,300.0,MEDIUM,18.0,Red Bull Racing,1.0,2.6204689,-14.672246,2
9,18,VER,89.076,19.0,2.0,32.859,29.801,26.416,227.0,272.0,276.0,295.0,MEDIUM,5.0,Red Bull Racing,1.0,4.6287484,-21.597937,2
10,19,VER,88.454,20.0,2.0,32.658,29.618,26.178,229.0,274.0,275.0,298.0,MEDIUM,6.0,Red Bull Racing,1.0,1.2909759,-17.72403,2
11,20,VER,88.106,21.0,2.0,32.545,29.436,26.125,233.0,277.0,276.0,299.0,MEDIUM,7.0,Red Bull Racing,1.0,-3.8741183,-11.179097,0
12,21,VER,88.024,22.0,2.0,32.535,29.487,26.002,230.0,280.0,276.0,302.0,MEDIUM,8.0,Red Bull Racing,1.0,-6.059499,-7.850903,0
13,23,VER,87.814,24.0,2.0,32.439,29.413,25.962,232.0,277.0,276.0,303.0,MEDIUM,10.0,Red Bull Racing,1.0,-4.3001842,-9.7427435,0
14,24,VER,87.775,25.0,2.0,32.404,29.441,25.93,234.0,278.0,276.0,302.0,MEDIUM,11.0,Red Bull Racing,1.0,-4.3889217,-10.164774,0
15,25,VER,87.768,26.0,2.0,32.34,29.44,25.988,231.0,280.0,277.0,303.0,MEDIUM,12.0,Red Bull Racing,1.0,-5.6798506,-6.5132666,0
16,28,VER,87.588,29.0,2.0,32.262,29.454,25.872,232.0,280.0,277.0,304.0,MEDIUM,15.0,Red Bull Racing,1.0,-5.6544976,-5.7745514,0
17,29,VER,87.515,30.0,2.0,32.27,29.422,25.823,230.0,277.0,277.0,305.0,MEDIUM,16.0,Red Bull Racing,1.0,-4.298925,-7.611104,0
18,30,VER,86.966,31.0,2.0,31.988,29.418,25.56,233.0,278.0,278.0,304.0,MEDIUM,17.0,Red Bull Racing,1.0,-13.35166,5.075873,0
19,35,VER,86.255,36.0,3.0,31.836,28.984,25.435,238.0,276.0,278.0,298.0,HARD,2.0,Red Bull Racing,1.0,-25.937637,11.46916,0
20,36,VER,86.081,37.0,3.0,31.873,28.959,25.249,236.0,276.0,278.0,299.0,HARD,3.0,Red Bull Racing,1.0,-26.155012,12.112715,0
21,37,VER,85.835,38.0,3.0,31.562,28.875,25.398,239.0,276.0,278.0,300.0,HARD,4.0,Red Bull Racing,1.0,-25.494938,12.572686,0
22,38,VER,85.815,39.0,3.0,31.557,28.983,25.275,238.0,276.0,278.0,302.0,HARD,5.0,Red Bull Racing,1.0,-24.770472,12.612737,0
23,41,VER,85.827,42.0,3.0,31.653,28.967,25.207,236.0,277.0,281.0,304.0,HARD,8.0,Red Bull Racing,1.0,-21.868296,14.665509,0
24,42,VER,85.88,43.0,3.0,31.679,29.108,25.093,237.0,276.0,280.0,305.0,HARD,9.0,Red Bull Racing,1.0,-22.05905,13.967476,0
25,43,VER,85.475,44.0,3.0,31.56,28.895,25.02,236.0,277.0,280.0,298.0,HARD,10.0,Red Bull Racing,1.0,-23.426064,14.845884,0
26,44,VER,85.621,45.0,3.0,31.598,28.991,25.032,238.0,278.0,282.0,301.0,HARD,11.0,Red Bull Racing,1.0,-22.287714,15.731008,0
27,45,VER,85.989,46.0,3.0,31.67,29.229,25.09,236.0,277.0,280.0,307.0,HARD,12.0,Red Bull Racing,1.0,-20.880665,14.163436,0
28,47,VER,86.216,48.0,3.0,31.675,29.248,25.293,235.0,278.0,281.0,309.0,HARD,14.0,Red Bull Racing,1.0,-19.221989,14.101657,0
29,52,VER,85.291,53.0,4.0,31.418,28.708,25.165,240.0,279.0,280.0,305.0,MEDIUM,2.0,Red Bull Racing,1.0,-23.410145,18.084385,0
30,53,VER,85.037,54.0,4.0,31.31,28.662,25.065,242.0,281.0,280.0,304.0,MEDIUM,3.0,Red Bull Racing,1.0,-23.983294,19.605507,0
31,55,VER,84.319,56.0,4.0,30.765,28.669,24.885,243.0,282.0,281.0,327.0,MEDIUM,5.0,Red Bull Racing,1.0,-20.60371,22.183582,0
32,56,VER,85.803,57.0,4.0,31.701,28.96,25.142,237.0,281.0,279.0,307.0,MEDIUM,6.0,Red Bull Racing,1.0,-19.095348,11.310233,0
33,61,PIA,90.471,5.0,1.0,33.509,30.309,26.653,230.0,276.0,275.0,303.0,MEDIUM,11.0,McLaren,2.0,19.497179,-13.039561,2
34,63,PIA,89.556,7.0,1.0,32.795,30.061,26.7,233.0,276.0,275.0,306.0,MEDIUM,13.0,McLaren,2.0,6.322495,-12.456838,2
35,70,PIA,90.272,14.0,2.0,32.986,30.532,26.754,223.0,277.0,287.0,326.0,MEDIUM,9.0,McLaren,9.0,20.600506,11.106813,1
36,71,PIA,88.677,15.0,2.0,32.31,30.071,26.296,231.0,274.0,277.0,321.0,MEDIUM,10.0,McLaren,7.0,6.5712767,7.4959717,1
37,72,PIA,89.1,16.0,2.0,32.692,30.103,26.305,233.0,279.0,286.0,307.0,MEDIUM,11.0,McLaren,7.0,9.894216,18.637526,1
38,73,PIA,89.008,17.0,2.0,32.642,30.034,26.332,228.0,276.0,285.0,333.0,MEDIUM,12.0,McLaren,6.0,14.390755,10.902578,1
39,74,PIA,88.622,18.0,2.0,32.415,29.941,26.266,231.0,275.0,275.0,327.0,MEDIUM,13.0,McLaren,3.0,6.5013146,6.7884316,1
40,75,PIA,88.588,19.0,2.0,32.537,29.843,26.208,234.0,275.0,276.0,299.0,MEDIUM,14.0,McLaren,2.0,-1.0333083,-11.218434,2
41,76,PIA,88.206,20.0,2.0,32.39,29.813,26.003,235.0,275.0,276.0,303.0,MEDIUM,15.0,McLaren,2.0,-1.6125968,-10.293037,0
42,79,PIA,88.184,23.0,2.0,32.394,29.755,26.035,236.0,277.0,276.0,304.0,MEDIUM,18.0,McLaren,2.0,-1.8564974,-9.787692,0
43,80,PIA,87.926,24.0,2.0,32.291,29.681,25.954,233.0,277.0,275.0,305.0,MEDIUM,19.0,McLaren,2.0,-2.9683707,-9.347258,0
44,83,PIA,87.359,27.0,3.0,32.295,29.446,25.618,236.0,279.0,287.0,308.0,MEDIUM,2.0,McLaren,6.0,1.6448877,20.3102,1
45,88,PIA,86.308,32.0,3.0,31.827,29.112,25.369,240.0,278.0,277.0,304.0,MEDIUM,7.0,McLaren,3.0,-23.882978,11.092914,0
46,92,PIA,86.549,36.0,3.0,31.742,29.354,25.453,239.0,277.0,277.0,306.0,MEDIUM,11.0,McLaren,2.0,-23.085245,10.977507,0
47,94,PIA,86.42,38.0,3.0,31.733,29.346,25.341,238.0,278.0,278.0,306.0,MEDIUM,13.0,McLaren,2.0,-22.667324,11.326446,0
48,98,PIA,86.876,42.0,3.0,31.739,29.745,25.392,239.0,277.0,279.0,309.0,MEDIUM,17.0,McLaren,2.0,-14.1128235,11.517749,0
49,101,PIA,85.353,45.0,4.0,31.497,28.815,25.041,236.0,276.0,279.0,304.0,HARD,2.0,McLaren,3.0,-23.886919,14.163959,0
50,102,PIA,85.334,46.0,4.0,31.56,28.709,25.065,241.0,279.0,280.0,306.0,HARD,3.0,McLaren,3.0,-23.416624,18.68419,0
51,104,PIA,84.921,48.0,4.0,31.204,28.739,24.978,241.0,280.0,280.0,307.0,HARD,5.0,McLaren,3.0,-23.085232,19.595636,0
52,105,PIA,85.098,49.0,4.0,31.249,28.856,24.993,243.0,279.0,282.0,308.0,HARD,6.0,McLaren,3.0,-23.007233,20.936428,0
53,106,PIA,85.34,50.0,4.0,31.641,28.736,24.963,241.0,280.0,281.0,311.0,HARD,7.0,McLaren,3.0,-21.624336,20.54672,0
54,109,PIA,85.238,53.0,4.0,31.303,28.89,25.045,241.0,281.0,280.0,311.0,HARD,10.0,McLaren,2.0,-22.365585,20.032263,0
55,110,PIA,85.217,54.0,4.0,31.292,28.952,24.973,240.0,280.0,280.0,309.0,HARD,11.0,McLaren,2.0,-22.256355,19.090042,0
56,111,PIA,85.367,55.0,4.0,31.406,28.988,24.973,243.0,279.0,282.0,308.0,HARD,12.0,McLaren,2.0,-22.43824,21.370846,0
57,112,PIA,85.535,56.0,4.0,31.366,29.037,25.132,237.0,279.0,282.0,310.0,HARD,13.0,McLaren,2.0,-20.166803,16.891016,0
58,113,PIA,85.271,57.0,4.0,31.56,28.812,24.899,241.0,281.0,281.0,311.0,HARD,14.0,McLaren,2.0,-21.062222,20.3154,0
59,118,NOR,92.229,5.0,1.0,34.169,30.921,27.139,229.0,276.0,276.0,301.0,MEDIUM,12.0,McLaren,6.0,28.949886,-10.845538,2
60,119,NOR,91.099,6.0,1.0,33.631,30.629,26.839,227.0,274.0,276.0,307.0,MEDIUM,13.0,McLaren,6.0,20.988743,-9.451771,2
61,121,NOR,90.262,8.0,1.0,33.143,30.512,26.607,225.0,274.0,276.0,307.0,MEDIUM,15.0,McLaren,6.0,19.62078,-9.633744,2
62,122,NOR,90.04,9.0,1.0,33.079,30.359,26.602,228.0,275.0,282.0,308.0,MEDIUM,16.0,McLaren,6.0,13.516379,-1.4467921,2
63,124,NOR,89.396,11.0,1.0,32.973,30.272,26.151,229.0,274.0,276.0,305.0,MEDIUM,18.0,McLaren,5.0,5.9740157,-17.931671,2
64,125,NOR,89.195,12.0,1.0,32.82,30.112,26.263,230.0,274.0,273.0,306.0,MEDIUM,19.0,McLaren,3.0,5.0762715,-17.22596,2
65,128,NOR,89.171,15.0,2.0,32.618,30.022,26.531,230.0,277.0,288.0,301.0,MEDIUM,8.0,McLaren,12.0,10.991873,19.19902,1
66,129,NOR,89.847,16.0,2.0,32.921,30.281,26.645,227.0,279.0,289.0,332.0,MEDIUM,9.0,McLaren,11.0,19.32625,11.829979,1
67,131,NOR,90.016,18.0,2.0,33.738,30.172,26.106,224.0,275.0,288.0,332.0,MEDIUM,11.0,McLaren,9.0,21.882317,11.764062,1
68,133,NOR,89.189,20.0,2.0,32.871,30.174,26.144,223.0,277.0,287.0,308.0,MEDIUM,13.0,McLaren,6.0,11.744033,17.532108,1
69,134,NOR,89.169,21.0,2.0,32.766,30.221,26.182,228.0,276.0,282.0,330.0,MEDIUM,14.0,McLaren,4.0,13.41999,10.3274355,1
70,135,NOR,87.741,22.0,2.0,32.207,29.717,25.817,230.0,276.0,276.0,322.0,MEDIUM,15.0,McLaren,4.0,3.8223546,8.246608,1
71,136,NOR,88.034,23.0,2.0,32.307,29.769,25.958,231.0,277.0,277.0,306.0,MEDIUM,16.0,McLaren,4.0,-2.8830144,-7.758407,0
72,137,NOR,87.85,24.0,2.0,32.37,29.766,25.714,229.0,276.0,277.0,307.0,MEDIUM,17.0,McLaren,4.0,-3.10451,-7.2165785,0
73,142,NOR,87.074,29.0,3.0,32.299,29.313,25.462,236.0,278.0,288.0,308.0,MEDIUM,2.0,McLaren,7.0,1.1298645,20.086636,1
74,143,NOR,86.216,30.0,3.0,31.302,29.459,25.455,233.0,276.0,279.0,328.0,MEDIUM,3.0,McLaren,6.0,-0.17683935,12.465764,1
75,144,NOR,86.552,31.0,3.0,31.895,29.299,25.358,235.0,277.0,284.0,307.0,MEDIUM,4.0,McLaren,5.0,-10.648359,15.2465725,0
76,145,NOR,85.948,32.0,3.0,31.52,29.193,25.235,234.0,277.0,278.0,322.0,MEDIUM,5.0,McLaren,4.0,-0.72768366,13.25405,1
77,153,NOR,86.022,40.0,3.0,31.717,29.329,24.976,234.0,279.0,280.0,308.0,MEDIUM,13.0,McLaren,3.0,-19.917616,14.692162,0
78,156,NOR,85.685,43.0,3.0,31.281,29.326,25.078,236.0,280.0,279.0,326.0,MEDIUM,16.0,McLaren,2.0,-0.116597034,13.657085,1
79,159,NOR,84.881,46.0,4.0,31.353,28.657,24.871,238.0,279.0,281.0,307.0,HARD,2.0,McLaren,4.0,-21.934187,18.044643,0
80,160,NOR,84.842,47.0,4.0,31.356,28.716,24.77,240.0,280.0,281.0,308.0,HARD,3.0,McLaren,4.0,-21.537296,19.429707,0
81,161,NOR,85.062,48.0,4.0,31.435,28.783,24.844,238.0,280.0,281.0,309.0,HARD,4.0,McLaren,4.0,-21.16239,18.595137,0
82,164,NOR,85.139,51.0,4.0,31.409,28.936,24.794,237.0,281.0,280.0,310.0,HARD,7.0,McLaren,3.0,-20.352211,18.89535,0
83,166,NOR,85.286,53.0,4.0,31.581,28.976,24.729,238.0,281.0,282.0,311.0,HARD,9.0,McLaren,3.0,-19.708567,19.540094,0
84,167,NOR,85.217,54.0,4.0,31.402,28.999,24.816,237.0,280.0,281.0,310.0,HARD,10.0,McLaren,3.0,-20.295374,18.076105,0
85,168,NOR,85.21,55.0,4.0,31.43,29.01,24.77,236.0,281.0,282.0,309.0,HARD,11.0,McLaren,3.0,-19.361195,18.598644,0
86,169,NOR,85.248,56.0,4.0,31.352,29.08,24.816,235.0,281.0,282.0,311.0,HARD,12.0,McLaren,3.0,-19.142477,17.97463,0
87,175,RUS,93.658,5.0,2.0,35.203,31.302,27.153,226.0,275.0,276.0,312.0,MEDIUM,11.0,Mercedes,14.0,32.544186,-9.061508,2
88,176,RUS,91.899,6.0,2.0,34.059,30.784,27.056,225.0,279.0,279.0,298.0,MEDIUM,12.0,Mercedes,13.0,27.498869,-7.076008,2
89,177,RUS,91.415,7.0,2.0,33.93,30.698,26.787,226.0,276.0,284.0,307.0,MEDIUM,13.0,Mercedes,13.0,25.587368,0.29574636,2
