,18
RoundNumber,18
Country,United States
Location,Austin
OfficialEventName,FORMULA 1 LENOVO UNITED STATES GRAND PRIX 2023
EventDate,2023-10-22 00:00:00
EventName,United States Grand Prix
EventFormat,sprint_shootout
Session1,Practice 1
Session1Date,2023-10-20 12:30:00-05:00
Session1DateUtc,2023-10-20 17:30:00
Session2,Qualifying
Session2Date,2023-10-20 16:00:00-05:00
Session2DateUtc,2023-10-20 21:00:00
Session3,Sprint Shootout
Session3Date,2023-10-21 12:30:00-05:00
Session3DateUtc,2023-10-21 17:30:00
Session4,Sprint
Session4Date,2023-10-21 17:00:00-05:00
Session4DateUtc,2023-10-21 22:00:00
Session5,Race
Session5Date,2023-10-22 14:00:00-05:00
Session5DateUtc,2023-10-22 19:00:00
F1ApiSupport,True
