,index,Time,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,LapStartDate,dim1,dim2,cluster_id
0,2,0 days 01:06:31.592000,VER,83.573,3.0,1.0,29.517,32.562,21.494,0 days 01:05:37.536000,0 days 01:06:10.098000,0 days 01:06:31.592000,269.0,278.0,244.0,316.0,MEDIUM,3.0,Red Bull Racing,2023-10-29 20:06:08.100,-0.2307113513326258,-2.1866549776349617,2
1,3,0 days 01:07:55.300000,VER,83.708,4.0,1.0,29.481,32.702,21.525,0 days 01:07:01.073000,0 days 01:07:33.775000,0 days 01:07:55.300000,270.0,279.0,244.0,318.0,MEDIUM,4.0,Red Bull Racing,2023-10-29 20:07:31.673,-0.14727463869648144,-1.8389135376971022,2
2,5,0 days 01:11:03.458000,VER,83.339,6.0,1.0,29.47,32.504,21.365,0 days 01:10:09.589000,0 days 01:10:42.093000,0 days 01:11:03.458000,276.0,279.0,244.0,317.0,MEDIUM,6.0,Red Bull Racing,2023-10-29 20:10:40.200,-0.6462788453704273,-2.0920602370116157,2
3,6,0 days 01:12:26.911000,VER,83.453,7.0,1.0,29.454,32.574,21.425,0 days 01:11:32.912000,0 days 01:12:05.486000,0 days 01:12:26.911000,278.0,278.0,243.0,319.0,MEDIUM,7.0,Red Bull Racing,2023-10-29 20:12:03.539,-0.5127644257012263,-1.8775912290597818,2
4,10,0 days 01:18:00.388000,VER,83.626,11.0,1.0,29.57,32.439,21.617,0 days 01:17:06.332000,0 days 01:17:38.771000,0 days 01:18:00.388000,278.0,278.0,242.0,323.0,MEDIUM,11.0,Red Bull Racing,2023-10-29 20:17:36.843,-0.354222473594206,-1.3932734352844012,2
5,11,0 days 01:19:24.032000,VER,83.644,12.0,1.0,29.507,32.478,21.659,0 days 01:18:29.895000,0 days 01:19:02.373000,0 days 01:19:24.032000,276.0,277.0,243.0,322.0,MEDIUM,12.0,Red Bull Racing,2023-10-29 20:19:00.469,-0.23671044127956886,-1.582856890935214,2
6,14,0 days 01:23:35.233000,VER,83.714,15.0,1.0,29.531,32.462,21.721,0 days 01:22:41.050000,0 days 01:23:13.512000,0 days 01:23:35.233000,280.0,279.0,243.0,323.0,MEDIUM,15.0,Red Bull Racing,2023-10-29 20:23:11.600,-0.3122605898077782,-1.1466888956775743,2
7,15,0 days 01:24:58.818000,VER,83.585,16.0,1.0,29.459,32.474,21.652,0 days 01:24:04.692000,0 days 01:24:37.166000,0 days 01:24:58.818000,282.0,281.0,244.0,319.0,MEDIUM,16.0,Red Bull Racing,2023-10-29 20:24:35.314,-0.4974672574836835,-1.2484152446064134,2
8,16,0 days 01:26:22.462000,VER,83.644,17.0,1.0,29.509,32.498,21.637,0 days 01:25:28.327000,0 days 01:26:00.825000,0 days 01:26:22.462000,280.0,280.0,244.0,321.0,MEDIUM,17.0,Red Bull Racing,2023-10-29 20:25:58.899,-0.43973905706066263,-1.3075334513883852,2
9,17,0 days 01:27:46.389000,VER,83.927,18.0,1.0,29.527,32.511,21.889,0 days 01:26:51.989000,0 days 01:27:24.500000,0 days 01:27:46.389000,282.0,279.0,243.0,320.0,MEDIUM,18.0,Red Bull Racing,2023-10-29 20:27:22.543,-0.06388271639824725,-1.007579286465514,2
