,PC1,PC2,Driver,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST
0,0.003248235987041806,-1.9122344974296268,VER,Red Bull Racing,83573.0,29517.0,32562.0,21494.0,269.0,278.0,244.0,316.0
1,0.04403358219315445,-1.5844086414141605,VER,Red Bull Racing,83708.0,29481.0,32702.0,21525.0,270.0,279.0,244.0,318.0
2,-0.4108772216050533,-1.9528459436903118,VER,Red Bull Racing,83339.0,29470.0,32504.0,21365.0,276.0,279.0,244.0,317.0
3,-0.30996653681270847,-1.705703616741924,VER,Red Bull Racing,83453.0,29454.0,32574.0,21425.0,278.0,278.0,243.0,319.0
4,-0.22076936285367146,-1.2061423841891161,VER,Red Bull Racing,83626.0,29570.0,32439.0,21617.0,278.0,278.0,242.0,323.0
5,-0.08871199136930337,-1.3426896406443452,VER,Red Bull Racing,83644.0,29507.0,32478.0,21659.0,276.0,277.0,243.0,322.0
6,-0.2133575226721022,-0.984616203933216,VER,Red Bull Racing,83714.0,29531.0,32462.0,21721.0,280.0,279.0,243.0,323.0
7,-0.3736116925247831,-1.1550005162217258,VER,Red Bull Racing,83585.0,29459.0,32474.0,21652.0,282.0,281.0,244.0,319.0
8,-0.31424116315357054,-1.1861491719105244,VER,Red Bull Racing,83644.0,29509.0,32498.0,21637.0,280.0,280.0,244.0,321.0
9,0.009384192064205522,-0.7895442366545865,VER,Red Bull Racing,83927.0,29527.0,32511.0,21889.0,282.0,279.0,243.0,320.0
10,2.3113087435960527,-4.09272477293513,VER,Red Bull Racing,101221.0,47922.0,32170.0,21129.0,279.0,281.0,245.0,304.0
11,-1.1923047101231734,-1.5078125483554223,VER,Red Bull Racing,82643.0,29183.0,32173.0,21287.0,278.0,283.0,245.0,327.0
12,-1.400896123612161,0.5137753183058024,VER,Red Bull Racing,82622.0,28747.0,32305.0,21570.0,281.0,284.0,244.0,354.0
13,-1.3033532431165797,0.5342125999782333,VER,Red Bull Racing,82781.0,28718.0,32461.0,21602.0,286.0,283.0,244.0,352.0
14,-0.5806071498644398,0.45812931078167474,VER,Red Bull Racing,83762.0,29269.0,32616.0,21877.0,283.0,290.0,245.0,328.0
15,-1.4249237893788225,-0.2998580039254473,VER,Red Bull Racing,82354.0,28443.0,32395.0,21516.0,289.0,280.0,246.0,346.0
16,-0.9502722827334472,-1.7732151645439842,VER,Red Bull Racing,82972.0,29269.0,32348.0,21355.0,283.0,281.0,246.0,321.0
17,-0.9899309627822342,-1.271969888294091,VER,Red Bull Racing,83023.0,29251.0,32301.0,21471.0,286.0,283.0,245.0,322.0
18,-0.9364322070373706,-0.18228196214404727,VER,Red Bull Racing,83162.0,29171.0,32365.0,21626.0,275.0,291.0,246.0,328.0
19,-1.7307853097108579,-0.22123998866295624,VER,Red Bull Racing,82224.0,28510.0,32324.0,21390.0,292.0,281.0,245.0,349.0
20,-1.205929602543043,-1.2886601801048934,VER,Red Bull Racing,82904.0,29217.0,32232.0,21455.0,289.0,282.0,246.0,326.0
21,-0.6323246926196658,-1.0016614554382557,VER,Red Bull Racing,83436.0,29322.0,32471.0,21643.0,287.0,280.0,245.0,325.0
22,-1.2012193386726397,-2.3480368127181563,VER,Red Bull Racing,82471.0,29218.0,31921.0,21332.0,280.0,279.0,247.0,321.0
23,-1.543490061487026,-2.254751357538988,VER,Red Bull Racing,82185.0,29055.0,31933.0,21197.0,283.0,280.0,247.0,325.0
