,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
0,2,VER,83.573,3.0,1.0,29.517,32.562,21.494,269.0,278.0,244.0,316.0,MEDIUM,3.0,Red Bull Racing,1.0,186.04501607717043,319.0,60.0,54.967845659163984,0.3858520900321543,0.2090032154340836,24.6,48.6,301.0,0.6,-57.41932753913788,-3.921871179918329,0
1,3,VER,83.708,4.0,1.0,29.481,32.702,21.525,270.0,279.0,244.0,318.0,MEDIUM,4.0,Red Bull Racing,1.0,183.56211180124222,321.0,61.0,53.590062111801245,0.3695652173913043,0.2236024844720497,24.8,48.2,311.0,2.2,-64.74959271028703,-16.639983762326512,0
2,5,VER,83.339,6.0,1.0,29.47,32.504,21.365,276.0,279.0,244.0,317.0,MEDIUM,6.0,Red Bull Racing,1.0,181.2305194805195,320.0,61.0,52.33441558441559,0.36688311688311687,0.23376623376623376,24.9,47.5,285.0,2.0,-39.48087790530542,0.8826302577507886,0
3,6,VER,83.453,7.0,1.0,29.454,32.574,21.425,278.0,278.0,243.0,319.0,MEDIUM,7.0,Red Bull Racing,1.0,180.05280528052805,322.0,62.0,53.537953795379536,0.3564356435643564,0.24092409240924093,25.0,47.0,290.0,2.4,-41.191874251199145,-5.0626292329431,0
4,10,VER,83.626,11.0,1.0,29.57,32.439,21.617,278.0,278.0,242.0,323.0,MEDIUM,11.0,Red Bull Racing,1.0,183.5875,322.0,61.0,55.0,0.390625,0.1875,25.4,47.2,143.0,2.0,72.88699989100566,85.15338821007505,1
5,11,VER,83.644,12.0,1.0,29.507,32.478,21.659,276.0,277.0,243.0,322.0,MEDIUM,12.0,Red Bull Racing,1.0,182.80191693290735,323.0,60.0,54.76996805111821,0.3961661341853035,0.22364217252396165,25.4,47.4,274.0,3.7,-26.70863852434975,2.100227118848085,0
6,14,VER,83.714,15.0,1.0,29.531,32.462,21.721,280.0,279.0,243.0,323.0,MEDIUM,15.0,Red Bull Racing,1.0,181.9741935483871,322.0,57.0,53.535483870967745,0.3741935483870968,0.24838709677419354,25.6,47.4,227.0,0.6,10.478952278724572,29.90293548341896,2
7,15,VER,83.585,16.0,1.0,29.459,32.474,21.652,282.0,281.0,244.0,319.0,MEDIUM,16.0,Red Bull Racing,1.0,182.87138263665594,321.0,59.0,53.138263665594856,0.3729903536977492,0.22186495176848875,25.7,47.4,301.0,1.2,-48.96805838236922,-14.893275358592863,0
8,16,VER,83.644,17.0,1.0,29.509,32.498,21.637,280.0,280.0,244.0,321.0,MEDIUM,17.0,Red Bull Racing,1.0,180.7051282051282,321.0,59.0,53.85897435897436,0.3942307692307692,0.23717948717948717,25.7,47.5,190.0,1.2,38.94742150079771,53.20188207638253,2
9,17,VER,83.927,18.0,1.0,29.527,32.511,21.889,282.0,279.0,243.0,320.0,MEDIUM,18.0,Red Bull Racing,1.0,181.6,321.0,57.0,55.3672131147541,0.4,0.22295081967213115,25.6,47.1,187.0,1.1,40.960133551881185,55.54104543119328,2
10,20,VER,82.643,21.0,2.0,29.183,32.173,21.287,278.0,283.0,245.0,327.0,HARD,2.0,Red Bull Racing,7.0,184.44625407166123,329.0,60.0,55.39413680781759,0.3973941368078176,0.23778501628664495,25.6,47.5,280.0,3.2,-27.522073848403224,-5.781945071515351,0
11,21,VER,82.622,22.0,2.0,28.747,32.305,21.57,281.0,284.0,244.0,354.0,HARD,3.0,Red Bull Racing,6.0,183.5700325732899,353.0,58.0,52.43973941368078,0.3583061889250814,0.247557003257329,25.6,47.0,233.0,0.8,35.49874387397066,-9.962082976417928,2
12,22,VER,82.781,23.0,2.0,28.718,32.461,21.602,286.0,283.0,244.0,352.0,HARD,4.0,Red Bull Racing,5.0,186.07301587301586,352.0,59.0,55.13968253968254,0.37777777777777777,0.23174603174603176,25.7,47.0,236.0,1.2,31.609491383807757,-10.272830180033823,2
13,23,VER,83.762,24.0,2.0,29.269,32.616,21.877,283.0,290.0,245.0,328.0,HARD,5.0,Red Bull Racing,5.0,181.32530120481928,329.0,57.0,52.20783132530121,0.3795180722891566,0.24096385542168675,25.8,47.5,236.0,0.8,7.536571980114951,19.522682221137796,2
14,24,VER,82.354,25.0,2.0,28.443,32.395,21.516,289.0,280.0,246.0,346.0,HARD,6.0,Red Bull Racing,3.0,185.68944099378882,347.0,60.0,54.17701863354037,0.38198757763975155,0.2391304347826087,25.8,47.6,292.0,1.2,-18.070114635088885,-39.162330154525,0
15,25,VER,82.972,26.0,2.0,29.269,32.348,21.355,283.0,281.0,246.0,321.0,HARD,7.0,Red Bull Racing,3.0,184.60681114551085,323.0,58.0,54.4953560371517,0.3931888544891641,0.24148606811145512,25.8,47.4,306.0,2.2,-52.67235679437426,-19.909859485453,0
16,26,VER,83.023,27.0,2.0,29.251,32.301,21.471,286.0,283.0,245.0,322.0,HARD,8.0,Red Bull Racing,3.0,185.85582822085888,324.0,60.0,56.42638036809816,0.39263803680981596,0.22699386503067484,25.8,46.8,263.0,1.2,-17.11903859609672,7.257333578931449,2
17,27,VER,83.162,28.0,2.0,29.171,32.365,21.626,275.0,291.0,246.0,328.0,HARD,9.0,Red Bull Racing,3.0,180.328125,328.0,55.0,53.965625,0.378125,0.24375,25.8,46.6,0.0,0.8,197.68057918428252,159.64403052588014,1
18,28,VER,82.224,29.0,2.0,28.51,32.324,21.39,292.0,281.0,245.0,349.0,HARD,10.0,Red Bull Racing,2.0,188.33881578947367,349.0,60.0,55.9046052631579,0.40789473684210525,0.25,25.7,46.8,50.0,0.5,158.8698672369848,129.11286519321285,1
19,29,VER,82.904,30.0,2.0,29.217,32.232,21.455,289.0,282.0,246.0,326.0,HARD,11.0,Red Bull Racing,2.0,182.7915309446254,326.0,64.0,53.51791530944625,0.38762214983713356,0.254071661237785,25.7,46.8,204.0,1.2,32.78348844018786,38.98386695932904,2
20,30,VER,83.436,31.0,2.0,29.322,32.471,21.643,287.0,280.0,245.0,325.0,HARD,12.0,Red Bull Racing,2.0,180.53184713375796,325.0,59.0,53.21974522292994,0.3630573248407643,0.24522292993630573,25.7,46.5,117.0,1.1,96.51069965778608,97.35602027628197,1
21,36,VER,82.471,37.0,4.0,29.218,31.921,21.332,280.0,279.0,247.0,321.0,HARD,4.0,Red Bull Racing,1.0,186.5728155339806,323.0,61.0,55.38834951456311,0.40129449838187703,0.2297734627831715,26.4,45.0,312.0,2.2,-60.64964878178526,-23.86210687107726,0
22,37,VER,82.185,38.0,4.0,29.055,31.933,21.197,283.0,280.0,247.0,325.0,HARD,5.0,Red Bull Racing,1.0,183.97832817337462,325.0,61.0,54.417956656346746,0.39009287925696595,0.21981424148606812,26.5,45.0,292.0,1.6,-38.4272067950395,-12.943657337929098,0
23,44,VER,82.129,45.0,4.0,29.037,31.836,21.256,283.0,281.0,248.0,324.0,HARD,12.0,Red Bull Racing,1.0,186.34177215189874,324.0,61.0,55.37658227848101,0.40189873417721517,0.22151898734177214,26.7,44.3,316.0,2.2,-59.03814086872992,-30.861992593869772,0
24,45,VER,82.105,46.0,4.0,28.929,31.839,21.337,291.0,282.0,245.0,326.0,HARD,13.0,Red Bull Racing,1.0,187.58843537414967,325.0,61.0,55.90136054421769,0.3979591836734694,0.20408163265306123,26.5,44.1,302.0,0.8,-45.43026528235898,-22.09604475729928,0
25,46,VER,82.06,47.0,4.0,28.97,31.779,21.311,293.0,282.0,247.0,325.0,HARD,14.0,Red Bull Racing,1.0,185.44516129032257,325.0,60.0,54.92903225806452,0.3967741935483871,0.22258064516129034,26.6,44.0,295.0,1.0,-39.42014464527758,-16.687563047883014,0
26,47,VER,82.179,48.0,4.0,29.074,31.791,21.314,286.0,282.0,247.0,326.0,HARD,15.0,Red Bull Racing,1.0,184.621875,326.0,59.0,53.971875,0.375,0.25,26.9,44.0,296.0,1.6,-39.32045700634167,-18.957467840096015,0
27,51,VER,82.336,52.0,4.0,29.058,31.928,21.35,291.0,282.0,247.0,327.0,HARD,19.0,Red Bull Racing,1.0,181.73202614379085,327.0,60.0,53.64705882352941,0.3790849673202614,0.21895424836601307,26.6,43.6,150.0,0.4,76.55058201610255,70.14377698525263,1
28,52,VER,82.286,53.0,4.0,29.001,31.821,21.464,290.0,283.0,247.0,326.0,HARD,20.0,Red Bull Racing,1.0,184.37666666666667,326.0,58.0,55.92666666666667,0.4066666666666667,0.20333333333333334,26.6,43.6,301.0,1.7,-43.816613291452676,-22.138144506402867,0
29,54,VER,82.421,55.0,4.0,28.998,31.927,21.496,289.0,282.0,248.0,327.0,HARD,22.0,Red Bull Racing,1.0,187.26182965299685,327.0,58.0,56.40378548895899,0.40063091482649843,0.21451104100946372,26.5,43.1,307.0,1.0,-49.30137800581847,-26.828330429582273,0
30,55,VER,82.415,56.0,4.0,29.086,31.971,21.358,288.0,283.0,247.0,326.0,HARD,23.0,Red Bull Racing,1.0,185.39482200647248,326.0,59.0,55.67313915857605,0.40129449838187703,0.2168284789644013,26.5,43.1,276.0,1.2,-23.172069197717764,-5.489831965006974,0
31,56,VER,82.23,57.0,4.0,29.042,31.826,21.362,286.0,284.0,248.0,327.0,HARD,24.0,Red Bull Racing,1.0,187.81612903225806,327.0,57.0,56.56774193548387,0.4,0.2645161290322581,26.5,43.1,310.0,1.8,-52.719425646995425,-28.53226397626883,0
32,59,VER,81.991,60.0,4.0,28.999,31.817,21.175,294.0,283.0,248.0,328.0,HARD,27.0,Red Bull Racing,1.0,183.16065573770493,327.0,60.0,56.18688524590164,0.4098360655737705,0.2098360655737705,26.5,40.6,146.0,0.8,82.4947658333992,70.15469426820755,1
33,61,VER,82.196,62.0,4.0,29.05,31.795,21.351,292.0,284.0,249.0,327.0,HARD,29.0,Red Bull Racing,1.0,184.94098360655738,328.0,59.0,55.18032786885246,0.39344262295081966,0.22950819672131148,26.7,40.6,319.0,2.2,-61.72188807945641,-34.89695702503042,0
34,63,VER,82.2,64.0,4.0,28.976,31.902,21.322,292.0,284.0,248.0,328.0,HARD,31.0,Red Bull Racing,1.0,186.57993730407523,328.0,58.0,54.46708463949843,0.3981191222570533,0.21003134796238246,26.6,40.3,232.0,1.6,12.905454602005431,20.45048530851349,2
35,64,VER,82.377,65.0,4.0,29.013,31.911,21.453,291.0,284.0,249.0,329.0,HARD,32.0,Red Bull Racing,1.0,183.34603174603174,329.0,57.0,55.076190476190476,0.3904761904761905,0.24126984126984127,26.4,39.8,306.0,1.7,-50.85415613788514,-26.266214174862938,0
36,67,VER,82.43,68.0,4.0,28.94,32.012,21.478,294.0,286.0,249.0,328.0,HARD,35.0,Red Bull Racing,1.0,183.8063492063492,328.0,59.0,54.025396825396825,0.39365079365079364,0.2222222222222222,26.4,38.7,313.0,1.6,-61.20596869786974,-28.053491812443834,0
37,69,VER,82.367,70.0,4.0,28.931,31.982,21.454,293.0,286.0,249.0,329.0,HARD,37.0,Red Bull Racing,1.0,186.35294117647058,329.0,61.0,55.748366013071895,0.4117647058823529,0.21895424836601307,26.3,37.7,0.0,0.8,203.16268921327244,154.0516889764782,1
38,70,VER,82.85,71.0,4.0,29.067,32.21,21.573,291.0,286.0,249.0,330.0,HARD,38.0,Red Bull Racing,1.0,186.24161073825502,330.0,60.0,54.91610738255034,0.3959731543624161,0.20469798657718122,26.3,37.4,306.0,0.6,-56.886969479424096,-21.739628931105457,0
39,72,GAS,85.443,2.0,1.0,29.98,33.674,21.789,271.0,279.0,243.0,318.0,MEDIUM,2.0,Alpine,9.0,176.76488095238096,322.0,61.0,54.57440476190476,0.38095238095238093,0.22916666666666666,24.5,48.1,298.0,1.2,-52.332556321268505,-4.802919336095893,0
40,73,GAS,84.804,3.0,1.0,29.72,33.247,21.837,283.0,284.0,243.0,322.0,MEDIUM,3.0,Alpine,9.0,179.23472668810288,325.0,61.0,55.569131832797424,0.39228295819935693,0.21221864951768488,24.6,48.6,301.0,0.6,-47.956132213523176,-16.427372405355232,0
41,74,GAS,84.249,4.0,1.0,29.182,33.229,21.838,274.0,285.0,242.0,342.0,MEDIUM,4.0,Alpine,9.0,181.99071207430342,343.0,58.0,55.36842105263158,0.4024767801857585,0.24148606811145512,24.8,48.2,311.0,2.2,-39.56637381526418,-49.359861207269276,0
