Pos.,Team,Driver,Time (sec),Lap,Points
1,Ferrari,Sainz,2.35,30,25
2,AlphaTauri,Ricciardo,2.37,27,18
3,Red Bull,Verstappen,2.42,33,15
4,Red Bull,Verstappen,2.46,19,
5,Ferrari,Leclerc,2.49,31,12
6,Aston Martin,Stroll,2.55,30,10
7,Mercedes,Hamilton,2.56,24,8
8,McLaren,Norris,2.60,33,6
9,Mercedes,Russell,2.62,26,4
10,Alpine,Gasly,2.81,28,2
11,Aston Martin,Alonso,2.83,29,1
12,McLaren,Norris,2.85,11,
13,Alfa Romeo,Zhou,2.92,21,
14,Haas,Hulkenberg,3.31,23,
15,McLaren,Piastri,3.37,25,
16,Haas,Magnussen,3.48,23,
17,Williams,Albon,3.58,33,
18,Alfa Romeo,Bottas,3.62,31,
19,Williams,Sargeant,4.23,22,
20,AlphaTauri,Tsunoda,10.15,9,
