,19
RoundNumber,19
Country,Mexico
Location,Mexico City
OfficialEventName,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2023
EventDate,2023-10-29 00:00:00
EventName,Mexico City Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2023-10-27 12:30:00-06:00
Session1DateUtc,2023-10-27 18:30:00
Session2,Practice 2
Session2Date,2023-10-27 16:00:00-06:00
Session2DateUtc,2023-10-27 22:00:00
Session3,Practice 3
Session3Date,2023-10-28 11:30:00-06:00
Session3DateUtc,2023-10-28 17:30:00
Session4,Qualifying
Session4Date,2023-10-28 15:00:00-06:00
Session4DateUtc,2023-10-28 21:00:00
Session5,Race
Session5Date,2023-10-29 14:00:00-06:00
Session5DateUtc,2023-10-29 20:00:00
F1ApiSupport,True
