,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,dim1,dim2,tsne_clusters_id
0,2,VER,83.573,3.0,1.0,29.517,32.562,21.494,269.0,278.0,244.0,316.0,MEDIUM,3.0,Red Bull Racing,1.0,-23.090048,26.109251,2
1,3,VER,83.708,4.0,1.0,29.481,32.702,21.525,270.0,279.0,244.0,318.0,MEDIUM,4.0,Red Bull Racing,1.0,-22.421263,26.119675,2
2,5,VER,83.339,6.0,1.0,29.47,32.504,21.365,276.0,279.0,244.0,317.0,MEDIUM,6.0,Red Bull Racing,1.0,-18.59834,27.537506,2
3,6,VER,83.453,7.0,1.0,29.454,32.574,21.425,278.0,278.0,243.0,319.0,MEDIUM,7.0,Red Bull Racing,1.0,-18.334688,26.336452,2
4,10,VER,83.626,11.0,1.0,29.57,32.439,21.617,278.0,278.0,242.0,323.0,MEDIUM,11.0,Red Bull Racing,1.0,-18.527222,23.120502,2
5,11,VER,83.644,12.0,1.0,29.507,32.478,21.659,276.0,277.0,243.0,322.0,MEDIUM,12.0,Red Bull Racing,1.0,-19.602365,22.924555,2
6,14,VER,83.714,15.0,1.0,29.531,32.462,21.721,280.0,279.0,243.0,323.0,MEDIUM,15.0,Red Bull Racing,1.0,-16.573118,21.385626,2
7,15,VER,83.585,16.0,1.0,29.459,32.474,21.652,282.0,281.0,244.0,319.0,MEDIUM,16.0,Red Bull Racing,1.0,-12.916184,20.821993,2
8,16,VER,83.644,17.0,1.0,29.509,32.498,21.637,280.0,280.0,244.0,321.0,MEDIUM,17.0,Red Bull Racing,1.0,-13.282005,21.427668,2
9,17,VER,83.927,18.0,1.0,29.527,32.511,21.889,282.0,279.0,243.0,320.0,MEDIUM,18.0,Red Bull Racing,1.0,-17.827768,7.984501,1
10,20,VER,82.643,21.0,2.0,29.183,32.173,21.287,278.0,283.0,245.0,327.0,HARD,2.0,Red Bull Racing,7.0,0.6249691,38.166363,2
11,21,VER,82.622,22.0,2.0,28.747,32.305,21.57,281.0,284.0,244.0,354.0,HARD,3.0,Red Bull Racing,6.0,17.301895,-10.1661625,0
12,22,VER,82.781,23.0,2.0,28.718,32.461,21.602,286.0,283.0,244.0,352.0,HARD,4.0,Red Bull Racing,5.0,17.08397,-9.788193,0
13,23,VER,83.762,24.0,2.0,29.269,32.616,21.877,283.0,290.0,245.0,328.0,HARD,5.0,Red Bull Racing,5.0,24.820818,-14.925137,0
14,24,VER,82.354,25.0,2.0,28.443,32.395,21.516,289.0,280.0,246.0,346.0,HARD,6.0,Red Bull Racing,3.0,16.499258,-7.1627746,0
15,25,VER,82.972,26.0,2.0,29.269,32.348,21.355,283.0,281.0,246.0,321.0,HARD,7.0,Red Bull Racing,3.0,-8.912666,33.82278,2
16,26,VER,83.023,27.0,2.0,29.251,32.301,21.471,286.0,283.0,245.0,322.0,HARD,8.0,Red Bull Racing,3.0,1.1206614,31.845615,2
17,27,VER,83.162,28.0,2.0,29.171,32.365,21.626,275.0,291.0,246.0,328.0,HARD,9.0,Red Bull Racing,3.0,23.066996,-14.284376,0
18,28,VER,82.224,29.0,2.0,28.51,32.324,21.39,292.0,281.0,245.0,349.0,HARD,10.0,Red Bull Racing,2.0,16.834307,-7.2058206,0
19,29,VER,82.904,30.0,2.0,29.217,32.232,21.455,289.0,282.0,246.0,326.0,HARD,11.0,Red Bull Racing,2.0,3.590919,30.956669,2
20,30,VER,83.436,31.0,2.0,29.322,32.471,21.643,287.0,280.0,245.0,325.0,HARD,12.0,Red Bull Racing,2.0,-5.1059484,20.119465,2
21,36,VER,82.471,37.0,4.0,29.218,31.921,21.332,280.0,279.0,247.0,321.0,HARD,4.0,Red Bull Racing,1.0,-11.984747,35.191574,2
22,37,VER,82.185,38.0,4.0,29.055,31.933,21.197,283.0,280.0,247.0,325.0,HARD,5.0,Red Bull Racing,1.0,-5.5756993,37.313446,2
23,44,VER,82.129,45.0,4.0,29.037,31.836,21.256,283.0,281.0,248.0,324.0,HARD,12.0,Red Bull Racing,1.0,-4.663895,37.59991,2
24,45,VER,82.105,46.0,4.0,28.929,31.839,21.337,291.0,282.0,245.0,326.0,HARD,13.0,Red Bull Racing,1.0,5.102977,38.001347,2
25,46,VER,82.06,47.0,4.0,28.97,31.779,21.311,293.0,282.0,247.0,325.0,HARD,14.0,Red Bull Racing,1.0,6.1969023,37.585495,2
26,47,VER,82.179,48.0,4.0,29.074,31.791,21.314,286.0,282.0,247.0,326.0,HARD,15.0,Red Bull Racing,1.0,3.8317688,37.427303,2
27,51,VER,82.336,52.0,4.0,29.058,31.928,21.35,291.0,282.0,247.0,327.0,HARD,19.0,Red Bull Racing,1.0,5.7825704,36.77908,2
28,52,VER,82.286,53.0,4.0,29.001,31.821,21.464,290.0,283.0,247.0,326.0,HARD,20.0,Red Bull Racing,1.0,5.8044205,35.609837,2
29,54,VER,82.421,55.0,4.0,28.998,31.927,21.496,289.0,282.0,248.0,327.0,HARD,22.0,Red Bull Racing,1.0,5.7131004,34.228477,2
30,55,VER,82.415,56.0,4.0,29.086,31.971,21.358,288.0,283.0,247.0,326.0,HARD,23.0,Red Bull Racing,1.0,4.7249765,36.461296,2
31,56,VER,82.23,57.0,4.0,29.042,31.826,21.362,286.0,284.0,248.0,327.0,HARD,24.0,Red Bull Racing,1.0,4.0585823,35.875626,2
32,59,VER,81.991,60.0,4.0,28.999,31.817,21.175,294.0,283.0,248.0,328.0,HARD,27.0,Red Bull Racing,1.0,7.385438,38.190136,2
33,61,VER,82.196,62.0,4.0,29.05,31.795,21.351,292.0,284.0,249.0,327.0,HARD,29.0,Red Bull Racing,1.0,8.480248,36.855095,2
34,63,VER,82.2,64.0,4.0,28.976,31.902,21.322,292.0,284.0,248.0,328.0,HARD,31.0,Red Bull Racing,1.0,7.6731052,36.67662,2
35,64,VER,82.377,65.0,4.0,29.013,31.911,21.453,291.0,284.0,249.0,329.0,HARD,32.0,Red Bull Racing,1.0,9.337079,36.090294,2
36,67,VER,82.43,68.0,4.0,28.94,32.012,21.478,294.0,286.0,249.0,328.0,HARD,35.0,Red Bull Racing,1.0,13.48284,34.96526,2
37,69,VER,82.367,70.0,4.0,28.931,31.982,21.454,293.0,286.0,249.0,329.0,HARD,37.0,Red Bull Racing,1.0,12.963503,35.27654,2
38,70,VER,82.85,71.0,4.0,29.067,32.21,21.573,291.0,286.0,249.0,330.0,HARD,38.0,Red Bull Racing,1.0,14.6007805,34.54609,2
39,72,GAS,85.443,2.0,1.0,29.98,33.674,21.789,271.0,279.0,243.0,318.0,MEDIUM,2.0,Alpine,9.0,-22.39235,-5.64234,1
40,73,GAS,84.804,3.0,1.0,29.72,33.247,21.837,283.0,284.0,243.0,322.0,MEDIUM,3.0,Alpine,9.0,-10.034897,-4.388296,1
41,74,GAS,84.249,4.0,1.0,29.182,33.229,21.838,274.0,285.0,242.0,342.0,MEDIUM,4.0,Alpine,9.0,3.6383777,-22.517992,0
42,76,GAS,83.989,6.0,1.0,29.246,33.086,21.657,287.0,281.0,242.0,345.0,MEDIUM,6.0,Alpine,9.0,9.298331,-4.21349,0
43,77,GAS,84.292,7.0,1.0,29.255,33.273,21.764,283.0,282.0,243.0,344.0,MEDIUM,7.0,Alpine,9.0,10.189206,-3.8996701,0
44,79,GAS,84.958,9.0,1.0,29.351,33.58,22.027,272.0,282.0,242.0,347.0,MEDIUM,9.0,Alpine,9.0,1.2230533,-21.569635,0
45,80,GAS,84.88,10.0,1.0,29.428,33.503,21.949,289.0,281.0,242.0,336.0,MEDIUM,10.0,Alpine,9.0,-11.503439,-24.889954,1
46,82,GAS,85.189,12.0,1.0,29.495,33.498,22.196,290.0,281.0,241.0,330.0,MEDIUM,12.0,Alpine,9.0,-14.541173,-22.33184,1
47,83,GAS,85.153,13.0,1.0,29.575,33.391,22.187,300.0,282.0,241.0,343.0,MEDIUM,13.0,Alpine,9.0,-9.31055,-29.132437,1
48,84,GAS,85.003,14.0,1.0,29.535,33.268,22.2,291.0,282.0,241.0,331.0,MEDIUM,14.0,Alpine,9.0,-13.667533,-22.484993,1
49,85,GAS,85.11,15.0,1.0,29.476,33.404,22.23,288.0,283.0,241.0,344.0,MEDIUM,15.0,Alpine,9.0,-6.745855,-27.42724,1
50,86,GAS,85.121,16.0,1.0,29.591,33.479,22.051,291.0,283.0,242.0,335.0,MEDIUM,16.0,Alpine,9.0,-10.3801775,-25.389008,1
51,87,GAS,85.331,17.0,1.0,29.651,33.494,22.186,288.0,283.0,239.0,344.0,MEDIUM,17.0,Alpine,9.0,-6.701138,-26.60185,1
52,88,GAS,85.419,18.0,1.0,29.686,33.569,22.164,293.0,280.0,242.0,332.0,MEDIUM,18.0,Alpine,9.0,-17.078098,-22.36647,1
53,89,GAS,85.126,19.0,1.0,29.471,33.673,21.982,296.0,279.0,240.0,340.0,MEDIUM,19.0,Alpine,9.0,-12.708342,-26.43936,1
54,90,GAS,84.779,20.0,1.0,29.336,33.369,22.074,293.0,282.0,242.0,341.0,MEDIUM,20.0,Alpine,9.0,-9.139201,-27.183558,1
55,91,GAS,84.732,21.0,1.0,29.331,33.386,22.015,294.0,284.0,240.0,339.0,MEDIUM,21.0,Alpine,9.0,-9.798408,-26.645304,1
56,92,GAS,85.087,22.0,1.0,29.425,33.441,22.221,296.0,282.0,241.0,343.0,MEDIUM,22.0,Alpine,9.0,-8.713033,-28.672337,1
57,94,GAS,84.435,24.0,1.0,29.404,33.048,21.983,293.0,275.0,242.0,333.0,MEDIUM,24.0,Alpine,8.0,-4.9077115,3.2419689,2
58,95,GAS,85.078,25.0,1.0,29.834,33.237,22.007,289.0,276.0,243.0,317.0,MEDIUM,25.0,Alpine,8.0,-22.793556,4.475249,1
59,96,GAS,84.914,26.0,1.0,29.763,33.299,21.852,287.0,277.0,242.0,318.0,MEDIUM,26.0,Alpine,7.0,-22.549044,5.033029,1
60,97,GAS,84.978,27.0,1.0,29.946,33.121,21.911,283.0,277.0,242.0,314.0,MEDIUM,27.0,Alpine,6.0,-22.92326,5.5739555,1
61,100,GAS,84.005,30.0,2.0,29.421,33.026,21.558,285.0,278.0,244.0,349.0,HARD,2.0,Alpine,15.0,7.7791004,-5.2693696,0
62,101,GAS,83.6,31.0,2.0,29.521,32.575,21.504,290.0,280.0,243.0,324.0,HARD,3.0,Alpine,13.0,-7.4628825,19.237259,2
