,Time,Status,Message
0,0 days 00:00:00,2,Yellow
1,0 days 00:07:53.470000,1,AllClear
2,0 days 00:21:05.410000,2,Yellow
3,0 days 00:35:24.238000,1,AllClear
4,0 days 01:02:36.381000,2,Yellow
5,0 days 01:02:47.162000,1,AllClear
6,0 days 01:08:04.985000,6,VSCDeployed
7,0 days 01:09:21.515000,7,VSCEnding
8,0 days 01:09:34.046000,1,AllClear
9,0 days 01:13:02.902000,2,Yellow
10,0 days 01:13:03.933000,1,AllClear
11,0 days 01:48:03.943000,2,Yellow
12,0 days 01:48:23.927000,4,SCDeployed
13,0 days 01:50:53.065000,5,Red
14,0 days 02:06:42.923000,1,AllClear
15,0 days 02:12:19.214000,4,SCDeployed
16,0 days 02:13:48.634000,1,AllClear
17,0 days 02:33:53.613000,2,Yellow
18,0 days 02:34:08.394000,1,AllClear
19,0 days 02:58:56.009000,2,Yellow
20,0 days 02:59:07.259000,1,AllClear
