,index,Time,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,LapStartDate,dim1,dim2,cluster_id
0,3,0 days 01:34:24.149000,VER,132.67,4.0,3.0,76.382,38.838,17.45,0 days 01:33:27.861000,0 days 01:34:06.699000,0 days 01:34:24.149000,287.0,239.0,294.0,208.0,SOFT,5.0,Red Bull Racing,2023-11-05 17:33:11.482,14.859776771930543,4.092309851242419,2
1,4,0 days 01:35:39.894000,VER,75.745,5.0,3.0,19.651,38.648,17.446,0 days 01:34:43.800000,0 days 01:35:22.448000,0 days 01:35:39.894000,298.0,238.0,295.0,277.0,SOFT,6.0,Red Bull Racing,2023-11-05 17:35:24.152,0.5543363492397715,1.397650769936244,1
2,5,0 days 01:36:55.441000,VER,75.547,6.0,3.0,19.715,38.471,17.361,0 days 01:35:59.609000,0 days 01:36:38.080000,0 days 01:36:55.441000,299.0,241.0,296.0,275.0,SOFT,7.0,Red Bull Racing,2023-11-05 17:36:39.897,0.2790130169535347,1.5575033188342609,1
3,7,0 days 01:39:26.896000,VER,75.864,8.0,3.0,19.615,38.746,17.503,0 days 01:38:30.647000,0 days 01:39:09.393000,0 days 01:39:26.896000,297.0,242.0,295.0,298.0,SOFT,9.0,Red Bull Racing,2023-11-05 17:39:11.035,-0.11812513925991776,1.3496580883502216,1
4,8,0 days 01:40:43.065000,VER,76.169,9.0,3.0,19.722,38.984,17.463,0 days 01:39:46.618000,0 days 01:40:25.602000,0 days 01:40:43.065000,293.0,243.0,298.0,275.0,SOFT,10.0,Red Bull Racing,2023-11-05 17:40:26.899,0.6134725229626848,1.5575031111144964,1
5,9,0 days 01:41:59.054000,VER,75.989,10.0,3.0,19.626,38.882,17.481,0 days 01:41:02.691000,0 days 01:41:41.573000,0 days 01:41:59.054000,297.0,241.0,298.0,283.0,SOFT,11.0,Red Bull Racing,2023-11-05 17:41:43.068,0.38626277759556565,1.2003808499692112,1
6,11,0 days 01:44:31.205000,VER,75.879,12.0,3.0,19.615,38.779,17.485,0 days 01:43:34.941000,0 days 01:44:13.720000,0 days 01:44:31.205000,299.0,245.0,297.0,288.0,SOFT,13.0,Red Bull Racing,2023-11-05 17:44:15.329,0.013843804964028766,1.328363550307875,1
7,15,0 days 01:49:36.297000,VER,76.305,16.0,3.0,19.643,38.976,17.686,0 days 01:48:39.635000,0 days 01:49:18.611000,0 days 01:49:36.297000,301.0,244.0,295.0,281.0,SOFT,17.0,Red Bull Racing,2023-11-05 17:49:19.995,0.6449909399112771,1.203556172356986,1
8,16,0 days 01:50:52.467000,VER,76.17,17.0,3.0,19.691,38.843,17.636,0 days 01:49:55.988000,0 days 01:50:34.831000,0 days 01:50:52.467000,300.0,246.0,297.0,284.0,SOFT,18.0,Red Bull Racing,2023-11-05 17:50:36.300,0.328446783518175,1.300171505004576,1
9,18,0 days 01:53:24.855000,VER,76.047,19.0,3.0,19.706,38.725,17.616,0 days 01:52:28.514000,0 days 01:53:07.239000,0 days 01:53:24.855000,297.0,242.0,298.0,287.0,SOFT,20.0,Red Bull Racing,2023-11-05 17:53:08.811,0.32901017258355747,1.2969579019469095,1
10,19,0 days 01:54:40.851000,VER,75.996,20.0,3.0,19.636,38.684,17.676,0 days 01:53:44.491000,0 days 01:54:23.175000,0 days 01:54:40.851000,301.0,244.0,298.0,286.0,SOFT,21.0,Red Bull Racing,2023-11-05 17:54:24.858,0.2912499247766638,1.169696440171694,1
11,20,0 days 01:55:57.058000,VER,76.207,21.0,3.0,19.64,38.911,17.656,0 days 01:55:00.491000,0 days 01:55:39.402000,0 days 01:55:57.058000,295.0,241.0,298.0,284.0,SOFT,22.0,Red Bull Racing,2023-11-05 17:55:40.854,0.6093811202372282,1.2803952141467356,1
12,21,0 days 01:57:13.264000,VER,76.206,22.0,3.0,19.695,38.751,17.76,0 days 01:56:16.753000,0 days 01:56:55.504000,0 days 01:57:13.264000,296.0,243.0,298.0,285.0,SOFT,23.0,Red Bull Racing,2023-11-05 17:56:57.061,0.5468344644547124,1.3950952216066177,1
13,23,0 days 01:59:45.687000,VER,76.397,24.0,3.0,19.648,39.015,17.734,0 days 01:58:48.938000,0 days 01:59:27.953000,0 days 01:59:45.687000,294.0,243.0,300.0,288.0,SOFT,25.0,Red Bull Racing,2023-11-05 17:59:29.293,0.5460687249815507,1.1996115996946886,1
14,24,0 days 02:01:01.956000,VER,76.269,25.0,3.0,19.662,38.884,17.723,0 days 02:00:05.349000,0 days 02:00:44.233000,0 days 02:01:01.956000,296.0,243.0,299.0,287.0,SOFT,26.0,Red Bull Racing,2023-11-05 18:00:45.690,0.49402309667475425,1.231411997938594,1
15,28,0 days 02:06:27.169000,VER,75.713,29.0,4.0,19.586,38.794,17.333,0 days 02:05:31.042000,0 days 02:06:09.836000,0 days 02:06:27.169000,299.0,240.0,296.0,280.0,MEDIUM,2.0,Red Bull Racing,2023-11-05 18:06:11.459,0.284177874490483,1.2482150298653796,1
16,31,0 days 02:10:14.194000,VER,75.439,32.0,4.0,19.497,38.517,17.425,0 days 02:09:18.252000,0 days 02:09:56.769000,0 days 02:10:14.194000,299.0,240.0,298.0,277.0,MEDIUM,5.0,Red Bull Racing,2023-11-05 18:09:58.758,0.30034058038097106,1.3354731623173115,1
17,35,0 days 02:15:14.765000,VER,75.125,36.0,4.0,19.467,38.269,17.389,0 days 02:14:19.107000,0 days 02:14:57.376000,0 days 02:15:14.765000,301.0,241.0,300.0,285.0,MEDIUM,9.0,Red Bull Racing,2023-11-05 18:14:59.643,-0.19963222766874014,1.2220980302024553,1
18,37,0 days 02:17:44.401000,VER,74.954,38.0,4.0,19.309,38.193,17.452,0 days 02:16:48.756000,0 days 02:17:26.949000,0 days 02:17:44.401000,296.0,242.0,300.0,284.0,MEDIUM,11.0,Red Bull Racing,2023-11-05 18:17:29.450,-0.1798599067454274,1.6274232875598902,1
19,38,0 days 02:18:59.375000,VER,74.974,39.0,4.0,19.293,38.211,17.47,0 days 02:18:03.694000,0 days 02:18:41.905000,0 days 02:18:59.375000,300.0,245.0,300.0,289.0,MEDIUM,12.0,Red Bull Racing,2023-11-05 18:18:44.404,-0.4491141549611313,1.4484101648631913,1
20,40,0 days 02:21:29.948000,VER,75.355,41.0,4.0,19.44,38.372,17.543,0 days 02:20:34.033000,0 days 02:21:12.405000,0 days 02:21:29.948000,296.0,243.0,299.0,286.0,MEDIUM,14.0,Red Bull Racing,2023-11-05 18:21:14.596,-0.030243783067553324,1.5873570514932236,1
21,41,0 days 02:22:45.150000,VER,75.202,42.0,4.0,19.381,38.269,17.552,0 days 02:21:49.329000,0 days 02:22:27.598000,0 days 02:22:45.150000,298.0,242.0,301.0,287.0,MEDIUM,15.0,Red Bull Racing,2023-11-05 18:22:29.951,-0.10679866696868072,1.3580105441275276,1
22,45,0 days 02:27:46.322000,VER,75.329,46.0,4.0,19.292,38.439,17.598,0 days 02:26:50.285000,0 days 02:27:28.724000,0 days 02:27:46.322000,299.0,244.0,301.0,290.0,MEDIUM,19.0,Red Bull Racing,2023-11-05 18:27:30.996,-0.1552379139081077,1.2369892530941267,1
23,46,0 days 02:29:01.684000,VER,75.362,47.0,4.0,19.295,38.49,17.577,0 days 02:28:05.617000,0 days 02:28:44.107000,0 days 02:29:01.684000,301.0,244.0,300.0,294.0,MEDIUM,20.0,Red Bull Racing,2023-11-05 18:28:46.325,-0.2728556817453267,1.0979161044805854,1
24,47,0 days 02:30:17.208000,VER,75.524,48.0,4.0,19.383,38.593,17.548,0 days 02:29:21.067000,0 days 02:29:59.660000,0 days 02:30:17.208000,300.0,245.0,299.0,296.0,MEDIUM,21.0,Red Bull Racing,2023-11-05 18:30:01.687,-0.32128215193351695,1.1785251560041337,1
25,51,0 days 02:35:18.916000,VER,75.39,52.0,4.0,19.273,38.651,17.466,0 days 02:34:22.799000,0 days 02:35:01.450000,0 days 02:35:18.916000,301.0,248.0,302.0,300.0,MEDIUM,25.0,Red Bull Racing,2023-11-05 18:35:03.529,-0.7033145167277365,1.0015647275604578,1
26,52,0 days 02:36:34.222000,VER,75.306,53.0,4.0,19.371,38.476,17.459,0 days 02:35:38.287000,0 days 02:36:16.763000,0 days 02:36:34.222000,300.0,246.0,302.0,299.0,MEDIUM,26.0,Red Bull Racing,2023-11-05 18:36:18.919,-0.6654229874392191,1.101974459004543,1
27,53,0 days 02:37:49.610000,VER,75.388,54.0,4.0,19.436,38.471,17.481,0 days 02:36:53.658000,0 days 02:37:32.129000,0 days 02:37:49.610000,304.0,248.0,303.0,300.0,MEDIUM,27.0,Red Bull Racing,2023-11-05 18:37:34.225,-0.7738458525275487,0.878609798932803,1
28,54,0 days 02:39:05.131000,VER,75.521,55.0,4.0,19.35,38.626,17.545,0 days 02:38:08.960000,0 days 02:38:47.586000,0 days 02:39:05.131000,302.0,249.0,303.0,302.0,MEDIUM,28.0,Red Bull Racing,2023-11-05 18:38:49.613,-0.7180840782566142,0.9172427515597714,1
29,57,0 days 02:43:09.802000,VER,74.044,58.0,5.0,19.086,37.775,17.183,0 days 02:42:14.844000,0 days 02:42:52.619000,0 days 02:43:09.802000,301.0,241.0,301.0,295.0,SOFT,2.0,Red Bull Racing,2023-11-05 18:42:55.761,-1.1197357444063398,1.3920883998331013,1
30,58,0 days 02:44:23.891000,VER,74.089,59.0,5.0,19.095,38.081,16.913,0 days 02:43:28.897000,0 days 02:44:06.978000,0 days 02:44:23.891000,304.0,246.0,320.0,294.0,SOFT,3.0,Red Bull Racing,2023-11-05 18:44:09.805,-1.7039801916699993,0.16164810630915813,1
31,59,0 days 02:45:38.156000,VER,74.265,60.0,5.0,19.068,38.005,17.192,0 days 02:44:42.959000,0 days 02:45:20.964000,0 days 02:45:38.156000,302.0,247.0,301.0,306.0,SOFT,4.0,Red Bull Racing,2023-11-05 18:45:23.894,-1.576670490856794,1.3319785067036365,1
