,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
0,3,VER,132.67,4.0,3.0,76.382,38.838,17.45,287.0,239.0,294.0,208.0,SOFT,5.0,Red Bull Racing,1.0,115.87103174603175,295.0,0.0,38.17857142857143,0.2916666666666667,0.5079365079365079,20.8,48.7,98.0,1.7,-22.644886099345648,-176.89832532130671,1
1,4,VER,75.745,5.0,3.0,19.651,38.648,17.446,298.0,238.0,295.0,277.0,SOFT,6.0,Red Bull Racing,1.0,199.57931034482758,299.0,85.0,60.39655172413793,0.45517241379310347,0.2103448275862069,21.0,50.2,180.0,0.8,18.219323892146356,-24.418151734027674,0
2,5,VER,75.547,6.0,3.0,19.715,38.471,17.361,299.0,241.0,296.0,275.0,SOFT,7.0,Red Bull Racing,1.0,203.54817275747507,301.0,85.0,63.37873754152824,0.46511627906976744,0.1760797342192691,20.9,49.8,186.0,1.1,23.077803874581146,-20.3473538290985,0
3,7,VER,75.864,8.0,3.0,19.615,38.746,17.503,297.0,242.0,295.0,298.0,SOFT,9.0,Red Bull Racing,1.0,201.84459459459458,300.0,85.0,65.75337837837837,0.5304054054054054,0.17229729729729729,21.1,49.7,204.0,1.8,34.85095615146259,-0.43778032718041227,0
4,8,VER,76.169,9.0,3.0,19.722,38.984,17.463,293.0,243.0,298.0,275.0,SOFT,10.0,Red Bull Racing,1.0,200.59154929577466,299.0,84.0,60.933098591549296,0.45774647887323944,0.18309859154929578,21.1,49.3,175.0,1.7,13.184513646775999,-27.45253366081,0
5,9,VER,75.989,10.0,3.0,19.626,38.882,17.481,297.0,241.0,298.0,283.0,SOFT,11.0,Red Bull Racing,1.0,203.29965156794424,300.0,83.0,61.8815331010453,0.47038327526132406,0.18118466898954705,21.0,49.4,263.0,1.0,86.27345253131004,23.219118712464827,2
6,11,VER,75.879,12.0,3.0,19.615,38.779,17.485,299.0,245.0,297.0,288.0,SOFT,13.0,Red Bull Racing,1.0,200.59786476868328,301.0,84.0,62.761565836298935,0.45907473309608543,0.17437722419928825,20.8,48.9,152.0,1.7,-13.663127135982421,-28.729909542368496,1
7,15,VER,76.305,16.0,3.0,19.643,38.976,17.686,301.0,244.0,295.0,281.0,SOFT,17.0,Red Bull Racing,1.0,201.9419795221843,302.0,82.0,62.74061433447099,0.4641638225255973,0.18088737201365188,20.8,48.9,194.0,1.7,26.470815852149506,-10.82507441313823,0
8,16,VER,76.17,17.0,3.0,19.691,38.843,17.636,300.0,246.0,297.0,284.0,SOFT,18.0,Red Bull Racing,1.0,201.03114186851212,301.0,78.0,60.71626297577855,0.47058823529411764,0.18339100346020762,20.9,49.0,176.0,2.2,8.630074713360031,-18.260350987882013,0
9,18,VER,76.047,19.0,3.0,19.706,38.725,17.616,297.0,242.0,298.0,287.0,SOFT,20.0,Red Bull Racing,1.0,199.32978723404256,301.0,81.0,62.0177304964539,0.4858156028368794,0.17375886524822695,20.9,48.8,197.0,1.5,27.91092908802866,-6.884319743750501,0
10,19,VER,75.996,20.0,3.0,19.636,38.684,17.676,301.0,244.0,298.0,286.0,SOFT,21.0,Red Bull Racing,1.0,202.44839857651246,302.0,79.0,62.45907473309609,0.498220640569395,0.2099644128113879,20.8,48.9,166.0,0.8,-1.4144802145485298,-21.54800928302821,0
11,20,VER,76.207,21.0,3.0,19.64,38.911,17.656,295.0,241.0,298.0,284.0,SOFT,22.0,Red Bull Racing,1.0,199.91919191919192,299.0,79.0,63.447811447811446,0.4983164983164983,0.1919191919191919,20.6,48.9,190.0,2.5,23.87508095648117,-14.367387898070106,0
12,21,VER,76.206,22.0,3.0,19.695,38.751,17.76,296.0,243.0,298.0,285.0,SOFT,23.0,Red Bull Racing,1.0,199.8661971830986,300.0,81.0,62.271126760563384,0.4788732394366197,0.1795774647887324,20.5,48.3,198.0,1.3,30.33635245412333,-8.623150655046752,0
13,23,VER,76.397,24.0,3.0,19.648,39.015,17.734,294.0,243.0,300.0,288.0,SOFT,25.0,Red Bull Racing,1.0,199.09712230215828,301.0,78.0,62.384892086330936,0.49280575539568344,0.17266187050359713,20.5,48.5,195.0,1.5,27.327785070590426,-8.870292481289301,0
14,24,VER,76.269,25.0,3.0,19.662,38.884,17.723,296.0,243.0,299.0,287.0,SOFT,26.0,Red Bull Racing,1.0,199.42906574394465,302.0,78.0,62.28373702422145,0.4809688581314879,0.17301038062283736,20.5,48.1,155.0,1.2,-10.507903925340123,-29.59583836200498,1
15,28,VER,75.713,29.0,4.0,19.586,38.794,17.333,299.0,240.0,296.0,280.0,MEDIUM,2.0,Red Bull Racing,1.0,204.0072463768116,300.0,85.0,60.7463768115942,0.4746376811594203,0.1956521739130435,20.5,48.8,154.0,1.2,-8.04403675765655,-35.54848804131991,1
16,30,VER,75.787,31.0,4.0,19.535,38.727,17.525,300.0,240.0,296.0,278.0,MEDIUM,4.0,Red Bull Racing,1.0,200.75694444444446,302.0,84.0,62.21180555555556,0.46875,0.1875,20.4,48.0,219.0,1.3,50.337844013469606,0.8425499561967453,0
17,31,VER,75.439,32.0,4.0,19.497,38.517,17.425,299.0,240.0,298.0,277.0,MEDIUM,5.0,Red Bull Racing,1.0,202.45936395759716,301.0,83.0,61.07773851590106,0.46996466431095407,0.17314487632508835,20.5,47.8,185.0,1.7,21.163559289439604,-18.88857663861169,0
18,35,VER,75.125,36.0,4.0,19.467,38.269,17.389,301.0,241.0,300.0,285.0,MEDIUM,9.0,Red Bull Racing,1.0,201.0074074074074,303.0,82.0,61.30740740740741,0.4666666666666667,0.17037037037037037,20.2,47.2,177.0,1.3,8.899259470704534,-15.083761104036205,0
