Pos.,Team,Driver,Time (sec),Lap,Points
1,Red Bull,Verstappen,2.22,27,25
2,McLaren,Piastri,2.25,23,18
3,Red Bull,Perez,2.27,20,15
4,AlphaTauri,Tsunoda,2.29,55,12
5,Ferrari,Sainz,2.35,26,10
6,Red Bull,Perez,2.37,46,
7,AlphaTauri,Tsunoda,2.40,26,
8,Aston Martin,Stroll,2.51,22,8
9,McLaren,Piastri,2.52,52,
10,Red Bull,Verstappen,2.53,56,
11,Aston Martin,Alonso,2.58,47,6
12,McLaren,Norris,2.58,59,4
13,Alpine,Gasly,2.59,46,2
14,AlphaTauri,Ricciardo,2.60,55,1
15,Alfa Romeo,Zhou,2.61,15,
16,McLaren,Norris,2.62,27,
17,Mercedes,Hamilton,2.70,18,
18,Aston Martin,Alonso,2.81,25,
19,AlphaTauri,Ricciardo,2.83,26,
20,Alpine,Ocon,2.88,51,
21,Ferrari,Sainz,2.88,51,
22,Mercedes,Russell,2.92,19,
23,Alfa Romeo,Bottas,2.96,18,
24,Mercedes,Russell,3.08,45,
25,Mercedes,Hamilton,3.13,46,
26,Haas,Hulkenberg,3.15,46,
27,Alpine,Ocon,3.18,14,
28,Alpine,Ocon,3.20,31,
29,Haas,Hulkenberg,3.38,21,
30,Williams,Sargeant,3.43,44,
31,Williams,Sargeant,3.50,17,
32,Williams,Sargeant,3.57,1,
33,Alpine,Gasly,4.14,26,
34,Aston Martin,Stroll,4.32,52,
35,Haas,Hulkenberg,9.09,1,
