,20
RoundNumber,20
Country,Brazil
Location,São Paulo
OfficialEventName,FORMULA 1 ROLEX GRANDE PRÊMIO DE SÃO PAULO 2023
EventDate,2023-11-05 00:00:00
EventName,São Paulo Grand Prix
EventFormat,sprint_shootout
Session1,Practice 1
Session1Date,2023-11-03 11:30:00-03:00
Session1DateUtc,2023-11-03 14:30:00
Session2,Qualifying
Session2Date,2023-11-03 15:00:00-03:00
Session2DateUtc,2023-11-03 18:00:00
Session3,Sprint Shootout
Session3Date,2023-11-04 11:00:00-03:00
Session3DateUtc,2023-11-04 14:00:00
Session4,Sprint
Session4Date,2023-11-04 15:30:00-03:00
Session4DateUtc,2023-11-04 18:30:00
Session5,Race
Session5Date,2023-11-05 14:00:00-03:00
Session5DateUtc,2023-11-05 17:00:00
F1ApiSupport,True
