,index,Time,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,LapStartDate,dim1,dim2,cluster_id
0,6,0 days 00:30:07.450000,VER,100.785,7.0,1.0,29.256,33.44,38.089,0 days 00:28:55.921000,0 days 00:29:29.361000,0 days 00:30:07.450000,174.0,205.0,309.0,285.0,MEDIUM,7.0,Red Bull Racing,2023-11-19 06:18:28.882,2.6794445902001303,1.04786675179048,2
1,7,0 days 00:31:47.592000,VER,100.142,8.0,1.0,29.033,33.306,37.803,0 days 00:30:36.483000,0 days 00:31:09.789000,0 days 00:31:47.592000,176.0,206.0,311.0,293.0,MEDIUM,8.0,Red Bull Racing,2023-11-19 06:20:09.667,1.645762511016355,0.7612700047031213,0
2,8,0 days 00:33:27.261000,VER,99.669,9.0,1.0,28.653,33.163,37.853,0 days 00:32:16.245000,0 days 00:32:49.408000,0 days 00:33:27.261000,177.0,205.0,309.0,293.0,MEDIUM,9.0,Red Bull Racing,2023-11-19 06:21:49.809,1.3262542095996435,1.2909579690807194,0
3,11,0 days 00:38:24.281000,VER,98.773,12.0,1.0,28.375,32.794,37.604,0 days 00:37:13.883000,0 days 00:37:46.677000,0 days 00:38:24.281000,179.0,206.0,310.0,297.0,MEDIUM,12.0,Red Bull Racing,2023-11-19 06:26:47.725,0.15839499300228638,1.1803320666024564,0
4,14,0 days 00:43:21.459000,VER,99.477,15.0,1.0,28.525,33.315,37.637,0 days 00:42:10.507000,0 days 00:42:43.822000,0 days 00:43:21.459000,177.0,207.0,308.0,294.0,MEDIUM,15.0,Red Bull Racing,2023-11-19 06:31:44.199,0.9212767405140625,1.1894484230631703,0
5,17,0 days 00:48:46.552000,VER,98.348,18.0,2.0,28.642,32.568,37.138,0 days 00:47:36.846000,0 days 00:48:09.414000,0 days 00:48:46.552000,179.0,210.0,311.0,300.0,HARD,2.0,Red Bull Racing,2023-11-19 06:37:10.421,-0.8172931581740941,0.5247272925557391,1
6,18,0 days 00:50:24.887000,VER,98.335,19.0,2.0,28.252,32.76,37.323,0 days 00:49:14.804000,0 days 00:49:47.564000,0 days 00:50:24.887000,181.0,210.0,320.0,275.0,HARD,3.0,Red Bull Racing,2023-11-19 06:38:48.769,-0.6666600025107118,-0.9278422964584296,1
7,23,0 days 00:58:37.453000,VER,98.482,24.0,2.0,28.259,33.422,36.801,0 days 00:57:27.230000,0 days 00:58:00.652000,0 days 00:58:37.453000,180.0,208.0,314.0,280.0,HARD,8.0,Red Bull Racing,2023-11-19 06:47:01.188,-0.3105109863402185,-0.35863812418017416,0
8,24,0 days 01:00:16.396000,VER,98.943,25.0,2.0,28.343,33.334,37.266,0 days 00:59:05.796000,0 days 00:59:39.130000,0 days 01:00:16.396000,181.0,201.0,311.0,293.0,HARD,9.0,Red Bull Racing,2023-11-19 06:48:39.670,0.6632997516486782,1.0051631487377661,0
9,28,0 days 01:09:25.942000,VER,100.938,29.0,3.0,29.952,33.716,37.27,0 days 01:08:14.956000,0 days 01:08:48.672000,0 days 01:09:25.942000,182.0,210.0,314.0,286.0,HARD,3.0,Red Bull Racing,2023-11-19 06:57:47.221,1.2798926088741895,-0.5631195410187967,0
10,29,0 days 01:11:04.411000,VER,98.469,30.0,3.0,28.556,32.814,37.099,0 days 01:09:54.498000,0 days 01:10:27.312000,0 days 01:11:04.411000,183.0,211.0,314.0,292.0,HARD,4.0,Red Bull Racing,2023-11-19 06:59:28.159,-1.078183632837389,-0.06747479090734895,1
11,30,0 days 01:12:42.159000,VER,97.748,31.0,3.0,28.515,32.897,36.336,0 days 01:11:32.926000,0 days 01:12:05.823000,0 days 01:12:42.159000,185.0,212.0,310.0,304.0,HARD,5.0,Red Bull Racing,2023-11-19 07:01:06.628,-2.2529920584754226,0.17886069071752533,1
12,31,0 days 01:14:18.762000,VER,96.603,32.0,3.0,27.789,32.032,36.782,0 days 01:13:09.948000,0 days 01:13:41.980000,0 days 01:14:18.762000,182.0,211.0,315.0,303.0,HARD,6.0,Red Bull Racing,2023-11-19 07:02:44.376,-2.810796579047818,0.10333892547420512,1
13,32,0 days 01:15:55.358000,VER,96.596,33.0,3.0,27.595,32.505,36.496,0 days 01:14:46.357000,0 days 01:15:18.862000,0 days 01:15:55.358000,181.0,211.0,313.0,295.0,HARD,7.0,Red Bull Racing,2023-11-19 07:04:20.979,-2.596304760130026,0.021863728759604812,1
14,33,0 days 01:17:31.717000,VER,96.359,34.0,3.0,27.603,31.967,36.789,0 days 01:16:22.961000,0 days 01:16:54.928000,0 days 01:17:31.717000,183.0,211.0,313.0,302.0,HARD,8.0,Red Bull Racing,2023-11-19 07:05:57.575,-3.0458742081719605,0.46269917830458873,1
15,35,0 days 01:20:44.232000,VER,96.276,36.0,3.0,27.628,32.277,36.371,0 days 01:19:35.584000,0 days 01:20:07.861000,0 days 01:20:44.232000,182.0,212.0,315.0,317.0,HARD,10.0,Red Bull Racing,2023-11-19 07:09:10.173,-3.481196737638373,-0.024618576709754505,1
16,36,0 days 01:22:20.892000,VER,96.66,37.0,3.0,27.488,32.259,36.913,0 days 01:21:11.720000,0 days 01:21:43.979000,0 days 01:22:20.892000,184.0,211.0,310.0,259.0,HARD,11.0,Red Bull Racing,2023-11-19 07:10:46.449,-2.0983274068254407,0.3302170214667878,1
17,38,0 days 01:25:32.930000,VER,95.938,39.0,3.0,27.395,31.711,36.832,0 days 01:24:24.387000,0 days 01:24:56.098000,0 days 01:25:32.930000,186.0,211.0,312.0,304.0,HARD,13.0,Red Bull Racing,2023-11-19 07:13:59.209,-3.6675686101027742,0.830744908288152,1
18,41,0 days 01:30:21.059000,VER,96.212,42.0,3.0,27.426,31.936,36.85,0 days 01:29:12.273000,0 days 01:29:44.209000,0 days 01:30:21.059000,185.0,212.0,311.0,307.0,HARD,16.0,Red Bull Racing,2023-11-19 07:18:47.064,-3.4751811044922407,0.8895959766908762,1
19,42,0 days 01:31:57.042000,VER,95.983,43.0,3.0,27.295,31.865,36.823,0 days 01:30:48.354000,0 days 01:31:20.219000,0 days 01:31:57.042000,186.0,211.0,311.0,309.0,HARD,17.0,Red Bull Racing,2023-11-19 07:20:23.276,-3.68143915247865,1.0327240472057988,1
