,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,dim1,dim2,tsne_clusters_id
0,6,VER,100.785,7.0,1.0,29.256,33.44,38.089,174.0,205.0,309.0,285.0,MEDIUM,7.0,Red Bull Racing,1.0,22.0288,15.293348,2
1,7,VER,100.142,8.0,1.0,29.033,33.306,37.803,176.0,206.0,311.0,293.0,MEDIUM,8.0,Red Bull Racing,1.0,16.329784,10.891309,2
2,8,VER,99.669,9.0,1.0,28.653,33.163,37.853,177.0,205.0,309.0,293.0,MEDIUM,9.0,Red Bull Racing,1.0,3.4736521,17.784174,2
3,11,VER,98.773,12.0,1.0,28.375,32.794,37.604,179.0,206.0,310.0,297.0,MEDIUM,12.0,Red Bull Racing,1.0,-0.56812835,13.687414,0
4,14,VER,99.477,15.0,1.0,28.525,33.315,37.637,177.0,207.0,308.0,294.0,MEDIUM,15.0,Red Bull Racing,1.0,3.5107844,16.731455,2
5,17,VER,98.348,18.0,2.0,28.642,32.568,37.138,179.0,210.0,311.0,300.0,HARD,2.0,Red Bull Racing,9.0,-6.685626,5.362227,0
6,18,VER,98.335,19.0,2.0,28.252,32.76,37.323,181.0,210.0,320.0,275.0,HARD,3.0,Red Bull Racing,9.0,-4.949032,-7.613513,0
7,23,VER,98.482,24.0,2.0,28.259,33.422,36.801,180.0,208.0,314.0,280.0,HARD,8.0,Red Bull Racing,5.0,-5.0847564,-3.2634897,0
8,24,VER,98.943,25.0,2.0,28.343,33.334,37.266,181.0,201.0,311.0,293.0,HARD,9.0,Red Bull Racing,4.0,1.5977564,19.897776,2
9,28,VER,100.938,29.0,3.0,29.952,33.716,37.27,182.0,210.0,314.0,286.0,HARD,3.0,Red Bull Racing,5.0,12.853539,3.6656346,2
10,29,VER,98.469,30.0,3.0,28.556,32.814,37.099,183.0,211.0,314.0,292.0,HARD,4.0,Red Bull Racing,5.0,-6.541226,-0.17367281,0
11,30,VER,97.748,31.0,3.0,28.515,32.897,36.336,185.0,212.0,310.0,304.0,HARD,5.0,Red Bull Racing,4.0,-17.638613,-5.6541824,1
12,31,VER,96.603,32.0,3.0,27.789,32.032,36.782,182.0,211.0,315.0,303.0,HARD,6.0,Red Bull Racing,4.0,-34.560616,-14.092911,1
13,32,VER,96.596,33.0,3.0,27.595,32.505,36.496,181.0,211.0,313.0,295.0,HARD,7.0,Red Bull Racing,3.0,-24.461302,-8.436228,1
14,33,VER,96.359,34.0,3.0,27.603,31.967,36.789,183.0,211.0,313.0,302.0,HARD,8.0,Red Bull Racing,3.0,-34.198303,-13.735918,1
15,35,VER,96.276,36.0,3.0,27.628,32.277,36.371,182.0,212.0,315.0,317.0,HARD,10.0,Red Bull Racing,2.0,-35.07491,-7.275577,1
16,36,VER,96.66,37.0,3.0,27.488,32.259,36.913,184.0,211.0,310.0,259.0,HARD,11.0,Red Bull Racing,1.0,-31.15621,-18.148817,1
17,38,VER,95.938,39.0,3.0,27.395,31.711,36.832,186.0,211.0,312.0,304.0,HARD,13.0,Red Bull Racing,1.0,-32.74612,-13.893079,1
18,41,VER,96.212,42.0,3.0,27.426,31.936,36.85,185.0,212.0,311.0,307.0,HARD,16.0,Red Bull Racing,1.0,-33.200466,-12.7870655,1
19,42,VER,95.983,43.0,3.0,27.295,31.865,36.823,186.0,211.0,311.0,309.0,HARD,17.0,Red Bull Racing,1.0,-32.383087,-13.113176,1
20,45,VER,95.896,46.0,3.0,27.267,31.877,36.752,187.0,210.0,313.0,309.0,HARD,20.0,Red Bull Racing,1.0,-31.87399,-13.725269,1
21,48,VER,96.95,49.0,3.0,27.244,32.031,37.675,187.0,210.0,307.0,286.0,HARD,23.0,Red Bull Racing,1.0,-30.416039,-16.794128,1
22,49,VER,97.637,50.0,3.0,28.321,32.275,37.041,184.0,212.0,310.0,304.0,HARD,24.0,Red Bull Racing,1.0,-26.88409,-14.8370495,1
23,56,GAS,102.346,7.0,1.0,30.526,34.069,37.751,175.0,207.0,309.0,271.0,MEDIUM,7.0,Alpine,4.0,28.505241,7.5084534,2
24,57,GAS,100.56,8.0,1.0,29.429,33.494,37.637,177.0,208.0,309.0,274.0,MEDIUM,8.0,Alpine,4.0,20.702242,9.747588,2
25,59,GAS,99.005,10.0,1.0,28.837,32.995,37.173,178.0,208.0,298.0,272.0,MEDIUM,10.0,Alpine,4.0,2.4081209,7.318249,0
26,61,GAS,99.088,12.0,1.0,28.746,33.163,37.179,179.0,208.0,311.0,290.0,MEDIUM,12.0,Alpine,4.0,2.0943058,4.839259,0
27,62,GAS,99.41,13.0,1.0,28.639,33.456,37.315,178.0,207.0,310.0,305.0,MEDIUM,13.0,Alpine,4.0,5.352649,15.215559,2
