Pos.,Team,Driver,Time (sec),Lap,Points
1,Ferrari,Sainz,2.16,23,25
2,McLaren,Norris,2.22,33,18
3,McLaren,Piastri,2.22,36,15
4,Ferrari,Sainz,2.25,56,
5,Red Bull,Perez,2.27,42,12
6,Red Bull,Verstappen,2.32,43,10
7,AlphaTauri,Ricciardo,2.36,7,8
8,Ferrari,Leclerc,2.37,35,6
9,Red Bull,Perez,2.46,17,
10,AlphaTauri,Tsunoda,2.53,22,4
11,Aston Martin,Alonso,2.53,36,2
12,AlphaTauri,Ricciardo,2.59,31,
13,McLaren,Piastri,2.64,13,
14,Alpine,Ocon,2.71,15,1
15,Williams,Sargeant,2.75,41,
16,Ferrari,Leclerc,2.77,17,
17,Alfa Romeo,Zhou,2.84,37,
18,Haas,Hulkenberg,2.85,13,
19,Williams,Albon,2.89,43,
20,Aston Martin,Stroll,2.90,22,
21,Red Bull,Verstappen,2.91,16,
22,Aston Martin,Stroll,2.91,42,
23,Haas,Magnussen,2.92,22,
24,Mercedes,Russell,2.97,14,
25,Williams,Sargeant,2.98,15,
26,Alfa Romeo,Bottas,3.07,29,
27,Aston Martin,Alonso,3.10,12,
28,Mercedes,Russell,3.10,34,
29,Haas,Hulkenberg,3.12,33,
30,Mercedes,Hamilton,3.21,15,
31,Alfa Romeo,Zhou,3.33,13,
32,Williams,Albon,3.36,16,
33,Mercedes,Hamilton,3.41,35,
34,Haas,Magnussen,3.50,5,
35,Alpine,Gasly,3.54,17,
36,Alpine,Gasly,4.13,32,
37,McLaren,Norris,5.16,14,
