,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,dim1,dim2,tsne_clusters_id
0,3.0,VER,83.391,4.0,1.0,28.9,18.326,36.165,280.0,296.0,288.0,303.0,MEDIUM,4.0,Red Bull Racing,3.0,-19.974255,-16.811554,2
1,4.0,VER,83.104,5.0,1.0,28.935,18.347,35.822,273.0,294.0,290.0,286.0,MEDIUM,5.0,Red Bull Racing,3.0,-22.506336,-15.262344,2
2,5.0,VER,82.843,6.0,1.0,28.986,17.951,35.906,276.0,322.0,304.0,296.0,MEDIUM,6.0,Red Bull Racing,3.0,-16.298012,-20.101328,2
3,9.0,VER,87.827,10.0,2.0,33.323,18.633,35.871,276.0,288.0,288.0,242.0,HARD,2.0,Red Bull Racing,2.0,-23.176317,-10.580133,2
4,10.0,VER,83.46,11.0,2.0,29.054,18.556,35.85,270.0,292.0,289.0,288.0,HARD,3.0,Red Bull Racing,2.0,-23.277899,-12.683068,2
5,11.0,VER,81.994,12.0,2.0,28.827,18.134,35.033,281.0,321.0,287.0,293.0,HARD,4.0,Red Bull Racing,1.0,-21.287624,-10.777475,2
6,12.0,VER,83.286,13.0,2.0,28.876,18.642,35.768,272.0,287.0,286.0,281.0,HARD,5.0,Red Bull Racing,1.0,-5.0826254,-16.267353,2
7,13.0,VER,82.869,14.0,2.0,28.769,18.604,35.496,275.0,290.0,287.0,293.0,HARD,6.0,Red Bull Racing,1.0,15.441455,15.96116,0
8,14.0,VER,82.817,15.0,2.0,28.785,18.527,35.505,274.0,290.0,286.0,290.0,HARD,7.0,Red Bull Racing,1.0,6.172034,-6.677354,1
9,15.0,VER,82.599,16.0,2.0,28.696,18.502,35.401,276.0,291.0,286.0,292.0,HARD,8.0,Red Bull Racing,1.0,11.211685,23.863634,0
10,19.0,VER,82.389,20.0,2.0,28.643,18.603,35.143,270.0,284.0,287.0,286.0,HARD,12.0,Red Bull Racing,1.0,-1.6275655,-17.11084,2
11,20.0,VER,82.11,21.0,2.0,28.596,18.437,35.077,274.0,285.0,288.0,285.0,HARD,13.0,Red Bull Racing,1.0,-6.131491,-21.981947,2
12,21.0,VER,82.269,22.0,2.0,28.588,18.517,35.164,271.0,287.0,287.0,302.0,HARD,14.0,Red Bull Racing,1.0,8.793519,-17.422693,1
13,22.0,VER,82.193,23.0,2.0,28.561,18.479,35.153,274.0,289.0,287.0,292.0,HARD,15.0,Red Bull Racing,1.0,10.72083,-18.08293,1
14,23.0,VER,81.843,24.0,2.0,28.374,18.413,35.056,276.0,290.0,287.0,293.0,HARD,16.0,Red Bull Racing,1.0,20.94822,-13.561593,1
15,24.0,VER,82.104,25.0,2.0,28.561,18.458,35.085,275.0,288.0,288.0,290.0,HARD,17.0,Red Bull Racing,1.0,20.168188,-13.410336,1
16,30.0,VER,82.024,31.0,2.0,28.451,18.29,35.283,277.0,289.0,288.0,293.0,HARD,23.0,Red Bull Racing,1.0,40.171547,-10.317975,1
17,33.0,VER,81.894,34.0,2.0,28.381,18.355,35.158,277.0,289.0,288.0,292.0,HARD,26.0,Red Bull Racing,1.0,39.01768,-12.870488,1
18,34.0,VER,81.681,35.0,2.0,28.333,18.331,35.017,279.0,291.0,289.0,299.0,HARD,27.0,Red Bull Racing,1.0,37.377766,-11.645977,1
19,35.0,VER,81.732,36.0,2.0,28.37,18.313,35.049,278.0,288.0,289.0,293.0,HARD,28.0,Red Bull Racing,1.0,37.395344,-12.256716,1
20,36.0,VER,81.403,37.0,2.0,28.327,18.257,34.819,279.0,290.0,289.0,294.0,HARD,29.0,Red Bull Racing,1.0,38.372814,-11.610036,1
21,37.0,VER,81.319,38.0,2.0,28.293,18.217,34.809,278.0,295.0,291.0,292.0,HARD,30.0,Red Bull Racing,1.0,37.901493,-11.053973,1
22,38.0,VER,81.578,39.0,2.0,28.528,18.282,34.768,276.0,289.0,289.0,294.0,HARD,31.0,Red Bull Racing,1.0,37.301212,5.507896,1
23,39.0,VER,81.078,40.0,2.0,28.204,18.226,34.648,280.0,290.0,290.0,291.0,HARD,32.0,Red Bull Racing,1.0,27.340569,15.59633,1
24,43.0,VER,81.089,44.0,2.0,28.159,18.228,34.702,275.0,290.0,290.0,298.0,HARD,36.0,Red Bull Racing,1.0,36.462635,-12.325532,1
25,44.0,VER,80.807,45.0,2.0,28.13,18.192,34.485,281.0,290.0,290.0,295.0,HARD,37.0,Red Bull Racing,1.0,38.448303,-10.093775,1
26,46.0,VER,84.107,47.0,2.0,28.065,18.117,37.925,281.0,291.0,287.0,291.0,HARD,39.0,Red Bull Racing,1.0,-28.461504,-16.458448,2
27,48.0,VER,80.342,49.0,2.0,27.834,18.133,34.375,284.0,287.0,291.0,291.0,HARD,41.0,Red Bull Racing,1.0,-11.673229,-19.354893,2
28,49.0,VER,80.471,50.0,2.0,28.018,18.151,34.302,283.0,289.0,291.0,293.0,HARD,42.0,Red Bull Racing,1.0,-26.520754,-10.881909,2
29,50.0,VER,80.632,51.0,2.0,28.001,18.094,34.537,282.0,289.0,292.0,292.0,HARD,43.0,Red Bull Racing,1.0,-18.459597,-8.712891,2
30,51.0,VER,80.738,52.0,2.0,28.025,18.09,34.623,281.0,289.0,291.0,296.0,HARD,44.0,Red Bull Racing,1.0,-19.549377,-7.4026804,2
31,61.0,GAS,84.671,4.0,1.0,29.683,18.714,36.274,267.0,298.0,285.0,285.0,SOFT,4.0,Alpine,8.0,-18.878542,-0.65202844,2
32,62.0,GAS,84.29,5.0,1.0,29.229,18.65,36.411,270.0,298.0,288.0,290.0,SOFT,5.0,Alpine,8.0,-4.9158106,7.8117514,0
33,63.0,GAS,83.529,6.0,1.0,28.98,18.643,35.906,271.0,298.0,289.0,292.0,SOFT,6.0,Alpine,8.0,-19.460804,-4.0080857,2
34,67.0,GAS,89.037,10.0,2.0,33.555,18.948,36.534,264.0,294.0,284.0,244.0,HARD,2.0,Alpine,4.0,-5.181311,8.297053,0
35,68.0,GAS,84.459,11.0,2.0,29.589,18.627,36.243,267.0,295.0,289.0,288.0,HARD,3.0,Alpine,4.0,-19.543198,-1.546505,2
36,69.0,GAS,83.647,12.0,2.0,29.151,18.522,35.974,271.0,297.0,288.0,293.0,HARD,4.0,Alpine,4.0,-18.090916,5.7694893,2
37,70.0,GAS,84.568,13.0,2.0,29.019,18.532,37.017,270.0,306.0,300.0,292.0,HARD,5.0,Alpine,5.0,-4.7770314,8.482034,0
38,71.0,GAS,83.268,14.0,2.0,29.034,18.267,35.967,271.0,314.0,300.0,298.0,HARD,6.0,Alpine,5.0,-18.488829,-1.5634807,2
39,72.0,GAS,83.078,15.0,2.0,28.876,18.282,35.92,274.0,314.0,299.0,305.0,HARD,7.0,Alpine,5.0,-18.108965,-0.05457059,2
40,73.0,GAS,82.777,16.0,2.0,28.778,18.189,35.81,272.0,314.0,299.0,308.0,HARD,8.0,Alpine,5.0,-3.7869413,-17.442066,2
41,77.0,GAS,82.599,20.0,2.0,28.745,18.519,35.335,273.0,293.0,288.0,291.0,HARD,12.0,Alpine,4.0,16.212965,18.26847,0
42,80.0,GAS,82.531,23.0,2.0,28.693,18.434,35.404,271.0,294.0,289.0,290.0,HARD,15.0,Alpine,4.0,14.137409,-2.7189837,1
43,81.0,GAS,82.498,24.0,2.0,28.748,18.352,35.398,273.0,294.0,290.0,291.0,HARD,16.0,Alpine,4.0,-1.9482739,-16.352303,2
44,82.0,GAS,84.245,25.0,2.0,30.127,18.152,35.966,270.0,325.0,301.0,292.0,HARD,17.0,Alpine,5.0,13.319822,-2.8592432,1
