,3
RoundNumber,3
Country,Australia
Location,Melbourne
OfficialEventName,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023
EventDate,2023-04-02 00:00:00
EventName,Australian Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2023-03-31 12:30:00+10:00
Session1DateUtc,2023-03-31 02:30:00
Session2,Practice 2
Session2Date,2023-03-31 16:00:00+10:00
Session2DateUtc,2023-03-31 06:00:00
Session3,Practice 3
Session3Date,2023-04-01 12:30:00+10:00
Session3DateUtc,2023-04-01 02:30:00
Session4,Qualifying
Session4Date,2023-04-01 16:00:00+10:00
Session4DateUtc,2023-04-01 06:00:00
Session5,Race
Session5Date,2023-04-02 15:00:00+10:00
Session5DateUtc,2023-04-02 05:00:00
F1ApiSupport,True
