,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
0,1,VER,107.707,2.0,1.0,38.431,43.642,25.634,MEDIUM,2.0,Red Bull Racing,2.0,200.5568720379147,329.0,69.0,63.03317535545024,0.5379146919431279,0.22748815165876776,25.0,43.3,174.0,2.2,1.1382431282568022,-2.0226065379504523,0
1,2,VER,107.677,3.0,1.0,38.493,43.718,25.466,MEDIUM,3.0,Red Bull Racing,1.0,199.47014925373134,343.0,65.0,62.28109452736319,0.5323383084577115,0.23134328358208955,25.0,43.1,160.0,1.3,2.146607391227123,0.10686716560159297,0
2,3,VER,107.108,4.0,1.0,37.933,43.372,25.803,MEDIUM,4.0,Red Bull Racing,1.0,200.6825,343.0,69.0,64.345,0.56,0.23,24.9,43.1,9.0,1.0,0.9982899811148375,-1.8549119033072567,0
3,4,VER,107.476,5.0,1.0,38.284,43.414,25.778,MEDIUM,5.0,Red Bull Racing,1.0,198.32125603864733,323.0,69.0,63.45169082125604,0.5434782608695652,0.22946859903381642,25.0,43.2,138.0,0.8,1.0794713061945118,-2.890373178078986,0
4,5,VER,107.202,6.0,1.0,38.262,43.24,25.7,MEDIUM,6.0,Red Bull Racing,1.0,197.92518703241896,323.0,68.0,63.34912718204489,0.543640897755611,0.22443890274314215,25.0,43.3,275.0,1.0,0.9566995777849986,-2.487101966272625,0
5,6,VER,106.995,7.0,1.0,38.268,43.032,25.695,MEDIUM,7.0,Red Bull Racing,1.0,202.6575682382134,323.0,71.0,65.84615384615384,0.5682382133995038,0.2109181141439206,24.8,42.3,21.0,0.6,-0.7623133193467267,-3.25143263262345,2
6,7,VER,106.801,8.0,1.0,38.038,43.034,25.729,MEDIUM,8.0,Red Bull Racing,1.0,200.9234693877551,322.0,69.0,65.41071428571429,0.5612244897959183,0.21428571428571427,24.8,41.7,0.0,0.8,-0.4616137056472274,-2.989610023155254,2
7,8,VER,106.944,9.0,1.0,37.979,43.119,25.846,MEDIUM,9.0,Red Bull Racing,1.0,198.33915211970074,322.0,71.0,63.718204488778056,0.5511221945137157,0.2344139650872818,25.0,42.0,295.0,0.6,0.3040905821026452,-3.0864132806652913,0
8,13,VER,106.936,14.0,2.0,38.813,42.577,25.546,HARD,4.0,Red Bull Racing,2.0,199.8080808080808,326.0,69.0,63.12626262626262,0.5404040404040404,0.23737373737373738,25.0,41.7,234.0,1.0,0.543051231925006,-1.6828564239233654,0
9,14,VER,105.687,15.0,2.0,37.68,42.565,25.442,HARD,5.0,Red Bull Racing,2.0,201.45343137254903,327.0,70.0,63.6764705882353,0.5367647058823529,0.23039215686274508,25.1,42.8,52.0,1.8,-0.5436535931592421,-1.5361249018530547,2
10,15,VER,105.497,16.0,2.0,37.64,42.482,25.375,HARD,6.0,Red Bull Racing,2.0,202.58679706601467,328.0,69.0,64.0757946210269,0.5574572127139364,0.22493887530562348,25.0,43.0,48.0,0.5,-0.7866837075420702,-1.3021104928661213,2
11,17,VER,105.425,18.0,2.0,37.403,42.605,25.417,HARD,8.0,Red Bull Racing,2.0,199.7627551020408,328.0,69.0,63.00255102040816,0.5331632653061225,0.23469387755102042,25.1,42.6,65.0,1.0,-0.2476384875173292,-1.020936621713318,2
12,18,VER,105.66,19.0,2.0,37.513,42.638,25.509,HARD,9.0,Red Bull Racing,2.0,201.58145363408522,328.0,69.0,64.22305764411027,0.5614035087719298,0.22055137844611528,25.1,42.0,290.0,1.3,-0.9507724937255542,-1.424122287158786,2
13,19,VER,105.446,20.0,2.0,37.256,42.789,25.401,HARD,10.0,Red Bull Racing,2.0,200.79899497487438,329.0,72.0,64.12562814070351,0.5527638190954773,0.22110552763819097,25.2,41.2,0.0,1.0,-1.2987297595479645,-1.1738280581237228,2
14,20,VER,105.793,21.0,2.0,37.631,42.759,25.403,HARD,11.0,Red Bull Racing,2.0,200.22084367245657,329.0,68.0,63.54590570719603,0.5483870967741935,0.228287841191067,25.4,41.0,48.0,0.6,-0.6033533474284355,-0.4483795358986312,2
