,PC1,PC2,Driver,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST
0,-0.1472069016338961,1.0983878676228638,VER,Red Bull Racing,107707.0,38431.0,43642.0,25634.0,194.0,212.0,318.0,322.0
1,1.2067005398501505,-0.5508957900562925,VER,Red Bull Racing,107677.0,38493.0,43718.0,25466.0,196.0,203.0,342.0,322.0
2,-1.2768164728265696,2.6979185830154124,VER,Red Bull Racing,107108.0,37933.0,43372.0,25803.0,197.0,209.0,311.0,316.0
3,-1.068118198717347,2.748897659943302,VER,Red Bull Racing,107476.0,38284.0,43414.0,25778.0,203.0,203.0,311.0,316.0
4,-1.335773447741851,2.186867171208265,VER,Red Bull Racing,107202.0,38262.0,43240.0,25700.0,201.0,209.0,313.0,317.0
5,-1.923282199527277,2.063343590725581,VER,Red Bull Racing,106995.0,38268.0,43032.0,25695.0,206.0,212.0,314.0,317.0
6,-1.863881559398909,1.348578459561887,VER,Red Bull Racing,106936.0,38813.0,42577.0,25546.0,200.0,215.0,314.0,319.0
7,-1.9565255346294672,0.10931609055408756,VER,Red Bull Racing,105687.0,37680.0,42565.0,25442.0,199.0,218.0,318.0,321.0
8,-2.701850090080237,-0.31890510210940204,VER,Red Bull Racing,105497.0,37640.0,42482.0,25375.0,208.0,223.0,318.0,322.0
9,-2.3612841373476554,-0.36136628626780015,VER,Red Bull Racing,105425.0,37403.0,42605.0,25417.0,204.0,223.0,324.0,321.0
10,-1.4873046373494718,-0.5257896112668866,VER,Red Bull Racing,105446.0,37256.0,42789.0,25401.0,203.0,213.0,320.0,323.0
11,-1.823856778412143,-0.3592657986878583,VER,Red Bull Racing,105793.0,37631.0,42759.0,25403.0,204.0,218.0,319.0,323.0
12,-2.068680983751913,-0.28860168620402415,VER,Red Bull Racing,105670.0,37564.0,42666.0,25440.0,203.0,221.0,319.0,323.0
13,-2.1798631343313537,-0.0578518427427943,VER,Red Bull Racing,105902.0,37754.0,42708.0,25440.0,205.0,221.0,319.0,322.0
14,-2.1139141073000607,-0.3180777452397401,VER,Red Bull Racing,105738.0,37626.0,42742.0,25370.0,209.0,217.0,319.0,322.0
15,-1.9991047379935118,-0.4919815033413719,VER,Red Bull Racing,105657.0,37575.0,42763.0,25319.0,207.0,217.0,319.0,322.0
16,-1.943700170038955,-0.19669277259158346,VER,Red Bull Racing,105855.0,37711.0,42747.0,25397.0,206.0,217.0,319.0,322.0
17,-2.636883405281158,0.27289283348139426,VER,Red Bull Racing,105625.0,37442.0,42683.0,25500.0,205.0,224.0,317.0,321.0
18,-2.209646703808963,0.0012447257881320348,VER,Red Bull Racing,105694.0,37530.0,42713.0,25451.0,202.0,222.0,317.0,322.0
19,-2.437880906788829,0.5100692329540459,VER,Red Bull Racing,106365.0,38141.0,42744.0,25480.0,210.0,220.0,316.0,321.0
20,-2.6490478882718147,-0.06123749526802691,VER,Red Bull Racing,105575.0,37441.0,42741.0,25393.0,213.0,219.0,317.0,321.0
21,-2.5139449296024203,-0.22707025975969586,VER,Red Bull Racing,105348.0,37375.0,42564.0,25409.0,210.0,218.0,317.0,322.0
22,-2.559340801444795,-0.2559978806039395,VER,Red Bull Racing,105354.0,37271.0,42663.0,25420.0,214.0,217.0,318.0,322.0
23,-2.6159799249496567,-0.2710000818645647,VER,Red Bull Racing,105343.0,37317.0,42665.0,25361.0,215.0,216.0,318.0,321.0
24,-3.0186236827433244,-0.3241642756492015,VER,Red Bull Racing,105218.0,37239.0,42604.0,25375.0,212.0,224.0,319.0,321.0
25,-3.082407491766983,-0.2551759468103607,VER,Red Bull Racing,105121.0,37267.0,42536.0,25318.0,208.0,225.0,317.0,320.0
26,-2.8934972238105696,-0.5108488058484474,VER,Red Bull Racing,105319.0,37181.0,42761.0,25377.0,217.0,222.0,320.0,322.0
27,-2.747401706272383,-0.6496219424802233,VER,Red Bull Racing,105474.0,37390.0,42774.0,25310.0,213.0,224.0,320.0,322.0
28,-3.0006205929593466,-0.5690049105691348,VER,Red Bull Racing,105150.0,37354.0,42465.0,25331.0,215.0,221.0,318.0,322.0
29,-3.094658458462766,-0.5255725976490497,VER,Red Bull Racing,105418.0,37359.0,42732.0,25327.0,219.0,223.0,318.0,322.0
30,-3.026848566158878,-0.6554448855653606,VER,Red Bull Racing,105123.0,37209.0,42620.0,25294.0,217.0,221.0,317.0,322.0
31,-1.616409821844161,-3.46771579959106,VER,Red Bull Racing,104843.0,37179.0,42645.0,25019.0,220.0,217.0,347.0,325.0
32,-2.5915622926911963,-0.6782347118040878,VER,Red Bull Racing,105275.0,37113.0,42833.0,25329.0,212.0,222.0,317.0,323.0
33,-3.1802279283391663,-0.6357112755004285,VER,Red Bull Racing,105140.0,37183.0,42639.0,25318.0,217.0,224.0,318.0,322.0
34,-3.5627155796861825,-1.306517478065408,VER,Red Bull Racing,104686.0,37027.0,42452.0,25207.0,221.0,226.0,319.0,323.0
