,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,dim1,dim2,tsne_clusters_id
0,1,VER,107.707,2.0,1.0,38.431,43.642,25.634,194.0,212.0,318.0,322.0,MEDIUM,2.0,Red Bull Racing,2.0,-3.1582072,10.299579,0
1,2,VER,107.677,3.0,1.0,38.493,43.718,25.466,196.0,203.0,342.0,322.0,MEDIUM,3.0,Red Bull Racing,1.0,17.21612,-4.805326,2
2,3,VER,107.108,4.0,1.0,37.933,43.372,25.803,197.0,209.0,311.0,316.0,MEDIUM,4.0,Red Bull Racing,1.0,-8.153708,21.727222,0
3,4,VER,107.476,5.0,1.0,38.284,43.414,25.778,203.0,203.0,311.0,316.0,MEDIUM,5.0,Red Bull Racing,1.0,-9.028944,22.075293,0
4,5,VER,107.202,6.0,1.0,38.262,43.24,25.7,201.0,209.0,313.0,317.0,MEDIUM,6.0,Red Bull Racing,1.0,-8.87454,20.78522,0
5,6,VER,106.995,7.0,1.0,38.268,43.032,25.695,206.0,212.0,314.0,317.0,MEDIUM,7.0,Red Bull Racing,1.0,-10.242951,20.222778,0
6,13,VER,106.936,14.0,2.0,38.813,42.577,25.546,200.0,215.0,314.0,319.0,HARD,4.0,Red Bull Racing,2.0,-12.5682955,13.496452,1
7,14,VER,105.687,15.0,2.0,37.68,42.565,25.442,199.0,218.0,318.0,321.0,HARD,5.0,Red Bull Racing,2.0,-25.863888,0.85216814,1
8,15,VER,105.497,16.0,2.0,37.64,42.482,25.375,208.0,223.0,318.0,322.0,HARD,6.0,Red Bull Racing,2.0,-29.392494,-0.014473254,1
9,17,VER,105.425,18.0,2.0,37.403,42.605,25.417,204.0,223.0,324.0,321.0,HARD,8.0,Red Bull Racing,2.0,-28.576248,0.93071496,1
10,19,VER,105.446,20.0,2.0,37.256,42.789,25.401,203.0,213.0,320.0,323.0,HARD,10.0,Red Bull Racing,2.0,-25.43287,-1.8607789,1
11,20,VER,105.793,21.0,2.0,37.631,42.759,25.403,204.0,218.0,319.0,323.0,HARD,11.0,Red Bull Racing,2.0,-26.384436,-0.75748116,1
12,21,VER,105.67,22.0,2.0,37.564,42.666,25.44,203.0,221.0,319.0,323.0,HARD,12.0,Red Bull Racing,2.0,-26.825205,0.18773204,1
13,22,VER,105.902,23.0,2.0,37.754,42.708,25.44,205.0,221.0,319.0,322.0,HARD,13.0,Red Bull Racing,2.0,-27.462917,0.17934725,1
