,5
RoundNumber,5
Country,United States
Location,Miami
OfficialEventName,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023
EventDate,2023-05-07 00:00:00
EventName,Miami Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2023-05-05 14:00:00-04:00
Session1DateUtc,2023-05-05 18:00:00
Session2,Practice 2
Session2Date,2023-05-05 17:30:00-04:00
Session2DateUtc,2023-05-05 21:30:00
Session3,Practice 3
Session3Date,2023-05-06 12:30:00-04:00
Session3DateUtc,2023-05-06 16:30:00
Session4,Qualifying
Session4Date,2023-05-06 16:00:00-04:00
Session4DateUtc,2023-05-06 20:00:00
Session5,Race
Session5Date,2023-05-07 15:30:00-04:00
Session5DateUtc,2023-05-07 19:30:00
F1ApiSupport,True
