,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,tsne_clusters_id
0,1,VER,94.26,2.0,1.0,32.857,35.277,26.126,HARD,2.0,Red Bull Racing,8.0,205.63812154696132,322.0,66.0,59.651933701657455,0.4861878453038674,0.212707182320442,26.6,33.7,124.0,3.7,26.525944,57.13944,0
1,2,VER,94.127,3.0,1.0,32.337,35.896,25.894,HARD,3.0,Red Bull Racing,8.0,203.51790633608815,346.0,60.0,57.52892561983471,0.4573002754820937,0.24517906336088155,26.7,33.9,128.0,4.1,20.585262,49.437954,0
2,3,VER,92.935,4.0,1.0,32.042,34.996,25.897,HARD,4.0,Red Bull Racing,6.0,206.3008356545961,324.0,65.0,62.97493036211699,0.5125348189415042,0.20334261838440112,26.9,33.9,158.0,4.8,-15.871876,-13.189126,2
3,4,VER,92.875,5.0,1.0,32.029,34.998,25.848,HARD,5.0,Red Bull Racing,6.0,205.31267605633803,319.0,66.0,62.94929577464789,0.5211267605633803,0.2,26.9,34.5,130.0,4.5,9.888531,7.0646787,2
4,5,VER,92.753,6.0,1.0,31.893,35.037,25.823,HARD,6.0,Red Bull Racing,6.0,207.62426035502958,335.0,67.0,61.032544378698226,0.514792899408284,0.21301775147928995,27.0,35.2,122.0,3.7,-25.588867,-12.021931,2
5,6,VER,92.555,7.0,1.0,31.915,34.921,25.719,HARD,7.0,Red Bull Racing,6.0,205.84256559766763,341.0,64.0,59.74052478134111,0.478134110787172,0.21282798833819241,27.2,35.5,147.0,3.2,-27.412935,-14.314027,1
6,7,VER,92.947,8.0,1.0,32.196,35.116,25.635,HARD,8.0,Red Bull Racing,5.0,206.81524926686217,350.0,60.0,60.23460410557185,0.4897360703812317,0.2375366568914956,27.3,35.8,134.0,4.0,22.942732,27.49976,0
7,8,VER,92.988,9.0,1.0,31.89,35.221,25.877,HARD,9.0,Red Bull Racing,4.0,208.31767955801104,345.0,60.0,62.52209944751381,0.5193370165745856,0.20165745856353592,27.5,37.4,129.0,3.7,24.34464,19.823511,0
8,9,VER,92.74,10.0,1.0,31.796,35.097,25.847,HARD,10.0,Red Bull Racing,4.0,206.1661971830986,317.0,65.0,62.10704225352113,0.5126760563380282,0.19436619718309858,27.7,37.9,107.0,3.0,-15.029375,26.44649,2
9,10,VER,92.251,11.0,1.0,31.481,34.914,25.856,HARD,11.0,Red Bull Racing,4.0,209.76023391812865,320.0,66.0,63.35087719298246,0.5292397660818714,0.19005847953216373,27.6,36.5,137.0,3.7,-22.273212,13.537889,2
10,11,VER,92.304,12.0,1.0,31.628,34.885,25.791,HARD,12.0,Red Bull Racing,4.0,206.6342857142857,325.0,65.0,61.90571428571429,0.5057142857142857,0.2,27.6,35.5,134.0,3.7,-21.05385,11.736984,2
