,index,Time,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,LapStartDate,dim1,dim2,cluster_id
0,1,0 days 01:04:46.825000,VER,79.367,2.0,1.0,20.954,37.366,21.047,0 days 01:03:48.412000,0 days 01:04:25.778000,0 days 01:04:46.825000,186.0,182.0,256.0,259.0,MEDIUM,2.0,Red Bull Racing,2023-05-28 13:04:28.435,-0.3798208922544306,0.9407783388362787,0
1,2,0 days 01:06:05.899000,VER,79.074,3.0,1.0,20.854,37.288,20.932,0 days 01:05:07.679000,0 days 01:05:44.967000,0 days 01:06:05.899000,193.0,183.0,255.0,260.0,MEDIUM,3.0,Red Bull Racing,2023-05-28 13:05:47.802,-0.5712561745907317,1.1475604654141294,0
2,3,0 days 01:07:24.028000,VER,78.129,4.0,1.0,20.835,36.637,20.657,0 days 01:06:26.734000,0 days 01:07:03.371000,0 days 01:07:24.028000,192.0,187.0,256.0,259.0,MEDIUM,4.0,Red Bull Racing,2023-05-28 13:07:06.876,-0.8337015798963506,1.0667265799206926,0
3,4,0 days 01:08:42.047000,VER,78.019,5.0,1.0,20.745,36.734,20.54,0 days 01:07:44.773000,0 days 01:08:21.507000,0 days 01:08:42.047000,188.0,187.0,256.0,260.0,MEDIUM,5.0,Red Bull Racing,2023-05-28 13:08:25.005,-0.8384749840120417,1.0088192846426554,0
4,5,0 days 01:09:59.687000,VER,77.64,6.0,1.0,20.488,36.55,20.602,0 days 01:09:02.535000,0 days 01:09:39.085000,0 days 01:09:59.687000,193.0,185.0,255.0,260.0,MEDIUM,6.0,Red Bull Racing,2023-05-28 13:09:43.024,-0.913270063858774,1.2180411129939908,0
5,6,0 days 01:11:17.320000,VER,77.633,7.0,1.0,20.483,36.479,20.671,0 days 01:10:20.170000,0 days 01:10:56.649000,0 days 01:11:17.320000,194.0,185.0,256.0,260.0,MEDIUM,7.0,Red Bull Racing,2023-05-28 13:11:00.664,-0.952606386237085,1.0750204898507192,0
6,7,0 days 01:12:34.717000,VER,77.397,8.0,1.0,20.432,36.457,20.508,0 days 01:11:37.752000,0 days 01:12:14.209000,0 days 01:12:34.717000,195.0,187.0,256.0,260.0,MEDIUM,8.0,Red Bull Racing,2023-05-28 13:12:18.297,-1.073926723194168,1.1015500233235302,0
7,8,0 days 01:13:51.748000,VER,77.031,9.0,1.0,20.438,36.224,20.369,0 days 01:12:55.155000,0 days 01:13:31.379000,0 days 01:13:51.748000,196.0,191.0,256.0,260.0,MEDIUM,9.0,Red Bull Racing,2023-05-28 13:13:35.694,-1.2498670527872415,1.146376870949687,0
8,10,0 days 01:16:25.690000,VER,76.858,11.0,1.0,20.311,36.15,20.397,0 days 01:15:29.143000,0 days 01:16:05.293000,0 days 01:16:25.690000,195.0,190.0,256.0,260.0,MEDIUM,11.0,Red Bull Racing,2023-05-28 13:16:09.809,-1.2474109527886867,1.1424471315500364,0
9,16,0 days 01:24:07.945000,VER,76.86,17.0,1.0,20.186,36.21,20.464,0 days 01:23:11.271000,0 days 01:23:47.481000,0 days 01:24:07.945000,199.0,191.0,257.0,262.0,MEDIUM,17.0,Red Bull Racing,2023-05-28 13:23:52.062,-1.4136673472052879,0.9827489547747166,0
10,17,0 days 01:25:24.657000,VER,76.712,18.0,1.0,20.148,36.094,20.47,0 days 01:24:28.093000,0 days 01:25:04.187000,0 days 01:25:24.657000,201.0,191.0,257.0,263.0,MEDIUM,18.0,Red Bull Racing,2023-05-28 13:25:08.922,-1.49472705793027,0.9822251127296344,0
