,PC1,PC2,Driver,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST
0,-0.39150088189759863,0.8651137664975906,VER,Red Bull Racing,79367.0,20954.0,37366.0,21047.0,186.0,182.0,256.0,259.0
1,-0.5857977366402186,1.0687317764610387,VER,Red Bull Racing,79074.0,20854.0,37288.0,20932.0,193.0,183.0,255.0,260.0
2,-0.8466416227543474,0.9857017664525634,VER,Red Bull Racing,78129.0,20835.0,36637.0,20657.0,192.0,187.0,256.0,259.0
3,-0.8512892689522549,0.9319946015779117,VER,Red Bull Racing,78019.0,20745.0,36734.0,20540.0,188.0,187.0,256.0,260.0
4,-0.9278040502194191,1.1349021589155288,VER,Red Bull Racing,77640.0,20488.0,36550.0,20602.0,193.0,185.0,255.0,260.0
5,-0.9649785206655187,0.9936215893267057,VER,Red Bull Racing,77633.0,20483.0,36479.0,20671.0,194.0,185.0,256.0,260.0
6,-1.0866324629628168,1.0187197796930112,VER,Red Bull Racing,77397.0,20432.0,36457.0,20508.0,195.0,187.0,256.0,260.0
7,-1.2632718853814526,1.06214528134548,VER,Red Bull Racing,77031.0,20438.0,36224.0,20369.0,196.0,191.0,256.0,260.0
8,-1.2603744907063745,1.0577027462799746,VER,Red Bull Racing,76858.0,20311.0,36150.0,20397.0,195.0,190.0,256.0,260.0
9,-1.4249176200553684,0.9038574547807421,VER,Red Bull Racing,76860.0,20186.0,36210.0,20464.0,199.0,191.0,257.0,262.0
10,-1.5062770368090446,0.9053776688825009,VER,Red Bull Racing,76712.0,20148.0,36094.0,20470.0,201.0,191.0,257.0,263.0
11,-1.443302469080001,0.6109026151220486,VER,Red Bull Racing,77214.0,20207.0,36333.0,20674.0,197.0,190.0,258.0,267.0
12,-1.5801438608155145,0.8711968055163946,VER,Red Bull Racing,76803.0,20157.0,36186.0,20460.0,202.0,192.0,257.0,265.0
13,-1.5977659636573462,0.6995578012346874,VER,Red Bull Racing,76659.0,20084.0,36154.0,20421.0,199.0,192.0,258.0,265.0
14,-1.6635817738494632,0.5629421930628989,VER,Red Bull Racing,76604.0,20208.0,36076.0,20320.0,202.0,191.0,259.0,265.0
15,-1.6169977564346498,0.5332102120638248,VER,Red Bull Racing,76798.0,20160.0,36094.0,20544.0,201.0,191.0,259.0,266.0
16,-1.5295776559815968,0.4686461176834145,VER,Red Bull Racing,77183.0,20245.0,36397.0,20541.0,198.0,191.0,259.0,267.0
17,-1.5947087408502465,0.46800309372404425,VER,Red Bull Racing,77212.0,20318.0,36387.0,20507.0,201.0,191.0,259.0,268.0
18,-1.592018162268793,0.4386754945805469,VER,Red Bull Racing,77259.0,20263.0,36370.0,20626.0,199.0,192.0,259.0,269.0
19,-1.3648157735532052,0.35537447820381945,VER,Red Bull Racing,77770.0,20336.0,36715.0,20719.0,192.0,191.0,259.0,269.0
20,-1.4392982807331327,0.34557663228933055,VER,Red Bull Racing,78001.0,20358.0,36723.0,20920.0,195.0,193.0,259.0,271.0
21,-1.3099990088906048,0.3493851741707693,VER,Red Bull Racing,78160.0,20292.0,36888.0,20980.0,197.0,188.0,259.0,270.0
22,-1.1017951249743303,0.04303634751627651,VER,Red Bull Racing,78741.0,20522.0,37201.0,21018.0,192.0,188.0,261.0,267.0
23,-1.288708739130169,0.0021333136433605276,VER,Red Bull Racing,78816.0,20514.0,37616.0,20686.0,197.0,188.0,261.0,270.0
24,-1.0709174882025614,0.23228095218274528,VER,Red Bull Racing,78946.0,20388.0,37184.0,21374.0,195.0,189.0,260.0,267.0
25,-1.3986411886841073,0.12637409473353442,VER,Red Bull Racing,78044.0,20330.0,36922.0,20792.0,197.0,191.0,261.0,267.0
26,-1.42700436512124,0.30071277998057333,VER,Red Bull Racing,78024.0,20355.0,36913.0,20756.0,199.0,192.0,260.0,267.0
27,-1.2156660032696853,0.6667463787697006,VER,Red Bull Racing,77974.0,20616.0,36766.0,20592.0,198.0,190.0,258.0,263.0
