,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
0,1,VER,79.367,2.0,1.0,20.954,37.366,21.047,186.0,182.0,256.0,259.0,MEDIUM,2.0,Red Bull Racing,1.0,147.6038961038961,265.0,44.0,44.52597402597402,0.24675324675324675,0.24025974025974026,25.2,43.1,48.0,1.0,-89.92678014367391,2.7154854670775466,2
1,2,VER,79.074,3.0,1.0,20.854,37.288,20.932,193.0,183.0,255.0,260.0,MEDIUM,3.0,Red Bull Racing,1.0,151.61666666666667,264.0,44.0,45.34,0.29333333333333333,0.25666666666666665,25.3,42.8,18.0,1.0,-119.4250650672413,-8.4911068298399,2
2,3,VER,78.129,4.0,1.0,20.835,36.637,20.657,192.0,187.0,256.0,259.0,MEDIUM,4.0,Red Bull Racing,1.0,151.86713286713288,265.0,44.0,44.54895104895105,0.25874125874125875,0.2517482517482518,25.4,42.8,115.0,1.0,-28.612680648824234,-5.067130084463302,1
3,4,VER,78.019,5.0,1.0,20.745,36.734,20.54,188.0,187.0,256.0,260.0,MEDIUM,5.0,Red Bull Racing,1.0,149.6476510067114,266.0,44.0,45.513422818791945,0.2651006711409396,0.24496644295302014,25.5,42.4,161.0,1.3,40.002352765666934,0.15857216114332412,1
4,5,VER,77.64,6.0,1.0,20.488,36.55,20.602,193.0,185.0,255.0,260.0,MEDIUM,6.0,Red Bull Racing,1.0,149.99653979238755,266.0,46.0,44.688581314878896,0.2629757785467128,0.2664359861591695,25.4,42.4,132.0,1.0,-12.669764715605915,-3.911573177034175,1
5,6,VER,77.633,7.0,1.0,20.483,36.479,20.671,194.0,185.0,256.0,260.0,MEDIUM,7.0,Red Bull Racing,1.0,151.46127946127947,265.0,44.0,45.4983164983165,0.27946127946127947,0.24915824915824916,25.4,41.4,50.0,0.6,-87.77488599797387,-11.177308141276376,2
6,7,VER,77.397,8.0,1.0,20.432,36.457,20.508,195.0,187.0,256.0,260.0,MEDIUM,8.0,Red Bull Racing,1.0,154.16095890410958,265.0,45.0,45.657534246575345,0.2808219178082192,0.2602739726027397,25.4,40.9,359.0,0.8,229.12157276116682,0.8422082521415217,1
7,8,VER,77.031,9.0,1.0,20.438,36.224,20.369,196.0,191.0,256.0,260.0,MEDIUM,9.0,Red Bull Racing,1.0,154.69611307420496,263.0,44.0,47.29681978798587,0.29328621908127206,0.24381625441696114,25.4,41.0,147.0,1.2,30.666554942174418,-7.582607752152729,1
8,10,VER,76.858,11.0,1.0,20.311,36.15,20.397,195.0,190.0,256.0,260.0,MEDIUM,11.0,Red Bull Racing,1.0,152.88698630136986,266.0,46.0,46.9486301369863,0.2945205479452055,0.23972602739726026,25.4,40.2,142.0,1.2,18.136898410787307,-6.670021447060469,1
9,16,VER,76.86,17.0,1.0,20.186,36.21,20.464,199.0,191.0,257.0,262.0,MEDIUM,17.0,Red Bull Racing,1.0,153.61937716262975,268.0,43.0,47.69550173010381,0.2975778546712803,0.2491349480968858,25.3,39.5,168.0,0.8,45.24995189653395,-19.005434053703222,1
