,index,Time,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,LapStartDate,dim1,dim2,cluster_id
0,1,0 days 01:05:00.554000,VER,80.402,2.0,1.0,24.186,32.088,24.128,0 days 01:04:04.338000,0 days 01:04:36.426000,0 days 01:05:00.554000,252.0,257.0,276.0,295.0,MEDIUM,2.0,Red Bull Racing,2023-06-04 13:04:40.159,1.2958604059594592,1.5280756921717442,0
1,2,0 days 01:06:21.053000,VER,80.499,3.0,1.0,24.167,32.191,24.141,0 days 01:05:24.721000,0 days 01:05:56.912000,0 days 01:06:21.053000,249.0,256.0,276.0,297.0,MEDIUM,3.0,Red Bull Racing,2023-06-04 13:06:00.561,1.5403724332041686,1.3048911333393203,0
2,3,0 days 01:07:41.399000,VER,80.346,4.0,1.0,24.022,32.159,24.165,0 days 01:06:45.075000,0 days 01:07:17.234000,0 days 01:07:41.399000,255.0,256.0,276.0,300.0,MEDIUM,4.0,Red Bull Racing,2023-06-04 13:07:21.060,1.1564031898199625,1.1150574094602128,0
3,4,0 days 01:09:01.682000,VER,80.283,5.0,1.0,24.034,32.213,24.036,0 days 01:08:05.433000,0 days 01:08:37.646000,0 days 01:09:01.682000,254.0,256.0,277.0,301.0,MEDIUM,5.0,Red Bull Racing,2023-06-04 13:08:41.406,1.034165060699038,0.9267501805665761,0
4,9,0 days 01:15:43.070000,VER,80.334,10.0,1.0,23.937,32.197,24.2,0 days 01:14:46.673000,0 days 01:15:18.870000,0 days 01:15:43.070000,261.0,265.0,277.0,302.0,MEDIUM,10.0,Red Bull Racing,2023-06-04 13:15:22.743,0.6495576686897903,0.8653372619138906,0
5,12,0 days 01:19:44.210000,VER,80.178,13.0,1.0,23.794,32.193,24.191,0 days 01:18:47.826000,0 days 01:19:20.019000,0 days 01:19:44.210000,262.0,266.0,278.0,303.0,MEDIUM,13.0,Red Bull Racing,2023-06-04 13:19:24.039,0.32797317794126474,0.6076903732766907,0
6,19,0 days 01:29:05.714000,VER,79.988,20.0,1.0,23.762,32.13,24.096,0 days 01:28:09.488000,0 days 01:28:41.618000,0 days 01:29:05.714000,269.0,264.0,279.0,304.0,MEDIUM,20.0,Red Bull Racing,2023-06-04 13:28:45.733,-0.13947806668498564,0.5279424812010237,0
7,20,0 days 01:30:25.801000,VER,80.087,21.0,1.0,23.772,32.151,24.164,0 days 01:29:29.486000,0 days 01:30:01.637000,0 days 01:30:25.801000,268.0,266.0,278.0,305.0,MEDIUM,21.0,Red Bull Racing,2023-06-04 13:30:05.721,0.024599300527917773,0.5652535934988827,0
8,23,0 days 01:34:25.714000,VER,79.946,24.0,1.0,23.67,32.188,24.088,0 days 01:33:29.438000,0 days 01:34:01.626000,0 days 01:34:25.714000,263.0,263.0,279.0,306.0,MEDIUM,24.0,Red Bull Racing,2023-06-04 13:34:05.775,0.011699203562823047,0.25270268513104305,0
9,24,0 days 01:35:45.687000,VER,79.973,25.0,1.0,23.738,32.151,24.084,0 days 01:34:49.452000,0 days 01:35:21.603000,0 days 01:35:45.687000,262.0,264.0,279.0,305.0,MEDIUM,25.0,Red Bull Racing,2023-06-04 13:35:25.721,0.054888116545134084,0.35453787901097406,0
