,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
0,1,VER,80.402,2.0,1.0,24.186,32.088,24.128,252.0,257.0,276.0,295.0,MEDIUM,2.0,Red Bull Racing,1.0,206.16828478964402,297.0,97.0,63.92556634304207,0.4692556634304207,0.1650485436893204,22.5,33.3,14.0,1.1,-49.97089427014908,52.78712788926241,2
1,2,VER,80.499,3.0,1.0,24.167,32.191,24.141,249.0,256.0,276.0,297.0,MEDIUM,3.0,Red Bull Racing,1.0,208.34603174603174,300.0,98.0,64.12698412698413,0.4634920634920635,0.16507936507936508,22.4,33.0,52.0,2.0,-39.92347136720496,13.104255449841473,2
2,3,VER,80.346,4.0,1.0,24.022,32.159,24.165,255.0,256.0,276.0,300.0,MEDIUM,4.0,Red Bull Racing,1.0,208.00321543408361,301.0,97.0,64.40836012861736,0.4758842443729904,0.15755627009646303,22.5,32.7,273.0,1.1,45.10940106551739,-192.31460587881946,1
3,4,VER,80.283,5.0,1.0,24.034,32.213,24.036,254.0,256.0,277.0,301.0,MEDIUM,5.0,Red Bull Racing,1.0,207.08552631578948,302.0,97.0,63.73026315789474,0.45723684210526316,0.16447368421052633,22.4,32.6,13.0,1.6,-43.61196199670473,56.32129804518557,2
4,9,VER,80.334,10.0,1.0,23.937,32.197,24.2,261.0,265.0,277.0,302.0,MEDIUM,10.0,Red Bull Racing,1.0,207.5672131147541,303.0,95.0,64.70163934426229,0.4721311475409836,0.16721311475409836,22.2,31.8,16.0,2.2,-35.942748699110815,53.50271499220954,2
5,12,VER,80.178,13.0,1.0,23.794,32.193,24.191,262.0,266.0,278.0,303.0,MEDIUM,13.0,Red Bull Racing,1.0,206.4717607973422,304.0,96.0,63.966777408637874,0.46511627906976744,0.15282392026578073,22.1,31.5,84.0,2.2,-8.772494365093813,-11.761189905199108,0
6,19,VER,79.988,20.0,1.0,23.762,32.13,24.096,269.0,264.0,279.0,304.0,MEDIUM,20.0,Red Bull Racing,1.0,207.77597402597402,306.0,94.0,65.17857142857143,0.4707792207792208,0.2987012987012987,22.0,31.5,95.0,1.6,-2.0849170637635974,-21.834867963030746,0
7,20,VER,80.087,21.0,1.0,23.772,32.151,24.164,268.0,266.0,278.0,305.0,MEDIUM,21.0,Red Bull Racing,1.0,208.5653594771242,306.0,95.0,65.49673202614379,0.477124183006536,0.16013071895424835,22.1,31.4,79.0,1.7,-7.385765692909396,-5.943578741888166,0
8,23,VER,79.946,24.0,1.0,23.67,32.188,24.088,263.0,263.0,279.0,306.0,MEDIUM,24.0,Red Bull Racing,1.0,207.24172185430464,307.0,96.0,65.87417218543047,0.4867549668874172,0.152317880794702,22.0,30.9,87.0,2.2,-5.676410053546248,-15.440777058961444,0
9,24,VER,79.973,25.0,1.0,23.738,32.151,24.084,262.0,264.0,279.0,305.0,MEDIUM,25.0,Red Bull Racing,1.0,208.56493506493507,306.0,95.0,65.33116883116882,0.4935064935064935,0.1525974025974026,22.0,30.9,61.0,2.2,-20.053714894511206,9.68523586336366,0
10,27,VER,78.707,28.0,2.0,23.713,31.496,23.498,260.0,261.0,279.0,302.0,HARD,2.0,Red Bull Racing,1.0,211.77926421404683,303.0,102.0,65.40468227424749,0.4816053511705686,0.15719063545150502,22.1,30.4,91.0,2.0,-12.356298461705988,-22.757885946580725,0
11,28,VER,78.86,29.0,2.0,23.579,31.646,23.635,259.0,255.0,279.0,301.0,HARD,3.0,Red Bull Racing,1.0,211.41639344262296,303.0,101.0,65.32786885245902,0.4819672131147541,0.15081967213114755,22.1,30.5,112.0,1.6,-5.9910912511591485,-42.758889826981225,0
12,29,VER,78.976,30.0,2.0,23.717,31.619,23.64,258.0,260.0,279.0,303.0,HARD,4.0,Red Bull Racing,1.0,210.81848184818483,305.0,100.0,65.26072607260726,0.48184818481848185,0.1551155115511551,22.1,30.5,53.0,3.0,-28.854779827071965,15.868130916889099,2
13,31,VER,78.878,32.0,2.0,23.52,31.691,23.667,260.0,262.0,280.0,304.0,HARD,6.0,Red Bull Racing,1.0,214.2,305.0,102.0,65.29,0.49333333333333335,0.15666666666666668,22.1,30.5,88.0,2.2,-10.230406767579082,-18.642476259177666,0
14,33,VER,78.806,34.0,2.0,23.501,31.599,23.706,261.0,264.0,281.0,305.0,HARD,8.0,Red Bull Racing,1.0,211.81034482758622,306.0,97.0,64.80344827586207,0.4827586206896552,0.15517241379310345,22.0,30.2,60.0,1.8,-19.182156740053824,11.146752939627323,0
15,35,VER,78.789,36.0,2.0,23.49,31.479,23.82,270.0,268.0,282.0,306.0,HARD,10.0,Red Bull Racing,1.0,212.6275167785235,308.0,99.0,65.75838926174497,0.47651006711409394,0.1476510067114094,22.1,30.3,69.0,2.0,-8.45427440401525,5.068109433828035,0
16,36,VER,79.026,37.0,2.0,23.422,31.723,23.881,264.0,266.0,283.0,307.0,HARD,11.0,Red Bull Racing,1.0,209.21428571428572,309.0,96.0,64.70068027210884,0.45918367346938777,0.1598639455782313,22.1,30.4,246.0,1.2,53.266245081828465,-160.44308420301962,1
17,37,VER,79.417,38.0,2.0,23.483,31.855,24.079,263.0,270.0,282.0,309.0,HARD,12.0,Red Bull Racing,1.0,210.5547703180212,311.0,94.0,65.91872791519435,0.47703180212014135,0.15547703180212014,22.1,30.1,340.0,1.2,83.8117526286376,-249.18694712337137,1
18,38,VER,79.322,39.0,2.0,23.636,31.688,23.998,272.0,273.0,282.0,310.0,HARD,13.0,Red Bull Racing,1.0,210.83892617449663,312.0,96.0,64.4261744966443,0.4664429530201342,0.16778523489932887,22.1,30.1,42.0,0.8,-11.463406993126998,34.7499179946802,2
19,39,VER,79.388,40.0,2.0,23.53,31.967,23.891,264.0,266.0,281.0,309.0,HARD,14.0,Red Bull Racing,1.0,210.23778501628664,311.0,94.0,64.25732899022802,0.4755700325732899,0.16938110749185667,22.1,29.9,66.0,2.5,-8.359671588969,8.389351784763587,0
20,40,VER,79.53,41.0,2.0,23.603,32.057,23.87,257.0,267.0,282.0,308.0,HARD,15.0,Red Bull Racing,1.0,207.36633663366337,309.0,94.0,63.17161716171617,0.44554455445544555,0.16501650165016502,22.1,29.9,71.0,1.6,-10.630734915704686,0.9007634101104323,0
21,41,VER,79.092,42.0,2.0,23.452,31.802,23.838,267.0,265.0,282.0,310.0,HARD,16.0,Red Bull Racing,1.0,209.90697674418604,311.0,96.0,66.15946843853821,0.48172757475083056,0.14950166112956811,22.1,29.9,58.0,2.9,-10.043406771528353,16.802737342086704,2
22,42,VER,78.912,43.0,2.0,23.399,31.699,23.814,269.0,272.0,281.0,309.0,HARD,17.0,Red Bull Racing,1.0,210.33892617449663,310.0,98.0,64.07718120805369,0.48322147651006714,0.17114093959731544,22.1,29.9,47.0,2.7,-12.37850081332524,28.68326995352421,2
23,43,VER,78.97,44.0,2.0,23.397,31.775,23.798,268.0,269.0,281.0,308.0,HARD,18.0,Red Bull Racing,1.0,212.05067567567568,309.0,95.0,66.14864864864865,0.5135135135135135,0.14527027027027026,22.1,29.9,62.0,2.0,-8.883772736139449,12.845622089933745,0
24,44,VER,79.104,45.0,2.0,23.437,31.771,23.896,269.0,268.0,281.0,307.0,HARD,19.0,Red Bull Racing,1.0,207.8095238095238,308.0,97.0,65.29591836734694,0.47619047619047616,0.15306122448979592,22.1,29.8,55.0,1.7,-13.180453109686741,19.123507067326152,2
25,46,VER,79.109,47.0,2.0,23.468,31.738,23.903,268.0,271.0,282.0,308.0,HARD,21.0,Red Bull Racing,1.0,211.3708609271523,309.0,96.0,64.71854304635761,0.5033112582781457,0.16556291390728478,22.0,29.1,49.0,1.2,-12.823768207166168,26.7647590895216,2
26,48,VER,79.093,49.0,2.0,23.434,31.793,23.866,269.0,271.0,283.0,310.0,HARD,23.0,Red Bull Racing,1.0,210.5017182130584,311.0,95.0,63.99312714776632,0.4742268041237113,0.16151202749140894,22.1,29.7,44.0,1.8,-11.414594989211839,33.72157505921585,2
27,53,VER,77.473,54.0,3.0,23.447,30.874,23.152,263.0,268.0,282.0,305.0,SOFT,4.0,Red Bull Racing,1.0,213.4006968641115,306.0,104.0,65.21254355400697,0.47735191637630664,0.1602787456445993,21.9,28.4,44.0,3.0,-26.325980135779737,28.959623367034787,2
28,54,VER,77.766,55.0,3.0,23.357,31.159,23.25,261.0,262.0,284.0,307.0,SOFT,5.0,Red Bull Racing,1.0,211.9158249158249,308.0,101.0,64.57575757575758,0.4713804713804714,0.16161616161616163,21.9,28.4,49.0,2.5,-25.749856323732242,22.914610077740747,2
29,55,VER,77.183,56.0,3.0,23.139,30.814,23.23,267.0,281.0,282.0,308.0,SOFT,6.0,Red Bull Racing,1.0,217.14186851211073,309.0,101.0,65.80622837370242,0.48788927335640137,0.1695501730103806,21.9,28.4,80.0,2.2,5.458446083355172,-4.562717512544612,0
30,56,VER,77.306,57.0,3.0,23.111,31.002,23.193,269.0,272.0,283.0,305.0,SOFT,7.0,Red Bull Racing,1.0,215.56993006993008,306.0,101.0,68.2972027972028,0.5,0.13636363636363635,21.9,28.2,41.0,1.7,-21.50143950844729,34.12704808342293,2
31,57,VER,77.502,58.0,3.0,23.174,31.002,23.326,262.0,269.0,282.0,304.0,SOFT,8.0,Red Bull Racing,1.0,215.03472222222223,306.0,101.0,66.29861111111111,0.4791666666666667,0.15625,21.9,28.2,346.0,2.2,80.03480267503555,-257.22503944798,1
32,58,VER,77.761,59.0,3.0,23.339,31.132,23.29,261.0,270.0,282.0,305.0,SOFT,9.0,Red Bull Racing,1.0,213.57239057239056,307.0,101.0,66.63973063973064,0.494949494949495,0.1447811447811448,21.8,28.2,27.0,1.2,-26.982983080036004,46.189308508543895,2
33,59,VER,78.205,60.0,3.0,23.504,31.235,23.466,259.0,259.0,284.0,306.0,SOFT,10.0,Red Bull Racing,1.0,211.64333333333335,308.0,100.0,67.11666666666666,0.5033333333333333,0.15666666666666668,21.8,28.2,36.0,1.7,-30.168501998254065,36.60281973312459,2
34,60,VER,76.33,61.0,3.0,22.706,30.589,23.035,283.0,285.0,286.0,307.0,SOFT,11.0,Red Bull Racing,1.0,217.53169014084506,308.0,101.0,71.25352112676056,0.5598591549295775,0.14788732394366197,21.6,27.7,49.0,2.5,-2.6805752433326573,36.752425350608625,2
35,62,VER,77.697,63.0,3.0,23.214,31.199,23.284,270.0,267.0,286.0,310.0,SOFT,13.0,Red Bull Racing,1.0,214.56949152542373,312.0,98.0,67.43728813559322,0.5084745762711864,0.13898305084745763,21.5,27.3,72.0,2.5,1.7249382125756791,4.482730485761313,0
36,64,VER,77.611,65.0,3.0,23.162,31.116,23.333,273.0,273.0,284.0,307.0,SOFT,15.0,Red Bull Racing,1.0,215.25,308.0,98.0,69.07432432432432,0.5135135135135135,0.22972972972972974,21.5,27.1,55.0,2.2,-9.403503416873715,21.777091225046778,2
37,67,HAM,81.678,2.0,1.0,24.411,32.621,24.646,263.0,268.0,273.0,305.0,SOFT,5.0,Mercedes,4.0,202.8126984126984,306.0,94.0,63.768253968253966,0.4158730158730159,0.20634920634920634,22.5,33.3,14.0,1.1,-33.7903260494287,57.46678533039051,2
38,68,HAM,80.839,3.0,1.0,24.05,32.499,24.29,259.0,264.0,275.0,303.0,SOFT,6.0,Mercedes,4.0,206.84493670886076,305.0,94.0,66.51898734177215,0.44936708860759494,0.17088607594936708,22.4,33.0,52.0,2.0,-25.693354605506453,17.56231433750269,2
39,69,HAM,80.962,4.0,1.0,24.207,32.538,24.217,257.0,258.0,275.0,304.0,SOFT,7.0,Mercedes,4.0,205.47452229299364,305.0,93.0,64.68152866242038,0.43312101910828027,0.1751592356687898,22.5,32.7,273.0,1.1,52.151626062807495,-189.79560734146327,1
