,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,tsne_clusters_id
0,1,VER,80.402,2.0,1.0,24.186,32.088,24.128,MEDIUM,2.0,Red Bull Racing,1.0,206.16828478964402,297.0,97.0,63.92556634304207,0.4692556634304207,0.1650485436893204,22.5,33.3,14.0,1.1,-23.460571,-35.69187,0
1,2,VER,80.499,3.0,1.0,24.167,32.191,24.141,MEDIUM,3.0,Red Bull Racing,1.0,208.34603174603174,300.0,98.0,64.12698412698413,0.4634920634920635,0.16507936507936508,22.4,33.0,52.0,2.0,-22.610537,-33.466404,0
2,3,VER,80.346,4.0,1.0,24.022,32.159,24.165,MEDIUM,4.0,Red Bull Racing,1.0,208.00321543408361,301.0,97.0,64.40836012861736,0.4758842443729904,0.15755627009646303,22.5,32.7,273.0,1.1,-63.244118,0.5278529,1
3,4,VER,80.283,5.0,1.0,24.034,32.213,24.036,MEDIUM,5.0,Red Bull Racing,1.0,207.08552631578948,302.0,97.0,63.73026315789474,0.45723684210526316,0.16447368421052633,22.4,32.6,13.0,1.6,-23.183102,-34.38622,0
4,5,VER,80.402,6.0,1.0,24.009,32.178,24.215,MEDIUM,6.0,Red Bull Racing,1.0,206.96805111821087,302.0,96.0,63.277955271565496,0.4536741214057508,0.1501597444089457,22.4,33.0,0.0,1.6,-22.719995,-34.732346,0
5,6,VER,80.476,7.0,1.0,24.092,32.224,24.16,MEDIUM,7.0,Red Bull Racing,1.0,204.2147435897436,303.0,96.0,62.55769230769231,0.44551282051282054,0.16346153846153846,22.4,32.5,49.0,1.6,-21.929722,-35.350918,0
6,7,VER,79.894,8.0,1.0,23.827,31.98,24.087,MEDIUM,8.0,Red Bull Racing,1.0,209.69360269360268,303.0,96.0,64.9023569023569,0.47474747474747475,0.16161616161616163,22.3,32.2,55.0,1.5,-24.122114,-33.631218,0
7,8,VER,80.282,9.0,1.0,23.888,32.18,24.214,MEDIUM,9.0,Red Bull Racing,1.0,207.47540983606558,303.0,97.0,65.20655737704918,0.4721311475409836,0.17704918032786884,22.2,31.6,267.0,1.8,-61.742245,3.2104094,1
8,9,VER,80.334,10.0,1.0,23.937,32.197,24.2,MEDIUM,10.0,Red Bull Racing,1.0,207.5672131147541,303.0,95.0,64.70163934426229,0.4721311475409836,0.16721311475409836,22.2,31.8,16.0,2.2,1.139892,-7.585776,0
9,10,VER,80.52,11.0,1.0,24.003,32.32,24.197,MEDIUM,11.0,Red Bull Racing,1.0,205.81962025316454,303.0,94.0,64.48101265822785,0.4778481012658228,0.16455696202531644,22.0,31.8,82.0,2.2,1.4743637,-9.234314,0
