,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
0,1,VER,78.075,2.0,1.0,21.686,25.051,31.338,MEDIUM,2.0,Red Bull Racing,1.0,199.19791666666666,303.0,58.0,65.375,0.5104166666666666,0.1840277777777778,18.3,32.5,297.0,1.7,1.5791443954293436,-2.888510973364654,0
1,2,VER,77.767,3.0,1.0,21.626,24.909,31.232,MEDIUM,3.0,Red Bull Racing,1.0,200.52649006622516,302.0,57.0,65.70860927152317,0.5198675496688742,0.17880794701986755,18.5,32.5,304.0,2.0,0.7059975297621108,-2.4588635447904665,0
2,3,VER,77.203,4.0,1.0,21.438,24.716,31.049,MEDIUM,4.0,Red Bull Racing,1.0,200.12758620689655,302.0,58.0,68.81724137931035,0.5724137931034483,0.16896551724137931,18.4,31.4,317.0,1.7,-0.6015570717948068,-2.5022484709709123,0
3,4,VER,77.371,5.0,1.0,21.493,24.718,31.16,MEDIUM,5.0,Red Bull Racing,1.0,198.2896551724138,304.0,59.0,66.32068965517242,0.5448275862068965,0.18275862068965518,18.5,31.1,347.0,2.0,-0.07340561622081329,-1.8015027329247222,0
4,5,VER,77.607,6.0,1.0,21.609,24.763,31.235,MEDIUM,6.0,Red Bull Racing,1.0,199.66326530612244,304.0,58.0,66.64965986394557,0.564625850340136,0.17346938775510204,18.5,30.8,334.0,2.0,-0.1687476085143497,-1.8025280789527347,0
5,8,VER,77.495,9.0,1.0,21.715,24.787,30.993,MEDIUM,9.0,Red Bull Racing,1.0,200.9551724137931,304.0,60.0,67.23103448275862,0.5689655172413793,0.19655172413793104,18.6,31.1,327.0,1.8,-0.1934739101768675,-1.7287400016189483,0
6,9,VER,77.359,10.0,1.0,21.577,24.746,31.036,MEDIUM,10.0,Red Bull Racing,1.0,201.43333333333334,303.0,58.0,68.84666666666666,0.5833333333333334,0.18333333333333332,18.7,31.9,296.0,1.3,-0.39705036011662553,-2.430096077081697,0
7,10,VER,77.268,11.0,1.0,21.555,24.68,31.033,MEDIUM,11.0,Red Bull Racing,1.0,201.61428571428573,304.0,57.0,68.35,0.5821428571428572,0.18571428571428572,18.7,30.9,337.0,1.5,-0.9501738786862113,-1.3971180272122519,0
8,16,VER,77.145,17.0,2.0,21.405,24.615,31.125,HARD,5.0,Red Bull Racing,1.0,200.34602076124568,303.0,60.0,66.73702422145328,0.5397923875432526,0.18339100346020762,19.4,33.8,310.0,1.7,-0.4459161448567241,-2.904274644460352,0
9,17,VER,76.682,18.0,2.0,21.274,24.503,30.905,HARD,6.0,Red Bull Racing,1.0,201.9554794520548,302.0,60.0,67.33904109589041,0.5547945205479452,0.1917808219178082,19.4,33.0,330.0,1.5,-1.4285762746274242,-2.2883015462584466,0
10,18,VER,76.63,19.0,2.0,21.238,24.441,30.951,HARD,7.0,Red Bull Racing,1.0,202.5387323943662,301.0,58.0,67.25,0.5422535211267606,0.1795774647887324,19.3,32.3,322.0,1.3,-1.73363981805603,-2.0624666114997163,0
11,19,VER,76.607,20.0,2.0,21.224,24.519,30.864,HARD,8.0,Red Bull Racing,1.0,200.62199312714776,303.0,59.0,66.29896907216495,0.5395189003436426,0.1958762886597938,19.2,31.3,319.0,1.8,-1.2856972231546981,-1.3230040583253422,0
12,20,VER,76.652,21.0,2.0,21.244,24.464,30.944,HARD,9.0,Red Bull Racing,1.0,202.8048780487805,303.0,58.0,69.29268292682927,0.5818815331010453,0.17770034843205576,18.9,31.3,319.0,2.7,-2.0230138689217934,-1.4706037984758014,0
