,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
0,1,VER,78.075,2.0,1.0,21.686,25.051,31.338,243.0,270.0,275.0,301.0,MEDIUM,2.0,Red Bull Racing,1.0,199.19791666666666,303.0,58.0,65.375,0.5104166666666666,0.1840277777777778,18.3,32.5,297.0,1.7,-32.69150587983846,21.064330396645087,2
1,2,VER,77.767,3.0,1.0,21.626,24.909,31.232,246.0,271.0,276.0,300.0,MEDIUM,3.0,Red Bull Racing,1.0,200.52649006622516,302.0,57.0,65.70860927152317,0.5198675496688742,0.17880794701986755,18.5,32.5,304.0,2.0,-30.472842739395745,14.10321746662913,2
2,3,VER,77.203,4.0,1.0,21.438,24.716,31.049,250.0,269.0,276.0,301.0,MEDIUM,4.0,Red Bull Racing,1.0,200.12758620689655,302.0,58.0,68.81724137931035,0.5724137931034483,0.16896551724137931,18.4,31.4,317.0,1.7,-26.992817597403896,1.401244746575839,2
3,5,VER,77.607,6.0,1.0,21.609,24.763,31.235,239.0,272.0,275.0,301.0,MEDIUM,6.0,Red Bull Racing,1.0,199.66326530612244,304.0,58.0,66.64965986394557,0.564625850340136,0.17346938775510204,18.5,30.8,334.0,2.0,-24.030615881267956,-17.16510208946694,0
4,8,VER,77.495,9.0,1.0,21.715,24.787,30.993,238.0,269.0,274.0,303.0,MEDIUM,9.0,Red Bull Racing,1.0,200.9551724137931,304.0,60.0,67.23103448275862,0.5689655172413793,0.19655172413793104,18.6,31.1,327.0,1.8,-25.39699805329854,-9.61433028299632,2
5,9,VER,77.359,10.0,1.0,21.577,24.746,31.036,239.0,269.0,276.0,302.0,MEDIUM,10.0,Red Bull Racing,1.0,201.43333333333334,303.0,58.0,68.84666666666666,0.5833333333333334,0.18333333333333332,18.7,31.9,296.0,1.3,-31.853190996712346,21.218302995649196,2
6,10,VER,77.268,11.0,1.0,21.555,24.68,31.033,240.0,271.0,276.0,302.0,MEDIUM,11.0,Red Bull Racing,1.0,201.61428571428573,304.0,57.0,68.35,0.5821428571428572,0.18571428571428572,18.7,30.9,337.0,1.5,-19.811304234059,-20.366535496713926,0
7,16,VER,77.145,17.0,2.0,21.405,24.615,31.125,245.0,269.0,277.0,302.0,HARD,5.0,Red Bull Racing,1.0,200.34602076124568,303.0,60.0,66.73702422145328,0.5397923875432526,0.18339100346020762,19.4,33.8,310.0,1.7,-27.34874123628697,9.07514285648754,2
8,17,VER,76.682,18.0,2.0,21.274,24.503,30.905,246.0,271.0,277.0,301.0,HARD,6.0,Red Bull Racing,1.0,201.9554794520548,302.0,60.0,67.33904109589041,0.5547945205479452,0.1917808219178082,19.4,33.0,330.0,1.5,-23.115317952156236,-12.394200632612904,2
9,18,VER,76.63,19.0,2.0,21.238,24.441,30.951,244.0,271.0,277.0,301.0,HARD,7.0,Red Bull Racing,1.0,202.5387323943662,301.0,58.0,67.25,0.5422535211267606,0.1795774647887324,19.3,32.3,322.0,1.3,-25.363869321637495,-4.21680198821753,2
