,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,dim1,dim2,tsne_clusters_id
0,1,VER,78.075,2.0,1.0,21.686,25.051,31.338,243.0,270.0,275.0,301.0,MEDIUM,2.0,Red Bull Racing,1.0,13.78857,-21.95093,1
1,2,VER,77.767,3.0,1.0,21.626,24.909,31.232,246.0,271.0,276.0,300.0,MEDIUM,3.0,Red Bull Racing,1.0,14.188734,-19.902042,1
2,3,VER,77.203,4.0,1.0,21.438,24.716,31.049,250.0,269.0,276.0,301.0,MEDIUM,4.0,Red Bull Racing,1.0,25.237938,-18.761395,1
3,5,VER,77.607,6.0,1.0,21.609,24.763,31.235,239.0,272.0,275.0,301.0,MEDIUM,6.0,Red Bull Racing,1.0,18.256907,-21.963327,1
4,8,VER,77.495,9.0,1.0,21.715,24.787,30.993,238.0,269.0,274.0,303.0,MEDIUM,9.0,Red Bull Racing,1.0,18.898932,-22.617422,1
5,9,VER,77.359,10.0,1.0,21.577,24.746,31.036,239.0,269.0,276.0,302.0,MEDIUM,10.0,Red Bull Racing,1.0,19.108238,-22.31334,1
6,10,VER,77.268,11.0,1.0,21.555,24.68,31.033,240.0,271.0,276.0,302.0,MEDIUM,11.0,Red Bull Racing,1.0,19.020138,-21.929192,1
7,16,VER,77.145,17.0,2.0,21.405,24.615,31.125,245.0,269.0,277.0,302.0,HARD,5.0,Red Bull Racing,1.0,24.657251,-20.016855,1
8,17,VER,76.682,18.0,2.0,21.274,24.503,30.905,246.0,271.0,277.0,301.0,HARD,6.0,Red Bull Racing,1.0,28.314089,-17.774582,1
9,18,VER,76.63,19.0,2.0,21.238,24.441,30.951,244.0,271.0,277.0,301.0,HARD,7.0,Red Bull Racing,1.0,28.572424,-18.26313,1
10,19,VER,76.607,20.0,2.0,21.224,24.519,30.864,248.0,271.0,277.0,301.0,HARD,8.0,Red Bull Racing,1.0,28.418962,-16.89668,1
11,20,VER,76.652,21.0,2.0,21.244,24.464,30.944,252.0,271.0,276.0,302.0,HARD,9.0,Red Bull Racing,1.0,28.314743,-14.583064,1
12,21,VER,76.697,22.0,2.0,21.246,24.538,30.913,249.0,269.0,276.0,302.0,HARD,10.0,Red Bull Racing,1.0,27.715834,-16.618435,1
13,22,VER,76.946,23.0,2.0,21.256,24.432,31.258,251.0,271.0,275.0,302.0,HARD,11.0,Red Bull Racing,1.0,29.552406,-14.440566,1
14,23,VER,76.641,24.0,2.0,21.272,24.504,30.865,252.0,271.0,276.0,302.0,HARD,12.0,Red Bull Racing,1.0,28.04099,-14.293113,1
15,24,VER,76.643,25.0,2.0,21.254,24.457,30.932,251.0,269.0,277.0,298.0,HARD,13.0,Red Bull Racing,1.0,28.111343,-15.736615,1
16,25,VER,76.785,26.0,2.0,21.341,24.509,30.935,250.0,269.0,278.0,302.0,HARD,14.0,Red Bull Racing,1.0,27.087402,-16.345013,1
