,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
0,3,VER,69.691,4.0,2.0,17.618,30.97,21.103,MEDIUM,4.0,Red Bull Racing,1.0,222.164,300.0,65.0,71.64,0.636,0.148,22.6,33.3,0.0,0.5,-1.5360725433102376,-0.16471280988865986,0
1,4,VER,70.026,5.0,2.0,17.716,31.158,21.152,MEDIUM,5.0,Red Bull Racing,1.0,221.13846153846154,294.0,64.0,70.50384615384615,0.6230769230769231,0.18076923076923077,22.8,34.3,216.0,1.1,-0.6195560502504563,-0.6736401266133359,2
2,5,VER,70.156,6.0,2.0,17.681,31.308,21.167,MEDIUM,6.0,Red Bull Racing,1.0,220.70498084291188,294.0,65.0,69.816091954023,0.6130268199233716,0.18773946360153257,22.9,33.8,80.0,1.0,-0.24863229435367712,-0.4582094643518011,2
3,6,VER,70.168,7.0,2.0,17.733,31.265,21.17,MEDIUM,7.0,Red Bull Racing,1.0,222.72413793103448,296.0,65.0,70.00383141762453,0.6206896551724138,0.19540229885057472,23.0,33.6,103.0,0.8,-0.2514388954566425,-0.21784314811307157,2
4,7,VER,69.967,8.0,2.0,17.679,31.137,21.151,MEDIUM,8.0,Red Bull Racing,1.0,219.9358490566038,296.0,67.0,69.15471698113207,0.6075471698113207,0.17358490566037735,23.0,33.4,0.0,1.1,-0.4481643918602457,-0.4458522005322142,2
5,8,VER,69.989,9.0,2.0,17.59,31.216,21.183,MEDIUM,9.0,Red Bull Racing,1.0,222.39312977099237,298.0,65.0,70.79007633587786,0.6145038167938931,0.16793893129770993,23.2,33.6,53.0,1.3,-0.5542256915731939,0.11889579275493858,0
6,9,VER,69.856,10.0,2.0,17.605,31.174,21.077,MEDIUM,10.0,Red Bull Racing,1.0,219.94594594594594,298.0,66.0,70.94980694980696,0.6177606177606177,0.16988416988416988,23.2,33.6,71.0,1.2,-0.43476862206742284,-0.11600226747418092,0
7,10,VER,70.051,11.0,2.0,17.643,31.272,21.136,MEDIUM,11.0,Red Bull Racing,1.0,217.12252964426878,297.0,65.0,68.48221343873517,0.5968379446640316,0.1857707509881423,23.2,34.1,0.0,1.3,0.7539164875272468,-0.22100049099322955,2
8,11,VER,69.833,12.0,2.0,17.591,31.121,21.121,MEDIUM,12.0,Red Bull Racing,1.0,220.87550200803213,300.0,66.0,69.55020080321285,0.606425702811245,0.18473895582329317,23.2,34.1,81.0,0.8,0.15351191145834,0.3758810283694378,2
9,16,VER,69.924,17.0,2.0,17.653,31.205,21.066,MEDIUM,17.0,Red Bull Racing,1.0,219.5076923076923,300.0,64.0,69.24615384615385,0.5769230769230769,0.17692307692307693,22.9,34.0,285.0,0.4,0.053064101146398514,-0.4247396204537082,2
10,17,VER,70.002,18.0,2.0,17.681,31.181,21.14,MEDIUM,18.0,Red Bull Racing,1.0,221.1137254901961,298.0,65.0,71.05882352941177,0.6196078431372549,0.17647058823529413,22.9,32.9,330.0,0.8,-0.9718605340257537,-0.8795010757970902,2
11,18,VER,69.942,19.0,2.0,17.622,31.213,21.107,MEDIUM,19.0,Red Bull Racing,1.0,221.19291338582678,300.0,65.0,67.66929133858268,0.5905511811023622,0.19291338582677164,22.8,32.7,95.0,0.8,-0.3821433159872776,-0.16236352179271443,2
12,19,VER,70.16,20.0,2.0,17.672,31.316,21.172,MEDIUM,20.0,Red Bull Racing,1.0,219.6818181818182,299.0,62.0,69.2159090909091,0.5909090909090909,0.17424242424242425,22.8,32.4,73.0,0.8,-0.29315170101146,-0.7726908581614181,2
13,20,VER,70.142,21.0,2.0,17.729,31.264,21.149,MEDIUM,21.0,Red Bull Racing,1.0,219.24436090225564,298.0,64.0,68.70676691729324,0.5902255639097744,0.19172932330827067,22.7,32.8,145.0,1.2,-0.4125683888949063,-1.0579286073927223,2
14,21,VER,70.337,22.0,2.0,17.662,31.399,21.276,MEDIUM,22.0,Red Bull Racing,1.0,220.21481481481482,299.0,65.0,66.73703703703704,0.5555555555555556,0.1925925925925926,22.8,32.8,325.0,1.0,-0.0818851415129671,-0.7895104739495798,2
15,22,VER,70.396,23.0,2.0,17.659,31.502,21.235,MEDIUM,23.0,Red Bull Racing,1.0,218.82783882783883,299.0,63.0,67.24175824175825,0.5677655677655677,0.17582417582417584,22.8,32.5,93.0,0.8,0.2130167936035464,-0.9024518675045842,2
16,25,VER,68.929,26.0,3.0,17.321,30.689,20.919,HARD,2.0,Red Bull Racing,2.0,224.3793103448276,323.0,60.0,69.56704980842912,0.5977011494252874,0.21839080459770116,22.7,32.5,0.0,0.8,-0.6218119694867544,3.674211255492347,0
17,26,VER,69.245,27.0,3.0,17.544,30.851,20.85,HARD,3.0,Red Bull Racing,2.0,222.66153846153847,297.0,66.0,69.67692307692307,0.6038461538461538,0.19615384615384615,22.7,32.5,64.0,0.5,-1.6019869172380041,0.5809857621266616,0
18,27,VER,69.251,28.0,3.0,17.468,30.873,20.91,HARD,4.0,Red Bull Racing,2.0,224.8740458015267,299.0,65.0,70.30534351145039,0.6106870229007634,0.18702290076335878,22.6,32.2,47.0,0.8,-2.2010331401752,0.8558051367176441,0
19,28,VER,69.289,29.0,3.0,17.466,30.9,20.923,HARD,5.0,Red Bull Racing,2.0,223.3452380952381,300.0,65.0,69.82936507936508,0.6031746031746031,0.18253968253968253,22.6,31.5,29.0,1.2,-2.323214597033353,0.6543452720446298,0
20,29,VER,69.373,30.0,3.0,17.468,31.009,20.896,HARD,6.0,Red Bull Racing,2.0,224.36220472440945,301.0,66.0,69.12204724409449,0.5787401574803149,0.17716535433070865,22.6,31.9,112.0,1.2,-2.3422953403165363,0.6647604081429604,0
21,30,VER,69.576,31.0,3.0,17.466,31.191,20.919,HARD,7.0,Red Bull Racing,2.0,221.3658536585366,302.0,64.0,69.7560975609756,0.5772357723577236,0.17073170731707318,22.7,32.2,113.0,1.6,-1.7193992787379784,0.419257177814697,0
22,31,VER,69.603,32.0,3.0,17.456,31.116,21.031,HARD,8.0,Red Bull Racing,2.0,221.13740458015266,301.0,63.0,69.07633587786259,0.5763358778625954,0.19083969465648856,22.7,32.2,94.0,1.1,-1.0796019044618868,0.6565000837585413,0
23,32,VER,69.631,33.0,3.0,17.511,31.015,21.105,HARD,9.0,Red Bull Racing,2.0,223.96934865900383,305.0,62.0,70.13793103448276,0.5977011494252874,0.1839080459770115,22.7,32.1,129.0,1.2,-1.5045601016047359,0.8093866739601419,0
24,33,VER,69.779,34.0,3.0,17.213,31.4,21.166,HARD,10.0,Red Bull Racing,2.0,221.78787878787878,321.0,60.0,68.14015151515152,0.5795454545454546,0.20454545454545456,22.6,31.9,94.0,1.2,-0.132202938237613,2.7765750526185013,0
25,34,VER,69.265,35.0,3.0,17.242,31.014,21.009,HARD,11.0,Red Bull Racing,1.0,221.68897637795277,318.0,56.0,67.90551181102362,0.5748031496062992,0.2047244094488189,22.5,31.8,80.0,1.0,-0.40617515794829007,2.7143105802118184,0
26,35,VER,69.367,36.0,3.0,17.512,30.825,21.03,HARD,12.0,Red Bull Racing,1.0,223.308,314.0,64.0,69.664,0.592,0.2,22.5,31.7,167.0,1.7,-1.9158736365198035,1.2359684866074125,0
27,36,VER,69.707,37.0,3.0,17.511,31.122,21.074,HARD,13.0,Red Bull Racing,1.0,219.52255639097746,305.0,65.0,68.23308270676692,0.5902255639097744,0.18796992481203006,22.5,31.5,72.0,1.3,-1.294375063378603,0.19120010460581044,0
28,37,VER,69.568,38.0,3.0,17.544,31.003,21.021,HARD,14.0,Red Bull Racing,1.0,222.19767441860466,303.0,65.0,68.43410852713178,0.5813953488372093,0.18604651162790697,22.5,31.4,9.0,1.1,-1.7453021734032144,0.23289492634849943,0
29,38,VER,69.386,39.0,3.0,17.29,31.171,20.925,HARD,15.0,Red Bull Racing,1.0,223.44866920152091,321.0,60.0,68.95437262357414,0.5855513307984791,0.16730038022813687,22.5,31.4,56.0,1.2,-1.461558184565485,2.1772729287154258,0
30,39,VER,69.431,40.0,3.0,17.564,30.998,20.869,HARD,16.0,Red Bull Racing,1.0,221.11673151750972,301.0,65.0,70.89494163424125,0.6108949416342413,0.19066147859922178,22.5,31.3,176.0,1.5,-2.3881288056848504,-0.3148553866480115,0
31,40,VER,69.527,41.0,3.0,17.521,31.127,20.879,HARD,17.0,Red Bull Racing,1.0,224.42911877394636,301.0,65.0,69.83141762452107,0.6015325670498084,0.18007662835249041,22.5,31.4,203.0,1.0,-2.4745240719910035,-0.016115499214607924,0
32,41,VER,69.511,42.0,3.0,17.501,31.024,20.986,HARD,18.0,Red Bull Racing,1.0,219.792,302.0,64.0,70.496,0.58,0.148,22.5,31.2,262.0,1.5,-2.5407288269115376,-0.7078288877855811,0
33,42,VER,69.592,43.0,3.0,17.513,31.144,20.935,HARD,19.0,Red Bull Racing,1.0,220.16538461538462,302.0,66.0,69.33461538461539,0.5923076923076923,0.15,22.3,31.0,1.0,0.6,-2.2451951524688494,-0.6210154501334146,0
34,43,VER,69.678,44.0,3.0,17.457,31.244,20.977,HARD,20.0,Red Bull Racing,1.0,221.25291828793775,303.0,63.0,68.66536964980544,0.5953307392996109,0.1828793774319066,22.2,31.0,321.0,1.2,-2.2451237127484687,-0.327026495723073,0
35,44,VER,69.651,45.0,3.0,17.522,31.196,20.933,HARD,21.0,Red Bull Racing,1.0,220.16141732283464,302.0,63.0,69.20472440944881,0.5866141732283464,0.16535433070866143,22.3,30.7,57.0,0.8,-2.024653493615143,-0.5728276233618957,0
36,45,VER,69.563,46.0,3.0,17.462,31.124,20.977,HARD,22.0,Red Bull Racing,1.0,223.73076923076923,303.0,62.0,68.85,0.5807692307692308,0.1576923076923077,22.3,30.7,235.0,0.6,-2.5111723369646524,-0.20752945136017134,0
37,46,VER,69.451,47.0,3.0,17.473,31.08,20.898,HARD,23.0,Red Bull Racing,1.0,220.32669322709162,304.0,64.0,68.62151394422311,0.5896414342629482,0.19123505976095617,22.4,30.6,353.0,1.2,-2.1865196370324815,-0.23455636673745112,0
38,47,VER,69.419,48.0,3.0,17.426,31.134,20.859,HARD,24.0,Red Bull Racing,1.0,225.81782945736435,303.0,65.0,71.24418604651163,0.6007751937984496,0.17054263565891473,22.3,31.5,42.0,0.6,-2.8124459064482847,0.20524250286670248,0
