,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,avg_speed,max_speed,min_speed,avg_throttle,full_throttle,full_brake,air_temp,track_temp,wind_dir,wind_speed,dim1,dim2,cluster_id
0,3,VER,69.691,4.0,2.0,17.618,30.97,21.103,293.0,230.0,270.0,297.0,MEDIUM,4.0,Red Bull Racing,1.0,222.164,300.0,65.0,71.64,0.636,0.148,22.6,33.3,0.0,0.5,-110.58968601494543,10.369267946438264,2
1,4,VER,70.026,5.0,2.0,17.716,31.158,21.152,285.0,230.0,270.0,289.0,MEDIUM,5.0,Red Bull Racing,1.0,221.13846153846154,294.0,64.0,70.50384615384615,0.6230769230769231,0.18076923076923077,22.8,34.3,216.0,1.1,102.56431765325748,-39.76268821582968,1
2,5,VER,70.156,6.0,2.0,17.681,31.308,21.167,286.0,231.0,270.0,288.0,MEDIUM,6.0,Red Bull Racing,1.0,220.70498084291188,294.0,65.0,69.816091954023,0.6130268199233716,0.18773946360153257,22.9,33.8,80.0,1.0,-32.06719066826672,-15.93976366136559,0
3,6,VER,70.168,7.0,2.0,17.733,31.265,21.17,288.0,228.0,271.0,291.0,MEDIUM,7.0,Red Bull Racing,1.0,222.72413793103448,296.0,65.0,70.00383141762453,0.6206896551724138,0.19540229885057472,23.0,33.6,103.0,0.8,-7.924362513169192,-16.275933225177415,0
4,7,VER,69.967,8.0,2.0,17.679,31.137,21.151,290.0,229.0,271.0,292.0,MEDIUM,8.0,Red Bull Racing,1.0,219.9358490566038,296.0,67.0,69.15471698113207,0.6075471698113207,0.17358490566037735,23.0,33.4,0.0,1.1,-111.04852489941742,5.511538946466768,2
5,8,VER,69.989,9.0,2.0,17.59,31.216,21.183,293.0,230.0,271.0,291.0,MEDIUM,9.0,Red Bull Racing,1.0,222.39312977099237,298.0,65.0,70.79007633587786,0.6145038167938931,0.16793893129770993,23.2,33.6,53.0,1.3,-57.8306381770762,-1.5394950022601142,2
6,9,VER,69.856,10.0,2.0,17.605,31.174,21.077,291.0,228.0,271.0,290.0,MEDIUM,10.0,Red Bull Racing,1.0,219.94594594594594,298.0,66.0,70.94980694980696,0.6177606177606177,0.16988416988416988,23.2,33.6,71.0,1.2,-39.8561826200944,-5.686814926774628,0
7,10,VER,70.051,11.0,2.0,17.643,31.272,21.136,293.0,228.0,270.0,293.0,MEDIUM,11.0,Red Bull Racing,1.0,217.12252964426878,297.0,65.0,68.48221343873517,0.5968379446640316,0.1857707509881423,23.2,34.1,0.0,1.3,-110.22662822565978,9.61759419924243,2
8,11,VER,69.833,12.0,2.0,17.591,31.121,21.121,296.0,230.0,270.0,294.0,MEDIUM,12.0,Red Bull Racing,1.0,220.87550200803213,300.0,66.0,69.55020080321285,0.606425702811245,0.18473895582329317,23.2,34.1,81.0,0.8,-28.69346664954727,-1.880286132247743,0
9,16,VER,69.924,17.0,2.0,17.653,31.205,21.066,299.0,230.0,270.0,290.0,MEDIUM,17.0,Red Bull Racing,1.0,219.5076923076923,300.0,64.0,69.24615384615385,0.5769230769230769,0.17692307692307693,22.9,34.0,285.0,0.4,174.8143106563709,-23.596815282843203,1
10,17,VER,70.002,18.0,2.0,17.681,31.181,21.14,293.0,228.0,271.0,292.0,MEDIUM,18.0,Red Bull Racing,1.0,221.1137254901961,298.0,65.0,71.05882352941177,0.6196078431372549,0.17647058823529413,22.9,32.9,330.0,0.8,220.13999380380852,-27.363541978843784,1
11,18,VER,69.942,19.0,2.0,17.622,31.213,21.107,295.0,228.0,270.0,292.0,MEDIUM,19.0,Red Bull Racing,1.0,221.19291338582678,300.0,65.0,67.66929133858268,0.5905511811023622,0.19291338582677164,22.8,32.7,95.0,0.8,-14.718433868973946,-7.442049602860013,0
12,19,VER,70.16,20.0,2.0,17.672,31.316,21.172,293.0,229.0,270.0,293.0,MEDIUM,20.0,Red Bull Racing,1.0,219.6818181818182,299.0,62.0,69.2159090909091,0.5909090909090909,0.17424242424242425,22.8,32.4,73.0,0.8,-37.47223402131762,-2.6679246963566805,0
13,22,VER,70.396,23.0,2.0,17.659,31.502,21.235,295.0,227.0,270.0,296.0,MEDIUM,23.0,Red Bull Racing,1.0,218.82783882783883,299.0,63.0,67.24175824175825,0.5677655677655677,0.17582417582417584,22.8,32.5,93.0,0.8,-17.216041919584363,-7.614051144071283,0
14,25,VER,68.929,26.0,3.0,17.321,30.689,20.919,320.0,233.0,273.0,315.0,HARD,2.0,Red Bull Racing,2.0,224.3793103448276,323.0,60.0,69.56704980842912,0.5977011494252874,0.21839080459770116,22.7,32.5,0.0,0.8,-100.78189759508112,54.32707900102912,2
15,26,VER,69.245,27.0,3.0,17.544,30.851,20.85,290.0,234.0,273.0,291.0,HARD,3.0,Red Bull Racing,2.0,222.66153846153847,297.0,66.0,69.67692307692307,0.6038461538461538,0.19615384615384615,22.7,32.5,64.0,0.5,-48.08055119585452,-8.919007043722177,2
16,27,VER,69.251,28.0,3.0,17.468,30.873,20.91,293.0,232.0,272.0,294.0,HARD,4.0,Red Bull Racing,2.0,224.8740458015267,299.0,65.0,70.30534351145039,0.6106870229007634,0.18702290076335878,22.6,32.2,47.0,0.8,-64.07410685551791,-1.1676844277635925,2
17,28,VER,69.289,29.0,3.0,17.466,30.9,20.923,294.0,232.0,274.0,294.0,HARD,5.0,Red Bull Racing,2.0,223.3452380952381,300.0,65.0,69.82936507936508,0.6031746031746031,0.18253968253968253,22.6,31.5,29.0,1.2,-81.62333178860439,3.56696097549412,2
18,29,VER,69.373,30.0,3.0,17.468,31.009,20.896,296.0,231.0,274.0,293.0,HARD,6.0,Red Bull Racing,2.0,224.36220472440945,301.0,66.0,69.12204724409449,0.5787401574803149,0.17716535433070865,22.6,31.9,112.0,1.2,2.4102532228152413,-9.118716865273363,0
19,30,VER,69.576,31.0,3.0,17.466,31.191,20.919,295.0,230.0,273.0,293.0,HARD,7.0,Red Bull Racing,2.0,221.3658536585366,302.0,64.0,69.7560975609756,0.5772357723577236,0.17073170731707318,22.7,32.2,113.0,1.6,3.5501344424710366,-8.04951637703877,0
20,32,VER,69.631,33.0,3.0,17.511,31.015,21.105,298.0,231.0,275.0,297.0,HARD,9.0,Red Bull Racing,2.0,223.96934865900383,305.0,62.0,70.13793103448276,0.5977011494252874,0.1839080459770115,22.7,32.1,129.0,1.2,20.213421969986374,-5.145534044545751,0
21,33,VER,69.779,34.0,3.0,17.213,31.4,21.166,317.0,225.0,283.0,321.0,HARD,10.0,Red Bull Racing,2.0,221.78787878787878,321.0,60.0,68.14015151515152,0.5795454545454546,0.20454545454545456,22.6,31.9,94.0,1.2,-20.946241882032897,-28.41310373295522,0
22,34,VER,69.265,35.0,3.0,17.242,31.014,21.009,303.0,230.0,275.0,311.0,HARD,11.0,Red Bull Racing,1.0,221.68897637795277,318.0,56.0,67.90551181102362,0.5748031496062992,0.2047244094488189,22.5,31.8,80.0,1.0,-25.583268657713973,22.28382924462113,0
23,35,VER,69.367,36.0,3.0,17.512,30.825,21.03,299.0,232.0,274.0,314.0,HARD,12.0,Red Bull Racing,1.0,223.308,314.0,64.0,69.664,0.592,0.2,22.5,31.7,167.0,1.7,57.15511109975476,-19.6967142638599,0
24,36,VER,69.707,37.0,3.0,17.511,31.122,21.074,300.0,230.0,275.0,297.0,HARD,13.0,Red Bull Racing,1.0,219.52255639097746,305.0,65.0,68.23308270676692,0.5902255639097744,0.18796992481203006,22.5,31.5,72.0,1.3,-36.371127388136145,6.694004507104279,0
25,37,VER,69.568,38.0,3.0,17.544,31.003,21.021,298.0,232.0,276.0,297.0,HARD,14.0,Red Bull Racing,1.0,222.19767441860466,303.0,65.0,68.43410852713178,0.5813953488372093,0.18604651162790697,22.5,31.4,9.0,1.1,-99.09089241828273,16.099160361143273,2
26,38,VER,69.386,39.0,3.0,17.29,31.171,20.925,319.0,231.0,275.0,296.0,HARD,15.0,Red Bull Racing,1.0,223.44866920152091,321.0,60.0,68.95437262357414,0.5855513307984791,0.16730038022813687,22.5,31.4,56.0,1.2,-48.69984004399324,31.60557732565912,2
27,39,VER,69.431,40.0,3.0,17.564,30.998,20.869,295.0,232.0,275.0,296.0,HARD,16.0,Red Bull Racing,1.0,221.11673151750972,301.0,65.0,70.89494163424125,0.6108949416342413,0.19066147859922178,22.5,31.3,176.0,1.5,66.27662995596431,-14.83778280682428,0
28,41,VER,69.511,42.0,3.0,17.501,31.024,20.986,297.0,232.0,274.0,297.0,HARD,18.0,Red Bull Racing,1.0,219.792,302.0,64.0,70.496,0.58,0.148,22.5,31.2,262.0,1.5,150.52205146628788,-29.737815668945075,1
29,42,VER,69.592,43.0,3.0,17.513,31.144,20.935,298.0,230.0,275.0,297.0,HARD,19.0,Red Bull Racing,1.0,220.16538461538462,302.0,66.0,69.33461538461539,0.5923076923076923,0.15,22.3,31.0,1.0,0.6,-107.1801208427175,17.49855008851095,2
30,44,VER,69.651,45.0,3.0,17.522,31.196,20.933,296.0,230.0,275.0,299.0,HARD,21.0,Red Bull Racing,1.0,220.16141732283464,302.0,63.0,69.20472440944881,0.5866141732283464,0.16535433070866143,22.3,30.7,57.0,0.8,-52.08430554754059,7.904550518030837,2
31,45,VER,69.563,46.0,3.0,17.462,31.124,20.977,298.0,231.0,276.0,302.0,HARD,22.0,Red Bull Racing,1.0,223.73076923076923,303.0,62.0,68.85,0.5807692307692308,0.1576923076923077,22.3,30.7,235.0,0.6,123.92767298479728,-26.88626826727492,1
32,47,VER,69.419,48.0,3.0,17.426,31.134,20.859,297.0,230.0,276.0,298.0,HARD,24.0,Red Bull Racing,1.0,225.81782945736435,303.0,65.0,71.24418604651163,0.6007751937984496,0.17054263565891473,22.3,31.5,42.0,0.6,-67.07630158866607,11.748996249034073,2
33,50,VER,68.15,51.0,4.0,17.267,30.365,20.518,297.0,236.0,278.0,297.0,MEDIUM,2.0,Red Bull Racing,1.0,225.95652173913044,302.0,67.0,70.52569169960475,0.5968379446640316,0.17786561264822134,22.5,31.5,95.0,1.2,-14.291728565222828,-8.549629099096268,0
34,51,VER,68.342,52.0,4.0,17.289,30.508,20.545,295.0,236.0,277.0,296.0,MEDIUM,3.0,Red Bull Racing,1.0,225.8300395256917,302.0,66.0,69.01185770750988,0.5889328063241107,0.1976284584980237,22.5,31.5,133.0,1.7,22.892574454111436,-16.0987822409634,0
35,52,VER,68.235,53.0,4.0,17.273,30.481,20.481,296.0,236.0,278.0,296.0,MEDIUM,4.0,Red Bull Racing,1.0,226.26506024096386,302.0,65.0,69.36546184738955,0.5903614457831325,0.1927710843373494,22.6,31.1,134.0,2.0,24.336073144481322,-14.464183538072598,0
36,53,VER,68.25,54.0,4.0,17.302,30.491,20.457,293.0,236.0,277.0,295.0,MEDIUM,5.0,Red Bull Racing,1.0,226.40711462450594,300.0,65.0,73.12648221343873,0.6324110671936759,0.16205533596837945,22.5,31.1,92.0,1.5,-18.67364409114533,-11.008823734412884,0
37,54,VER,68.273,55.0,4.0,17.272,30.556,20.445,294.0,236.0,277.0,298.0,MEDIUM,6.0,Red Bull Racing,1.0,226.6203007518797,301.0,66.0,72.25563909774436,0.6240601503759399,0.16917293233082706,22.6,31.1,78.0,1.6,-32.66263156201359,-4.602215545174565,0
38,55,VER,68.35,56.0,4.0,17.235,30.532,20.583,295.0,236.0,276.0,296.0,MEDIUM,7.0,Red Bull Racing,1.0,226.8984962406015,303.0,66.0,72.6842105263158,0.6240601503759399,0.16917293233082706,22.5,31.1,37.0,1.1,-73.5097379943924,4.394272810383146,2
39,56,VER,68.412,57.0,4.0,17.237,30.656,20.519,299.0,235.0,278.0,297.0,MEDIUM,8.0,Red Bull Racing,1.0,225.28740157480314,303.0,64.0,69.97637795275591,0.5787401574803149,0.17716535433070865,22.5,31.1,104.0,1.6,-4.049489845716051,-1.0354577965151692,0
40,57,VER,68.489,58.0,4.0,17.23,30.676,20.583,301.0,236.0,277.0,299.0,MEDIUM,9.0,Red Bull Racing,1.0,224.6958174904943,306.0,68.0,70.36882129277566,0.6007604562737643,0.19391634980988592,22.5,31.1,159.0,1.0,51.268878566170756,-2.6620533399781023,0
41,58,VER,68.609,59.0,4.0,17.342,30.743,20.524,298.0,234.0,277.0,295.0,MEDIUM,10.0,Red Bull Racing,1.0,223.9182879377432,303.0,66.0,69.10505836575875,0.5914396887159533,0.17509727626459143,22.5,31.2,93.0,1.7,-15.869081930609523,-0.7415348146052495,0
42,59,VER,68.535,60.0,4.0,17.297,30.657,20.581,299.0,236.0,276.0,298.0,MEDIUM,11.0,Red Bull Racing,1.0,227.22177419354838,303.0,66.0,71.76209677419355,0.625,0.17338709677419356,22.7,31.6,126.0,1.3,17.830023078009535,-4.927900684796209,0
43,60,VER,68.485,61.0,4.0,17.369,30.652,20.464,296.0,237.0,277.0,296.0,MEDIUM,12.0,Red Bull Racing,1.0,224.84860557768926,302.0,67.0,70.26693227091633,0.6055776892430279,0.17131474103585656,22.7,31.8,10.0,1.3,-99.58001815216767,9.650478803267983,2
44,62,VER,68.624,63.0,4.0,17.356,30.691,20.577,301.0,236.0,278.0,299.0,MEDIUM,14.0,Red Bull Racing,1.0,223.015625,305.0,65.0,70.47265625,0.61328125,0.17578125,22.8,31.8,322.0,1.7,209.99900983832435,-38.426549029278895,1
45,63,VER,68.692,64.0,4.0,17.311,30.768,20.613,298.0,236.0,278.0,300.0,MEDIUM,15.0,Red Bull Racing,1.0,223.18503937007873,304.0,65.0,69.33070866141732,0.594488188976378,0.16929133858267717,22.8,32.1,92.0,0.6,-16.302114637230098,3.1174653832381787,0
46,64,VER,68.878,65.0,4.0,17.269,30.833,20.776,302.0,233.0,285.0,299.0,MEDIUM,16.0,Red Bull Racing,1.0,222.90287769784172,307.0,64.0,70.51438848920863,0.6007194244604317,0.1906474820143885,22.8,32.1,30.0,1.1,-77.2387445547843,20.42477712196055,2
47,65,VER,68.601,66.0,4.0,17.221,30.733,20.647,297.0,234.0,277.0,295.0,MEDIUM,17.0,Red Bull Racing,1.0,225.14173228346456,317.0,63.0,70.71653543307086,0.5984251968503937,0.17716535433070865,22.8,32.0,109.0,0.6,2.772514373240714,5.662593148859525,0
48,66,VER,68.854,67.0,4.0,17.289,30.872,20.693,298.0,237.0,277.0,298.0,MEDIUM,18.0,Red Bull Racing,1.0,223.18846153846152,304.0,65.0,70.28846153846153,0.5807692307692308,0.17307692307692307,22.9,31.4,55.0,0.6,-54.054307512698195,10.046739653252315,2
49,67,VER,69.216,68.0,4.0,17.653,30.863,20.7,297.0,235.0,277.0,297.0,MEDIUM,19.0,Red Bull Racing,1.0,223.77985074626866,303.0,63.0,69.49253731343283,0.5970149253731343,0.20149253731343283,22.8,31.4,40.0,0.6,-68.97644687780901,11.315657613569622,2
50,70,VER,67.012,71.0,5.0,17.04,29.896,20.076,304.0,244.0,278.0,302.0,SOFT,5.0,Red Bull Racing,1.0,229.9798387096774,308.0,65.0,75.23387096774194,0.6733870967741935,0.15725806451612903,22.7,31.5,318.0,0.8,210.1245313325302,-10.131930466690399,1
51,74,GAS,72.253,4.0,2.0,17.901,32.222,22.13,306.0,221.0,268.0,302.0,MEDIUM,4.0,Alpine,9.0,212.2824427480916,308.0,58.0,68.24045801526718,0.5687022900763359,0.18702290076335878,22.6,33.3,0.0,0.5,-106.34752418036851,32.82977295969611,2
52,75,GAS,71.836,5.0,2.0,17.85,32.113,21.873,302.0,222.0,268.0,295.0,MEDIUM,5.0,Alpine,9.0,215.00375939849624,303.0,61.0,70.46992481203007,0.6052631578947368,0.19172932330827067,22.8,34.3,216.0,1.1,106.63445992414064,-16.44022069697482,1
53,76,GAS,71.213,6.0,2.0,17.744,31.782,21.687,300.0,224.0,276.0,307.0,MEDIUM,6.0,Alpine,9.0,217.08045977011494,308.0,67.0,70.13793103448276,0.578544061302682,0.18007662835249041,22.9,33.8,80.0,1.0,-27.14443066736608,13.328800165231167,0
54,77,GAS,71.092,7.0,2.0,17.458,31.91,21.724,308.0,222.0,276.0,307.0,MEDIUM,7.0,Alpine,9.0,213.16479400749063,311.0,63.0,67.63295880149813,0.5393258426966292,0.20224719101123595,23.0,33.6,103.0,0.8,-2.75334082481683,15.289879054124077,0
55,78,GAS,71.638,8.0,2.0,17.409,32.307,21.922,309.0,223.0,277.0,314.0,MEDIUM,8.0,Alpine,9.0,216.58759124087592,316.0,62.0,71.57664233576642,0.5875912408759124,0.1678832116788321,23.0,33.4,0.0,1.1,-103.50473278733574,42.17481748984533,2
56,79,GAS,71.29,9.0,2.0,17.364,32.065,21.861,312.0,226.0,276.0,309.0,MEDIUM,9.0,Alpine,9.0,216.9436090225564,315.0,63.0,69.69548872180451,0.5902255639097744,0.19548872180451127,23.2,33.6,53.0,1.3,-51.977415597809674,27.81634332457082,2
57,80,GAS,71.155,10.0,2.0,17.424,31.92,21.811,310.0,225.0,276.0,305.0,MEDIUM,10.0,Alpine,9.0,214.6206896551724,314.0,61.0,69.544061302682,0.5823754789272031,0.18773946360153257,23.2,34.0,112.0,0.8,6.00046224348819,13.517778847170657,0
58,81,GAS,70.883,11.0,2.0,17.608,31.621,21.654,307.0,225.0,269.0,304.0,MEDIUM,11.0,Alpine,8.0,215.66535433070865,311.0,61.0,70.69291338582677,0.5984251968503937,0.18503937007874016,23.2,34.1,0.0,1.3,-105.36697148843682,32.37912369710087,2
