,9
RoundNumber,9
Country,Austria
Location,Spielberg
OfficialEventName,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023
EventDate,2023-07-02 00:00:00
EventName,Austrian Grand Prix
EventFormat,sprint_shootout
Session1,Practice 1
Session1Date,2023-06-30 13:30:00+02:00
Session1DateUtc,2023-06-30 11:30:00
Session2,Qualifying
Session2Date,2023-06-30 17:00:00+02:00
Session2DateUtc,2023-06-30 15:00:00
Session3,Sprint Shootout
Session3Date,2023-07-01 12:00:00+02:00
Session3DateUtc,2023-07-01 10:00:00
Session4,Sprint
Session4Date,2023-07-01 16:30:00+02:00
Session4DateUtc,2023-07-01 14:30:00
Session5,Race
Session5Date,2023-07-02 15:00:00+02:00
Session5DateUtc,2023-07-02 13:00:00
F1ApiSupport,True
