,index,Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Team,Position,dim1,dim2,tsne_clusters_id
0,3,VER,69.691,4.0,2.0,17.618,30.97,21.103,293.0,230.0,270.0,297.0,MEDIUM,4.0,Red Bull Racing,1.0,30.072832,-10.399844,0
1,4,VER,70.026,5.0,2.0,17.716,31.158,21.152,285.0,230.0,270.0,289.0,MEDIUM,5.0,Red Bull Racing,1.0,19.103687,-29.148094,0
2,5,VER,70.156,6.0,2.0,17.681,31.308,21.167,286.0,231.0,270.0,288.0,MEDIUM,6.0,Red Bull Racing,1.0,19.050304,-28.477282,0
3,6,VER,70.168,7.0,2.0,17.733,31.265,21.17,288.0,228.0,271.0,291.0,MEDIUM,7.0,Red Bull Racing,1.0,3.6257198,-26.380262,1
4,7,VER,69.967,8.0,2.0,17.679,31.137,21.151,290.0,229.0,271.0,292.0,MEDIUM,8.0,Red Bull Racing,1.0,5.655506,-24.849401,1
5,8,VER,69.989,9.0,2.0,17.59,31.216,21.183,293.0,230.0,271.0,291.0,MEDIUM,9.0,Red Bull Racing,1.0,7.023344,-23.32924,0
6,9,VER,69.856,10.0,2.0,17.605,31.174,21.077,291.0,228.0,271.0,290.0,MEDIUM,10.0,Red Bull Racing,1.0,6.7111783,-24.370201,1
7,10,VER,70.051,11.0,2.0,17.643,31.272,21.136,293.0,228.0,270.0,293.0,MEDIUM,11.0,Red Bull Racing,1.0,5.0338936,-23.262196,1
8,11,VER,69.833,12.0,2.0,17.591,31.121,21.121,296.0,230.0,270.0,294.0,MEDIUM,12.0,Red Bull Racing,1.0,6.75425,-22.057999,0
9,16,VER,69.924,17.0,2.0,17.653,31.205,21.066,299.0,230.0,270.0,290.0,MEDIUM,17.0,Red Bull Racing,1.0,5.8472533,-21.496212,1
10,17,VER,70.002,18.0,2.0,17.681,31.181,21.14,293.0,228.0,271.0,292.0,MEDIUM,18.0,Red Bull Racing,1.0,5.317776,-24.083221,1
11,18,VER,69.942,19.0,2.0,17.622,31.213,21.107,295.0,228.0,270.0,292.0,MEDIUM,19.0,Red Bull Racing,1.0,5.620914,-22.83367,1
12,19,VER,70.16,20.0,2.0,17.672,31.316,21.172,293.0,229.0,270.0,293.0,MEDIUM,20.0,Red Bull Racing,1.0,4.4687276,-23.287146,1
13,22,VER,70.396,23.0,2.0,17.659,31.502,21.235,295.0,227.0,270.0,296.0,MEDIUM,23.0,Red Bull Racing,1.0,-1.8032776,-19.420935,1
14,25,VER,68.929,26.0,3.0,17.321,30.689,20.919,320.0,233.0,273.0,315.0,HARD,2.0,Red Bull Racing,2.0,8.527769,31.364262,2
15,26,VER,69.245,27.0,3.0,17.544,30.851,20.85,290.0,234.0,273.0,291.0,HARD,3.0,Red Bull Racing,2.0,37.378567,-4.4328322,0
16,27,VER,69.251,28.0,3.0,17.468,30.873,20.91,293.0,232.0,272.0,294.0,HARD,4.0,Red Bull Racing,2.0,35.119625,-3.9933827,0
17,28,VER,69.289,29.0,3.0,17.466,30.9,20.923,294.0,232.0,274.0,294.0,HARD,5.0,Red Bull Racing,2.0,35.64059,-1.2640678,0
18,29,VER,69.373,30.0,3.0,17.468,31.009,20.896,296.0,231.0,274.0,293.0,HARD,6.0,Red Bull Racing,2.0,30.943094,0.37007165,0
19,30,VER,69.576,31.0,3.0,17.466,31.191,20.919,295.0,230.0,273.0,293.0,HARD,7.0,Red Bull Racing,2.0,26.94943,0.22356655,0
20,32,VER,69.631,33.0,3.0,17.511,31.015,21.105,298.0,231.0,275.0,297.0,HARD,9.0,Red Bull Racing,2.0,24.39834,7.302565,0
21,33,VER,69.779,34.0,3.0,17.213,31.4,21.166,317.0,225.0,283.0,321.0,HARD,10.0,Red Bull Racing,2.0,-1.4473231,38.030117,2
22,34,VER,69.265,35.0,3.0,17.242,31.014,21.009,303.0,230.0,275.0,311.0,HARD,11.0,Red Bull Racing,1.0,10.371758,30.29427,2
23,35,VER,69.367,36.0,3.0,17.512,30.825,21.03,299.0,232.0,274.0,314.0,HARD,12.0,Red Bull Racing,1.0,12.339818,29.639694,2
24,36,VER,69.707,37.0,3.0,17.511,31.122,21.074,300.0,230.0,275.0,297.0,HARD,13.0,Red Bull Racing,1.0,23.453184,7.9465604,0
25,37,VER,69.568,38.0,3.0,17.544,31.003,21.021,298.0,232.0,276.0,297.0,HARD,14.0,Red Bull Racing,1.0,25.39426,7.2641315,0
26,38,VER,69.386,39.0,3.0,17.29,31.171,20.925,319.0,231.0,275.0,296.0,HARD,15.0,Red Bull Racing,1.0,23.836388,20.480734,0
27,39,VER,69.431,40.0,3.0,17.564,30.998,20.869,295.0,232.0,275.0,296.0,HARD,16.0,Red Bull Racing,1.0,32.43029,1.1693639,0
28,41,VER,69.511,42.0,3.0,17.501,31.024,20.986,297.0,232.0,274.0,297.0,HARD,18.0,Red Bull Racing,1.0,32.13788,-0.64491606,0
