,15
RoundNumber,15
Country,Singapore
Location,Marina Bay
OfficialEventName,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2023 
EventDate,2023-09-17 00:00:00
EventName,Singapore Grand Prix
EventFormat,conventional
Session1,Practice 1
Session1Date,2023-09-15 17:30:00+08:00
Session1DateUtc,2023-09-15 09:30:00
Session2,Practice 2
Session2Date,2023-09-15 21:00:00+08:00
Session2DateUtc,2023-09-15 13:00:00
Session3,Practice 3
Session3Date,2023-09-16 17:30:00+08:00
Session3DateUtc,2023-09-16 09:30:00
Session4,Qualifying
Session4Date,2023-09-16 21:00:00+08:00
Session4DateUtc,2023-09-16 13:00:00
Session5,Race
Session5Date,2023-09-17 20:00:00+08:00
Session5DateUtc,2023-09-17 12:00:00
F1ApiSupport,True
