,Time,Status,Message
0,0 days 00:00:00,1,AllClear
1,0 days 00:14:15.761000,2,Yellow
2,0 days 00:14:20.652000,1,AllClear
3,0 days 00:14:29.183000,2,Yellow
4,0 days 00:14:38.120000,1,AllClear
5,0 days 00:15:46.666000,6,VSCDeployed
6,0 days 00:17:43.867000,7,VSCEnding
7,0 days 00:17:55.538000,1,AllClear
8,0 days 00:19:15.771000,2,Yellow
9,0 days 00:19:24.896000,4,SCDeployed
10,0 days 00:27:55.262000,1,AllClear
11,0 days 00:40:55.530000,2,Yellow
12,0 days 00:40:56.670000,1,AllClear
13,0 days 00:50:52.519000,2,Yellow
14,0 days 00:50:54.691000,1,AllClear
15,0 days 01:01:22.070000,4,SCDeployed
16,0 days 01:07:14.721000,1,AllClear
17,0 days 01:26:32.481000,2,Yellow
18,0 days 01:26:34.184000,1,AllClear
19,0 days 01:37:12.986000,2,Yellow
20,0 days 01:37:20.361000,1,AllClear
21,0 days 01:39:39.077000,2,Yellow
22,0 days 01:39:48.061000,1,AllClear
23,0 days 01:44:40.681000,2,Yellow
